formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ag,mp-989737,0.0,0.010381675000004,0.010381675000001,3,54.15478637716398,9.922633184978451,R-3m,166,trigonal,2.9460946530378145,2.9460946530378145,7.402711508878622,101.47775633269015,78.52224366730985,120.0000146650524,AgHO2(s),Passivation,AgHO2(s),Passivation
Ag,mp-10597,0.0,0.007668675000001001,0.007668675000001001,2,34.77213082803506,10.302466709886353,P6_3/mmc,194,hexagonal,2.92229865,2.9222996315870815,4.70166181,90.0,90.0,120.00001248630792,AgHO2(s),Passivation,AgHO2(s),Passivation
Ag,mp-8566,0.0,0.0,0.0,4,69.45695019121693,10.315417515494216,P6_3/mmc,194,hexagonal,2.911131789999999,2.911131156535449,9.46370874,90.0,90.0,119.9999832827451,AgHO2(s),Passivation,AgHO2(s),Passivation
Ag,mp-124,0.0,0.0021267149999990003,0.0021267149999990003,1,17.28523120082949,10.362566636379526,Fm-3m,225,cubic,2.902218654456314,2.902218260449534,2.90221738,60.000010035439125,60.00001452635982,59.999991450966775,AgHO2(s),Passivation,AgHO2(s),Passivation
Ag,mp-2646971,0.0,0.034337163333333004,0.034337163333333004,1,18.153849863758662,9.86674239833866,Im-3m,229,cubic,2.867676847754642,2.867676847754642,2.867676847754642,109.47122063449069,109.47122063449069,109.47122063449069,AgHO2(s),Passivation,AgHO2(s),Passivation
ZnAg,mp-1215724,0.0,-0.024742943508774002,0.010839887046781,18,294.7049043720914,8.78710194890394,P1,1,triclinic,2.899787,7.659969014317486,13.26955927610337,90.62636105676076,90.31220267020299,90.6682691525152,AgHO2(s),Passivation,AgHO2(s),Passivation
AgCl,mp-570687,0.8720000000000001,-0.5571698837499991,0.01127005,4,87.59563002765415,5.433843026115748,P2_1/m,11,monoclinic,3.926879,4.003047,5.599418862225793,90.0,84.37175114178784,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
AgI2,mp-33154,0.0,-0.299594967222221,0.012244965000000002,3,116.721214359125,5.145414428420103,P-4m2,115,tetragonal,4.285728,4.285728,6.354781,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
AgI,mp-684580,1.3143,-0.46390137333333203,0.0038585250000000002,2,73.27548446624623,5.320322248904008,I-4m2,119,tetragonal,4.655598916823592,4.655598916823592,4.655598916823592,118.09274768037987,118.09274768037987,93.33647444412567,AgHO2(s),Passivation,AgHO2(s),Passivation
Mg2Ag,mp-1185756,0.0,-0.12714955388888802,0.026462928333333004,6,119.84887354826502,4.336096894003885,C2/m,12,monoclinic,3.238766,5.565582998832557,7.348884571571728,71.87368605661078,90.0,106.91566420820267,AgHO2(s),Passivation,AgHO2(s),Passivation
TiAg,mp-1017985,0.0,-0.054529908333332,0.0,4,68.57596960312469,7.5421283910794585,P4/nmm,129,tetragonal,2.90381219,2.90381219,8.13270293,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
ZrAg,mp-11239,0.0,-0.128847814999996,0.0,4,80.06216377505704,8.25859208312672,P4/nmm,129,tetragonal,3.48253366,3.48253366,6.6014095600000005,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
HfAg,mp-13156,0.0,-0.11359142749999701,0.0,4,76.94979191613233,12.358941234292457,P4/nmm,129,tetragonal,3.42187445,3.42187445,6.57172388,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
