formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
EuAg,mp-623782,0.2822,2.188915018749998,2.498425038749999,8,7579.834528202217,0.22768914928434902,P1,1,triclinic,15.445360475913406,18.096834515030068,28.000558926421903,75.86388744732498,92.52757498511717,91.97799769124829,AgHO2(s),Passivation,AgHO2(s),Passivation
AgI,mp-568927,0.9588999999999991,-0.362143248333332,0.10561664999999901,4,116.55232633695874,6.689685269394208,P2_1/m,11,monoclinic,4.349774,4.396367,6.097108465516503,90.0,88.42739639732075,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
AgBr,mp-570301,0.6990000000000001,-0.587576648333332,0.07204439,4,99.85425283174813,6.245163623562608,P2_1/m,11,monoclinic,4.112159,4.154709,5.845791224911988,90.0,88.8515848989426,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
Si3Ag,mp-1248087,0.0,0.44624430083333305,0.44624430083333305,8,133.89696762610626,4.765314340794717,P-1,2,triclinic,5.47061496551247,5.565335296316835,5.4649958131359995,69.6236384144694,110.79736452547421,118.07240125605077,AgHO2(s),Passivation,AgHO2(s),Passivation
CeAg,mp-11841,0.0,-0.06319438083333001,0.06942032375000101,2,47.591103244856576,8.652614121612148,P4/mmm,123,tetragonal,3.203022,3.203022,4.638803,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
TiAg,mp-1961,0.0,0.10795178166666701,0.162481689999999,2,34.813615609981255,7.42825412166098,P4/mmm,123,tetragonal,2.888811999999999,2.888811999999999,4.171676,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
AgTe3,mp-1229041,0.0,0.023143023125001,0.058839224999999,4,124.70740533369035,6.533483016971941,P4/mmm,123,tetragonal,3.135837,3.135837,12.681928,90.0,90.0,90.0,AgHO2(s),Passivation,AgHO2(s),Passivation
Ni3Ag,mp-1100764,0.0,0.23321139333333202,0.23321139333333202,4,49.9793948331774,9.43403601969119,I4/mmm,139,tetragonal,4.512677363450992,4.512677363450992,4.512677363450992,131.8397940968189,131.8397940968189,70.48217267598002,AgHO2(s),Passivation,AgHO2(s),Passivation
Ac3Ag,mp-1183080,0.0,0.077761538124995,0.21334002874999602,4,150.60190524557544,8.698073655591466,I4/mmm,139,tetragonal,6.66829651141639,6.66829651141639,6.66829651141639,134.06564986317602,134.06564986317602,66.98548717640696,AgHO2(s),Passivation,AgHO2(s),Passivation
AgGe3,mp-1183245,0.0,0.28528358208333404,0.28528358208333404,4,78.86059700240848,6.860004287321993,I4/mmm,139,tetragonal,5.361560829865404,5.361560829865404,5.361560829865404,133.83546286133316,133.83546286133316,67.34511319840458,AgHO2(s),Passivation,AgHO2(s),Passivation
AgPb3,mp-1183256,0.0,0.085092758333338,0.085092758333338,4,113.87461234805855,10.637230010847395,I4/mmm,139,tetragonal,5.868801427137998,5.868801427137998,5.868801427137998,130.6060365458185,130.6060365458185,72.43975644110179,AgHO2(s),Passivation,AgHO2(s),Passivation
Cu3Ag,mp-1184011,0.0,0.09037492083333301,0.09037492083333301,4,53.62071870994799,9.244210421788912,I4/mmm,139,tetragonal,4.616015645929722,4.616015645929722,4.616015645929722,131.75772944647264,131.75772944647264,70.61193706974676,AgHO2(s),Passivation,AgHO2(s),Passivation
Ga3Ag,mp-1184257,0.0,0.12897321625000102,0.13659481541666602,4,70.01218841117904,7.519442944329066,I4/mmm,139,tetragonal,5.0278818999238135,5.0278818999238135,5.0278818999238135,131.4011759436779,131.4011759436779,71.17646473894932,AgHO2(s),Passivation,AgHO2(s),Passivation
In3Ag,mp-1184493,0.0,0.03548717923611,0.07299104673611001,4,97.62539452859384,7.693681417804325,I4/mmm,139,tetragonal,5.771090899168371,5.771090899168371,5.771090899168371,134.06541364556085,134.06541364556085,66.98585599785824,AgHO2(s),Passivation,AgHO2(s),Passivation
Na3Ag,mp-1186034,0.0,0.054058643749999004,0.08352711062500001,4,105.78175795305596,2.7759567990807863,I4/mmm,139,tetragonal,5.547737528522151,5.547737528522151,5.547737528522151,126.88004191124271,126.88004191124271,78.4464760620771,AgHO2(s),Passivation,AgHO2(s),Passivation
Pm3Ag,mp-1186488,0.0,0.014181133541665001,0.08222536166666901,4,117.35698445156284,7.681297012934772,I4/mmm,139,tetragonal,6.160125947173158,6.160125947173158,6.160125947173158,134.4241897258542,134.4241897258542,66.42620728487015,AgHO2(s),Passivation,AgHO2(s),Passivation
V3Ag,mp-1187719,0.0,0.37245250083333303,0.37245250083333303,4,59.25152012643194,7.3059798601575885,I4/mmm,139,tetragonal,4.8095583151446455,4.8095583151446455,4.8095583151446455,132.54439580185505,132.54439580185507,69.37056001106721,AgHO2(s),Passivation,AgHO2(s),Passivation
