formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Be,mp-87,0.0,0.0,0.0,4,31.796370288803224,1.882614921185406,P6_3/mmc,194,hexagonal,3.574102459999999,3.92001285,2.26946274,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BePd2,mp-13452,0.0,-0.5061120183333321,0.0,3,37.26475217742036,9.885862475818971,I4/mmm,139,tetragonal,2.753825185785283,2.7538247739320503,5.2856500917024265,105.09970884425351,105.09973052956221,90.00000779490429,Be[+2],Passivation,Be[+2],Passivation
BeAu2,mp-12761,0.0,-0.135768288333335,0.0,3,43.01793443597601,15.554127698982748,I4/mmm,139,tetragonal,2.9187034242215346,2.918704445169386,5.455212957255508,105.51647087847647,105.51646191580794,89.9999941411008,Be[+2],Passivation,Be[+2],Passivation
Ta2Be,mp-11278,0.0,-0.15419187822222202,0.0,6,88.79836657783719,13.872037325446222,I4/mcm,140,tetragonal,4.902311804384103,4.911388037693395,4.911388811980095,75.57710452926793,60.061104579435735,60.06111841446162,Be[+2],Passivation,Be[+2],Passivation
BeAu,mp-30365,0.0,-0.136192663750001,0.0,8,102.96324988944377,13.287683257559674,P2_13,198,cubic,4.68699058,4.68699058,4.68699058,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BeNi,mp-1033,0.0,-0.468281252499999,0.0,2,17.313667771141436,6.493584457320203,Pm-3m,221,cubic,2.58699959,2.58699959,2.58699959,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
TiBe,mp-11279,0.0,-0.14029816916666601,0.005038837916666,2,25.13476743186745,3.75774727350378,Pm-3m,221,cubic,2.92926249,2.92926249,2.92926249,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BePd,mp-11274,0.0,-0.5927108225000001,0.0,2,22.226847745235183,8.623789119848183,Pm-3m,221,cubic,2.81163727,2.81163727,2.81163727,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BeRh,mp-11276,0.0,-0.607815922499999,0.0,2,21.205361458384303,8.763995066485208,Pm-3m,221,cubic,2.7678883,2.7678883,2.7678883,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BeCu,mp-2323,0.0,-0.1002443075,0.005036342500000001,2,19.08699160858433,6.312450819032411,Pm-3m,221,cubic,2.67246788,2.67246788,2.67246788,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BeCo,mp-2773,0.0,-0.29332581750000003,0.0,2,17.009358018326665,6.633169387216214,Pm-3m,221,cubic,2.57175331,2.57175331,2.57175331,90.0,90.0,90.0,Be[+2],Passivation,Be[+2],Passivation
BePd3,mp-13453,0.0,-0.381979747499999,0.0,8,105.04066054244497,10.379005232335853,Cmcm,63,orthorhombic,2.85436846,5.0282843093192655,7.63248472,90.0,90.0,106.48900549471475,Be[+2],Passivation,Be[+2],Passivation
BeFe3,mp-1227549,0.0,-0.057636483749999,0.046459954374999,4,42.76425937597964,6.855338946283915,Cmmm,65,orthorhombic,2.434128158997418,2.434128158997418,7.35930117,90.0,90.0,101.26089942932524,Be[+2],Passivation,Be[+2],Passivation
