formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ca,mp-1183455,0.0,0.013071680000001001,0.013071680000001001,2,86.19875997738622,1.544130909113659,I4/mmm,139,tetragonal,4.19297492,4.89070492,4.20346362,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-166,0.0,0.02121779,0.02121779,1,42.286603496274395,1.5738101266525022,I4/mmm,139,tetragonal,3.805225911927438,3.805225911927438,3.805225911927438,107.68834407650859,107.68834407650859,113.09902716027699,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-1183484,0.0,0.008999964999999001,0.008999964999999001,4,174.55953806335285,1.525005978877473,P6_3/mmc,194,hexagonal,3.9575554200000007,3.9575541445021556,12.86942104,90.0,90.0,119.99998352426519,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-132,0.0,0.005909895,0.005909895,4,174.2736112022339,1.527508022472714,Cmcm,63,orthorhombic,3.94255199,6.50911174,6.79098036,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-45,0.0,0.0,0.0,1,43.36096382607296,1.534815625204312,Fm-3m,225,cubic,3.943404070832431,3.9434033758862257,3.94340475,60.000006376135914,60.00001212553238,60.000007516487436,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-21,0.0,0.005616039999999,0.005616039999999,1,42.710594052600456,1.558186821803846,Im-3m,229,cubic,3.8140469168013644,3.8140469168013644,3.8140469168013644,109.43267003992182,109.43267003992182,109.54834936580467,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-1064227,0.0,0.010473554999999002,0.010473554999999002,2,87.02250606556609,1.529514324812333,Cmcm,63,orthorhombic,3.950877149931306,3.950877149931306,6.48024466,90.0,90.0,120.64900205915906,Ca[+2],Passivation,Ca[+2],Passivation
Ca,mp-1078638,0.0,0.019152001249999002,0.019152001249999002,8,333.55102316074857,1.596183616492226,P4_12_12,92,tetragonal,4.5613779999999995,4.5613779999999995,16.031352,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaCu,mp-30471,0.0,-0.10677027750000101,0.000139304500001,20,472.55370049677634,3.641315263354545,P2_1/m,11,monoclinic,4.1882481,5.787218913773732,19.55808669522131,94.56103235769969,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaSb2,mp-7493,0.0,-0.740698304999996,0.0,6,175.901885128571,5.3544117263486495,P2_1/m,11,monoclinic,4.27080391,4.696732062344442,9.166017642929319,73.08136318715684,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaMg,mp-1039350,0.0,-0.04034816250000001,0.047775612499999,4,126.06920413578273,1.696060312384117,C2/m,12,monoclinic,6.464052482685985,6.464052482685985,5.818995747856499,69.93846811254332,69.93846811254332,33.739062904757475,Ca[+2],Passivation,Ca[+2],Passivation
CaGa4,mp-2461,0.0,-0.42175217000000004,0.001600682000001,5,98.32157581123911,5.387038823403971,C2/m,12,monoclinic,4.313086977338235,4.313086667290377,6.085042026010014,69.46000227358107,69.45999699155036,89.85064198570664,Ca[+2],Passivation,Ca[+2],Passivation
CaMg,mp-1094998,0.0,-0.0639846775,0.024139097499999002,2,62.63449770418459,1.706894615475358,P4/mmm,123,tetragonal,4.02737238,4.02737238,3.86162435,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaPb,mp-20034,0.0,-0.520882229999998,0.0,4,117.73213450170792,6.975407029671377,P4/mmm,123,tetragonal,4.62751189,5.04398443,5.04398443,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaB4,mp-1213975,0.0,-0.4606473535,0.0,20,209.4340399870896,2.642539600836124,P4/mbm,127,tetragonal,4.0922945,7.15385602,7.15385602,90.0,90.0,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaN2,mp-1009657,0.0,-0.639265689166666,0.0,3,38.245291740457695,2.956401288995216,I4/mmm,139,tetragonal,3.57957274,3.57957274,3.9135294191864567,117.21513940649145,117.21513940649145,90.0,Ca[+2],Passivation,Ca[+2],Passivation
CaMg3,mp-1039409,0.0,-0.041096352653061004,0.047027422346938005,4,104.67504411341359,1.792493065959835,I4/mmm,139,tetragonal,5.213538848552967,5.213538848552967,5.213538848552967,116.64990058418489,116.64990058418489,95.90761124962317,Ca[+2],Passivation,Ca[+2],Passivation
Ba3Ca,mp-1183342,0.0,0.0392140475,0.0392140475,4,242.42780248455486,3.096433751471035,I4/mmm,139,tetragonal,7.737971345384137,7.737971345384137,7.737971345384137,133.1231056988284,133.1231056988284,68.46088387995765,Ca[+2],Passivation,Ca[+2],Passivation
CaEu3,mp-1183620,0.0,0.046251483749998004,0.046251483749998004,4,176.16993524016144,4.674904147173979,I4/mmm,139,tetragonal,6.925202821845316,6.925202821845316,6.925202821845316,132.6774262196648,132.6774262196648,69.16118726280955,Ca[+2],Passivation,Ca[+2],Passivation
Sr3Ca,mp-1187110,0.0,0.044507889999998,0.044507889999998,4,213.40172450576762,2.357246104372858,I4/mmm,139,tetragonal,7.307193366466162,7.307193366466162,7.307193366466162,131.64587081187312,131.64587081187312,70.78891377723696,Ca[+2],Passivation,Ca[+2],Passivation
