formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cd,mp-1183542,0.0,0.024284360000002003,0.024284360000002003,1,21.93906692037408,8.508240468614689,R-3m,166,trigonal,3.0735458457110663,3.073545939540775,3.073546392275695,63.09209470918469,116.90789822717362,116.90790956472114,Cd[+2],Passivation,Cd[+2],Passivation
Cd,mp-1183591,0.0,0.022316200000002003,0.022316200000002003,4,86.4220349760752,8.63959554144948,P6_3/mmc,194,hexagonal,3.09306785,3.093067424725857,10.43073696,90.0,90.0,119.99999334733951,Cd[+2],Passivation,Cd[+2],Passivation
Cd,mp-94,0.0,0.0,0.0,2,44.61503857901331,8.367710214348122,P6_3/mmc,194,hexagonal,2.95847441,2.9584752304814885,5.88592793,90.0,90.0,120.00001224220426,Cd[+2],Passivation,Cd[+2],Passivation
Cd,mp-1096861,0.0,0.037120430000001,0.037120430000001,1,21.82742895475344,8.551756480459066,Fm-3m,225,cubic,3.1369374598244897,3.1369374598244897,3.1369374598244897,59.99999999999999,59.99999999999999,59.99999999999999,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1038767,0.0,-0.056446033333331,0.038185795,4,84.96395938252209,5.34396609289812,C2/m,12,monoclinic,5.935058244155744,5.935058244155744,5.266738175913571,66.44510617660654,66.44510617660654,30.205211090970003,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1094776,0.0,-0.025622488333331,0.039833586944445006,6,128.4967550087933,4.1616873675090265,C2/m,12,monoclinic,6.029119684225786,6.029119684225786,7.373135876367195,74.50713610592297,74.50713610592297,29.926348527367715,Cd[+2],Passivation,Cd[+2],Passivation
CdHg2,mp-1975010,0.0,0.022284121666662,0.022284121666665,3,72.19754027790752,11.812561985787337,C2/m,12,monoclinic,4.096825244631223,4.096824630574538,5.120384624103313,112.52555563581029,112.5255582225805,90.14075437095916,Cd[+2],Passivation,Cd[+2],Passivation
CdCl2,mp-695850,3.5155000000000003,-1.272014778333333,0.002500736666666,3,79.63762876269854,3.822376994410115,P-1,2,triclinic,12.603859145048443,3.857896141081989,7.691497992150089,126.61034171058934,153.46927817901343,34.710157668876406,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1039124,0.0,-0.078959370833331,0.0156724575,2,42.13148497642119,5.388422913560682,P4/mmm,123,tetragonal,3.31428776,3.31428776,3.83553845,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
CdPt,mp-1194,0.0,-0.287571474999998,0.0,4,68.55932542314619,14.895346683553619,P4/mmm,123,tetragonal,3.84605277,4.22207213,4.22207213,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
CdPd,mp-1696,0.0,-0.39152519499999805,0.0,4,68.1446687236034,10.664881972117675,P4/mmm,123,tetragonal,3.69349435,4.2953368,4.2953368,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
HfCd,mp-1007758,0.0,-0.09590878000000201,0.0,4,85.08095310738265,11.355126085701809,P4/nmm,129,tetragonal,3.0472637,3.0472637,9.16246376,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
ZrCd,mp-1017540,0.0,-0.14070795500000302,0.0,4,87.35476549280448,7.741852912533875,P4/nmm,129,tetragonal,3.10284638,3.10284638,9.07331635,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
TiCd,mp-30500,0.0,-0.072274210833331,0.0,4,75.18844526052057,7.079488865459008,P4/nmm,129,tetragonal,2.88810108,2.88810108,9.01418209,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
Zr2Cd,mp-1018104,0.0,-0.13604649333333402,0.0,3,66.85774339604652,7.323383407337112,I4/mmm,139,tetragonal,3.0905269853185913,3.0905280455962263,7.330518207377747,102.10431485376503,102.1043335492223,90.15779070239863,Cd[+2],Passivation,Cd[+2],Passivation
Hf2Cd,mp-1018156,0.0,-0.09470776,0.0,3,64.55706314504272,12.073691940713589,I4/mmm,139,tetragonal,3.0624901,3.0624901,7.215867142867132,102.25162234990589,102.25162234990589,90.0,Cd[+2],Passivation,Cd[+2],Passivation
Mg3Cd,mp-1039293,0.0,-0.013019477499998001,0.037848721249999,4,86.49094479058073,3.558072626005422,I4/mmm,139,tetragonal,5.352984233210584,5.352984233210584,5.352984233210584,130.57250906367784,130.57250906367784,72.49315854361774,Cd[+2],Passivation,Cd[+2],Passivation
CdAu3,mp-1183643,0.0,-0.15000073000000202,0.003911571249993,4,72.44775746206597,16.12023540608654,I4/mmm,139,tetragonal,5.068913854320211,5.068913854320211,5.068913854320211,131.05738476614,131.05738476614,71.7219225553468,Cd[+2],Passivation,Cd[+2],Passivation
CdAg3,mp-1183647,0.0,-0.046257173749996,0.0,4,72.01503669998377,10.053746698253118,I4/mmm,139,tetragonal,5.103854600192964,5.103854600192964,5.103854600192964,131.9776518188436,131.9776518188436,70.26432569870607,Cd[+2],Passivation,Cd[+2],Passivation
CdHg3,mp-1183650,0.0,0.037578841875003,0.037578841875003,4,100.11857498245824,11.845209056673452,I4/mmm,139,tetragonal,6.175979154427942,6.175979154427942,6.175979154427942,139.0707753055988,139.0707753055988,59.26695029991014,Cd[+2],Passivation,Cd[+2],Passivation
Na3Cd,mp-1186031,0.0,-0.013631219784482002,0.0041281600000000005,4,116.80584416710722,2.578544671526544,I4/mmm,139,tetragonal,5.6983529630213905,5.6983529630213905,5.6983529630213905,126.0564717775195,126.0564717775195,79.79534519215288,Cd[+2],Passivation,Cd[+2],Passivation
Pm3Cd,mp-1186493,0.0,-0.13858239729166702,0.007309470833334001,4,121.1289984199418,7.50437436818533,I4/mmm,139,tetragonal,6.168975727285771,6.168975727285771,6.168975727285771,133.57227241945478,133.57227241945478,67.75684650604167,Cd[+2],Passivation,Cd[+2],Passivation
Zr3Cd,mp-1188030,0.0,-0.08176615625000101,0.020268713749995,4,88.62706115142365,7.233748881222262,I4/mmm,139,tetragonal,5.55837997049086,5.55837997049086,5.55837997049086,133.56403771137585,133.56403771137585,67.76973828795568,Cd[+2],Passivation,Cd[+2],Passivation
CdHg2,mp-30488,0.0,0.026849116666667002,0.026849116666667002,3,75.72558885469955,11.262215753654495,I4/mmm,139,tetragonal,4.10573,4.10573,5.348703656484532,112.56964042173102,112.56964042173102,90.0,Cd[+2],Passivation,Cd[+2],Passivation
Ti2Cd,mp-30501,0.0,-0.078128024444443,0.0,3,54.63961265242577,6.325683643039373,I4/mmm,139,tetragonal,2.847762065208652,2.8477617837264315,7.03200417406044,101.68235334922223,101.68234550253543,90.00001147919569,Cd[+2],Passivation,Cd[+2],Passivation
Ba2Cd,mp-8093,0.0,-0.22541339999999802,0.0,3,142.1692220278101,4.520926151567472,I4/mmm,139,tetragonal,4.288190552653962,4.288190966829673,8.304734830228721,104.96193511425288,104.96194052659659,90.00001041101068,Cd[+2],Passivation,Cd[+2],Passivation
CdPd3,mp-865985,0.0,-0.259304325,0.0,4,63.91867825612436,11.214352032531394,I4/mmm,139,tetragonal,4.884903885799056,4.884903885799056,4.884903885799056,131.55747772750357,131.55747772750357,70.92884710366039,Cd[+2],Passivation,Cd[+2],Passivation
Li3Cd,mp-975904,0.0,-0.18138230499999902,0.0,4,72.4955781829796,3.051775950265154,I4/mmm,139,tetragonal,4.984256746769518,4.984256746769518,4.984256746769518,129.17360908744374,129.17360908744374,74.73138937996731,Cd[+2],Passivation,Cd[+2],Passivation
CdP4,mp-7904,0.6551,-0.120742532380951,0.0,10,206.57294924246142,3.7990978568765783,P2_1/c,14,monoclinic,5.17206495,5.289311944438992,7.650472803197954,99.24475770312154,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1094985,0.0,-0.037900704999999,0.027555370277777002,6,127.75599953578565,4.185817683937458,C2/c,15,monoclinic,5.3525138074994,5.3525138074994,6.150438100994294,62.04541984484001,62.04541984484001,59.466086681609006,Cd[+2],Passivation,Cd[+2],Passivation
Mg5Cd,mp-1094796,0.0,0.0012646375,0.03517677,18,391.7776752331523,2.9745942020787153,R32,155,trigonal,5.43909943,5.439099525390698,15.29167645,90.0,90.0,120.00001164434836,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1094907,0.0,-0.028859858333331004,0.036596216944445,6,128.66878906943973,4.156123065690758,R32,155,trigonal,5.959825399540103,5.959825399540103,5.959824810349047,53.98859608490607,53.98859608490607,53.98861348427334,Cd[+2],Passivation,Cd[+2],Passivation
CdI2,mp-569510,2.354899999999999,-0.826238529999999,0.000845028444443,48,1963.5878142407078,4.9551948768682745,P3m1,156,trigonal,4.3339757268624615,4.3339757268624615,120.710967,90.0,90.0,119.99999583047173,Cd[+2],Passivation,Cd[+2],Passivation
CdI2,mp-569611,2.3628,-0.826027076470587,0.001056481973855,51,2068.8511694757703,4.99701619298406,P3m1,156,trigonal,4.334446565227214,4.334446565227214,127.154387,90.0,90.0,120.00000862742915,Cd[+2],Passivation,Cd[+2],Passivation
