formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cd,mp-2647135,0.0,0.065309160000001,0.065309160000001,1,22.723733218584616,8.21444501306283,Im-3m,229,cubic,3.0905363610629144,3.0905363610629144,3.0905363610629144,109.47122063449069,109.47122063449069,109.47122063449069,Cd[+2],Passivation,Cd[+2],Passivation
CdCl2,mp-1181940,3.1363,-1.178925751666668,0.09558976333333201,3,88.87336621199354,3.425154835992163,P-4m2,115,tetragonal,4.07707569,4.07707569,5.34655553,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
CdTe,mp-1226722,0.0,-0.19667151000000102,0.36406849500000105,2,56.97664694409546,6.99492973506814,I-4m2,119,tetragonal,4.527949610722385,4.527949610722385,4.527949610722385,97.02048183607869,97.02048183607869,139.0736000812636,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1039319,0.0,-0.006912859999998001,0.058543215277778005,6,129.60043458555384,4.126246364806601,C2/m,12,monoclinic,6.127179467387106,6.127179467387106,7.3052836493103115,74.54040797033474,74.54040797033474,29.445113754922577,Cd[+2],Passivation,Cd[+2],Passivation
CeCd,mp-11291,0.0,-0.17549402124999902,0.07319209125000001,2,57.07555105048904,7.346945253324982,P4/mmm,123,tetragonal,3.91151,3.91151,3.7304500000000003,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
ZrCd,mp-1206389,0.0,0.518012184999996,0.658720139999999,4,102.70206475645811,6.5849479001020335,P4/mmm,123,tetragonal,2.923565,2.923565,12.015827,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
HfCd,mp-1206672,0.0,0.623008507499996,0.7189172874999981,4,100.75301245117083,9.588844308692293,P4/mmm,123,tetragonal,2.914806,2.914806,11.858745,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
CdTe,mp-12581,0.0,-0.07460553500000301,0.48613446999999904,2,61.015110610085316,6.531949838797076,P4/mmm,123,tetragonal,3.094199,3.094199,6.372956,90.0,90.0,90.0,Cd[+2],Passivation,Cd[+2],Passivation
Ac3Cd,mp-1183090,0.0,-0.07830334427082801,0.068330164166667,4,154.74561961669158,8.513907951860771,I4/mmm,139,tetragonal,6.736537823607687,6.736537823607687,6.736537823607687,134.1711956204978,134.1711956204978,66.82073820531416,Cd[+2],Passivation,Cd[+2],Passivation
CdBi3,mp-1183657,0.0,0.107834515,0.107834515,4,121.63769319771215,10.093279310066269,I4/mmm,139,tetragonal,5.932920428172453,5.932920428172453,5.932920428172453,129.37156750368075,129.37156750368075,74.41343616553951,Cd[+2],Passivation,Cd[+2],Passivation
CdPb3,mp-1183660,0.0,0.05647821000000101,0.05647821000000101,4,117.16587595196208,10.402806541674828,I4/mmm,139,tetragonal,6.117015233750093,6.117015233750093,6.117015233750093,133.82128769796515,133.82128769796515,67.36727384482182,Cd[+2],Passivation,Cd[+2],Passivation
CdGe3,mp-1183649,0.0,0.287999508749999,0.287999508749999,4,83.29589647661649,6.5852887550472765,I4/mmm,139,tetragonal,5.534322301038855,5.534322301038855,5.534322301038855,135.07236776564315,135.07236776564315,65.41777710343776,Cd[+2],Passivation,Cd[+2],Passivation
CdSn3,mp-1183720,0.0,0.2034946325,0.2034946325,4,105.42543505767007,7.379913911460079,I4/mmm,139,tetragonal,6.103489856966691,6.103489856966691,6.103489856966691,136.74818523032403,136.74818523032403,62.82572571354132,Cd[+2],Passivation,Cd[+2],Passivation
Ce3Cd,mp-1183748,0.0,-0.05361274062500201,0.070730315624999,4,110.28796041239801,8.021429803169156,I4/mmm,139,tetragonal,5.931371175390981,5.931371175390981,5.931371175390981,132.7962833093072,132.7962833093072,68.97425438383429,Cd[+2],Passivation,Cd[+2],Passivation
K3Cd,mp-1184907,0.0,0.06695506718750001,0.10146326220703301,4,196.890001634031,1.9373031520793311,I4/mmm,139,tetragonal,6.5748417195105775,6.5748417195105775,6.5748417195105775,121.2915961190658,121.2915961190658,87.77707909403166,Cd[+2],Passivation,Cd[+2],Passivation
Np3Cd,mp-1186182,0.0,0.615703580937491,0.615703580937491,4,96.52340443974566,14.165539863668068,I4/mmm,139,tetragonal,5.65826871404063,5.65826871404063,5.65826871404063,132.52929287830344,132.52929287830344,69.39434004033647,Cd[+2],Passivation,Cd[+2],Passivation
Nd3Cd,mp-1186263,0.0,-0.09003496062499801,0.059908686249999,4,121.7108204288545,7.437475829671749,I4/mmm,139,tetragonal,6.156536088275911,6.156536088275911,6.156536501095873,133.22567234673886,133.22568289184127,68.29995087553559,Cd[+2],Passivation,Cd[+2],Passivation
Sm3Cd,mp-1187010,0.0,-0.081155753749999,0.06929157499999801,4,119.90848514949995,7.803441249473599,I4/mmm,139,tetragonal,6.074871375547963,6.074871375547963,6.074871375547963,132.40255167444113,132.40255167444113,69.59397855031757,Cd[+2],Passivation,Cd[+2],Passivation
Th3Cd,mp-1187405,0.0,-0.021079927499989003,0.060212707499999005,4,120.91114374910585,11.103919838073036,I4/mmm,139,tetragonal,6.109459378579791,6.109459378579791,6.109459378579791,132.6907912223198,132.6907912223198,69.14016116810932,Cd[+2],Passivation,Cd[+2],Passivation
Tl3Cd,mp-1187555,0.0,0.067323962499997,0.067323962499997,4,113.08055488281339,10.654548174936231,I4/mmm,139,tetragonal,5.977076306621609,5.977076306621609,5.977076306621609,132.7314086715831,132.7314086715831,69.07627068739261,Cd[+2],Passivation,Cd[+2],Passivation
Pr3Cd,mp-975641,0.0,-0.125826743749996,0.054997086666670005,4,124.78837745032278,7.120942254359541,I4/mmm,139,tetragonal,6.201565152106431,6.201565152106431,6.201565152106431,133.12540276737397,133.12540276737397,68.45727895995752,Cd[+2],Passivation,Cd[+2],Passivation
Zn3Cd,mp-981200,0.0,0.11120783874999901,0.11120783874999901,4,65.18130228558105,7.862767978949442,I4/mmm,139,tetragonal,4.9235846496296904,4.9235846496296904,4.9235846496296904,131.69867924610557,131.69867924610557,70.70534860748053,Cd[+2],Passivation,Cd[+2],Passivation
Rb3Cd,mp-982205,0.0,0.07818871687500001,0.081176977980769,4,253.5811807523866,2.415126854869631,I4/mmm,139,tetragonal,7.783570958833869,7.783570958833869,7.783570958833869,132.22224194661814,132.22224194661814,69.87824558014431,Cd[+2],Passivation,Cd[+2],Passivation
CdTe,mp-1492,0.021500000000000002,-0.448117790000002,0.112622214999994,6,194.48233981805546,6.147822608776511,P3_121,152,trigonal,4.624668890214411,4.624668890214411,10.499976,90.0,90.0,120.00001273520569,Cd[+2],Passivation,Cd[+2],Passivation
CdS,mp-1021511,1.5192,-0.524289781406249,0.252318607499999,2,92.89071457991083,2.5826913192676173,P3m1,156,trigonal,4.256147748621986,4.256147748621986,5.92118,90.0,90.0,119.99999609246751,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1039136,0.0,0.026365152500001002,0.120996980833333,6,134.1534125878745,5.076775640289714,P3m1,156,trigonal,3.1593644470405753,3.1593644470405753,15.519284,90.0,90.0,120.00000936136561,Cd[+2],Passivation,Cd[+2],Passivation
CdI2,mp-582619,0.0,-0.707117188333332,0.11996637011111001,18,719.5086415143636,5.071148410876463,P3m1,156,trigonal,4.34457224199299,4.34457224199299,44.016079,90.0,90.0,120.00000368508714,Cd[+2],Passivation,Cd[+2],Passivation
UCd,mp-1060884,0.0,0.410281754999999,0.410281754999999,2,47.06241819944299,12.364837662712269,R3m,160,trigonal,6.548710995953326,6.548710995953326,6.548710305853207,25.86164889044909,25.86164889044909,25.861640154272585,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1038975,0.0,0.011384552500001002,0.10601638083333301,4,89.45860317755918,5.075470686227626,P-3m1,164,trigonal,3.2493091298429886,3.2493091298429886,9.78384,90.0,90.0,119.99998228265619,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1039309,0.0,0.03975381,0.10520988527777701,6,135.5738441245178,3.94444315966171,P-3m1,164,trigonal,3.1339541920048855,3.1339541920048855,15.938960999999999,90.0,90.0,120.00000405332692,Cd[+2],Passivation,Cd[+2],Passivation
CdO2,mp-1096866,0.0,-0.46503864999999905,0.43239558166666603,3,43.41044845489024,5.5239722931929105,P-3m1,164,trigonal,3.4762295761692728,3.4762295761692728,4.148076,90.0,90.0,119.99999193366975,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1038972,0.0,-0.031133805833331002,0.063498022500001,2,43.38702923952943,5.232491438304057,R-3m,166,trigonal,5.164416767305355,5.164416767305355,5.164417453123495,36.386985443786045,36.386985443786045,36.38698888466466,Cd[+2],Passivation,Cd[+2],Passivation
Li3Cd,mp-1222495,0.0,-0.0756709525,0.10571135249999901,4,81.27740404920644,2.72203897980603,R-3m,166,trigonal,9.582772388331728,9.582772388331728,9.582772370212078,18.971243429237884,18.971243429237884,18.971245987830226,Cd[+2],Passivation,Cd[+2],Passivation
CdPd3,mp-1226738,0.0,-0.130333354999998,0.12897097000000102,4,66.32314840547225,10.807788481874084,R-3m,166,trigonal,2.914810117563063,2.914810117563063,9.169672601329289,90.0,80.85476382194265,120.00000000000001,Cd[+2],Passivation,Cd[+2],Passivation
CdPt3,mp-1226746,0.0,-0.042355729999998,0.127297725,4,66.28427352141746,17.477700294128255,R-3m,166,trigonal,2.8875172100228252,2.8875172100228252,9.32989857483735,81.09796676557147,98.90203323442853,120.00000000000001,Cd[+2],Passivation,Cd[+2],Passivation
CdTe,mp-2872104,0.024999999999999002,-0.45299509000000104,0.10774491499999701,6,194.43007948587112,6.149475065292471,P3_121,152,trigonal,4.624026302077205,4.624026302077205,10.50007221,90.0,90.0,120.00001262055025,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1039121,0.0,0.49561487750000105,0.590246705833333,4,145.995320015344,3.109993649185819,P6_3mc,186,hexagonal,4.712151706855903,4.712151706855903,7.592237,90.0,90.0,119.99999588420349,Cd[+2],Passivation,Cd[+2],Passivation
CdH,mp-1183656,0.0,0.3771130775,0.3771130775,4,58.7312740953305,6.413502300551498,P6_3mc,186,hexagonal,3.0605302346544465,3.0605302346544465,7.240115,90.0,90.0,120.00000507252399,Cd[+2],Passivation,Cd[+2],Passivation
CdO,mp-13119,0.0,-1.266895717499998,0.07925563000000001,4,65.87228661765661,6.47405750449773,P6_3mc,186,hexagonal,3.64389486,3.6438943646956816,5.72849411,90.0,90.0,119.99999523674639,Cd[+2],Passivation,Cd[+2],Passivation
CdN,mp-1008965,0.0,0.994917862499999,0.994917862499999,2,28.726990394373153,7.307466834424701,P-6m2,187,hexagonal,3.3389445838625407,3.3389445838625407,2.975371,90.0,90.0,120.00001156893528,Cd[+2],Passivation,Cd[+2],Passivation
MgCd,mp-1038829,0.0,-0.039326680833331004,0.055305147500000006,2,42.88241630298117,5.294064061719,P-6m2,187,hexagonal,3.168343336131771,3.168343336131771,4.93269306,90.0,90.0,119.9999886432657,Cd[+2],Passivation,Cd[+2],Passivation
Mg2Cd,mp-1039026,0.0,0.022799615000000002,0.08825569027777701,6,134.84246160742208,3.9658377317591373,P-6m2,187,hexagonal,3.1498257111799055,3.1498257111799055,15.693614,90.0,90.0,119.99999393357423,Cd[+2],Passivation,Cd[+2],Passivation
