formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Co,mp-1271142,0.0,0.010144927499998001,0.010144927499998001,4,43.53825791953996,8.99079359563772,P-3m1,164,trigonal,2.4869664600034316,8.126579006707681,2.48696704413428,90.00406662332142,119.97880905343698,89.99593412234074,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-1183710,0.0,0.010616019999998,0.010616019999998,4,42.7539001077957,9.155737593091484,P6_3/mmc,194,hexagonal,2.47056253,2.4705610318164726,8.0882338,90.0,90.0,120.00000626877326,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-54,0.0,0.025098924999999002,0.025098924999999002,2,21.280274859645473,9.197331638101419,P6_3/mmc,194,hexagonal,2.47199984,2.471999966405412,4.02114408,90.0,90.0,119.99998442728918,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-102,0.0,0.0,0.0,1,10.841542632772713,9.026471225712273,Fm-3m,225,cubic,2.4842888010729123,2.4842888968096606,2.48428809,59.999996733772335,59.99999552266977,59.99999023095498,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1272680,1.2544,-1.058268314166666,0.014164345833335002,12,135.1072028850371,4.470409478608143,P1,1,triclinic,2.843666718877935,2.829394444264355,19.41917213385558,92.72381081330752,88.68709753374112,120.03741750314911,CoHO2(s),Passivation,CoHO2(s),Passivation
CoF3,mp-1271165,0.22530000000000003,-2.136501503125,0.014427379999999,16,228.52859940117594,3.369445142031891,P1,1,triclinic,5.448099468000745,6.694256278522432,6.650617676887237,70.42644221473961,89.50746034289722,89.97433892991111,CoHO2(s),Passivation,CoHO2(s),Passivation
CoGe,mp-21237,0.0,-0.072474573750001,0.0,8,103.63940110076324,8.432408064668786,C2/m,12,monoclinic,3.7103330822306,4.872010580197322,6.1017927907022775,99.04229059428772,107.70019291902742,89.99998955930387,CoHO2(s),Passivation,CoHO2(s),Passivation
Zn13Co,mp-30568,0.0,-0.040924318214286,0.0,14,194.3696483323901,7.767907608338069,C2/m,12,monoclinic,5.026605425835662,6.475020334924666,6.4750219961082625,70.19148085335645,80.70043787430602,80.7004431507799,CoHO2(s),Passivation,CoHO2(s),Passivation
CoPt,mp-949,0.0,-0.073157964999999,0.0,4,53.42636459425499,15.790161995450742,P4/mmm,123,tetragonal,3.72521526,3.78705947,3.78705947,90.0,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
Fe3Co,mp-601820,0.0,-0.041613642499999,0.0,4,45.778260642464964,8.21480064690456,P4/mmm,123,tetragonal,2.8277051700003852,4.023551440000137,4.023607450000532,89.9999999999923,90.00005075200258,90.00003602488682,CoHO2(s),Passivation,CoHO2(s),Passivation
CoF3,mp-1271121,1.638199999999999,-2.14013472,0.010794163124999001,8,110.76910997682208,3.475764043011478,C2/m,12,monoclinic,3.832972663860805,5.376628276451677,5.375332335617163,89.9895830291525,90.37309245008599,90.59193233323352,CoHO2(s),Passivation,CoHO2(s),Passivation
In3Co,mp-22236,0.0,-0.016332998125001,0.0,16,328.6815891397892,8.151843223306399,P4_2/mnm,136,tetragonal,6.814876255273517,6.814876255273517,7.077166830000147,89.99998308309091,89.99998308309091,90.00767197272452,CoHO2(s),Passivation,CoHO2(s),Passivation
Ga3Co,mp-20559,0.0,-0.200663183125,0.0,16,244.26072030190545,7.290474998820155,P4_2/mnm,136,tetragonal,6.18072931,6.18072931,6.39402288,90.0,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
CoF2,mp-555908,2.2721,-2.341685073333334,0.0,6,68.98126085349506,4.666660251169866,P4_2/mnm,136,tetragonal,3.19916469,4.643519410000112,4.643519410000112,90.00002517129354,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
Be12Co,mp-1104193,0.0,-0.039066079999999004,0.048684339615384,13,104.55600656530929,2.653523648872987,I4/mmm,139,tetragonal,4.08197057,5.457080363875603,5.457080363875603,81.95902577751427,68.03704684353478,68.03704684353478,CoHO2(s),Passivation,CoHO2(s),Passivation
Be3Co,mp-1183423,0.0,-0.285188863749999,0.0,4,33.41132288670624,4.272686656558092,I4/mmm,139,tetragonal,4.121650521890474,4.121650521890474,4.121650521890474,135.93353862233653,135.93353862233653,64.0831022876703,CoHO2(s),Passivation,CoHO2(s),Passivation
Zn3Co,mp-971948,0.0,-0.032314776249999004,0.017516067159093002,4,51.080767960723556,8.294774901672646,I4/mmm,139,tetragonal,4.710846761604557,4.710846761604557,4.710846761604557,135.2415152353044,135.2415152353044,65.15517016485508,CoHO2(s),Passivation,CoHO2(s),Passivation
CoP2,mp-14285,0.437799999999999,-0.506288872817461,0.0,12,154.83268856077132,5.185653188975327,P2_1/c,14,monoclinic,5.5196042,5.514386001530318,5.582605913588771,114.32628131176045,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
CoAs2,mp-2715,0.172299999999999,-0.290117705833334,0.0,12,183.76838977981774,7.546049905466102,P2_1/c,14,monoclinic,5.84491764,5.883524592656378,5.935094555562279,115.79156739427587,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
CoSb2,mp-755,0.0,-0.100823533333335,0.030628977777777,12,240.51946891339605,8.352510478830764,P2_1/c,14,monoclinic,6.37691843,6.523365518832164,6.485077681443345,116.92957079900114,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
CoF4,mp-1397055,1.613999999999999,-1.713008289,0.007734817499999,10,141.74310160587123,3.16137057740592,I4/mcm,140,tetragonal,6.18545312756869,6.185495445852007,6.1849874714132795,128.27655181093857,128.27621454177066,76.18559924685157,CoHO2(s),Passivation,CoHO2(s),Passivation
CoF3,mp-1271079,1.6435,-2.150928883125,0.0,16,226.68760093708212,3.396809423561567,C2/c,15,monoclinic,5.418944840248238,5.4271768241398775,8.590490452252945,71.58449244234527,107.9641128701429,90.0017777496842,CoHO2(s),Passivation,CoHO2(s),Passivation
CoSn2,mp-20155,0.0,-0.05180113000000101,0.01292766986111,6,108.31883826652756,9.086250659342552,I4/mcm,140,tetragonal,5.2249555715406615,5.224955631652865,5.2249557776665245,105.78638723973245,105.78638420685017,117.1226614836586,CoHO2(s),Passivation,CoHO2(s),Passivation
U6Co,mp-582635,0.0,-0.0030687889285770003,0.04077744607143,14,269.13143073714446,18.350875555967026,I4/mcm,140,tetragonal,7.669169026475032,7.669169026475032,7.669169026475032,96.49741735985748,96.49741735985748,140.6857939802853,CoHO2(s),Passivation,CoHO2(s),Passivation
Ta2Co,mp-574,0.0,-0.234795238222217,0.0,6,91.90798294494512,15.20657722523519,I4/mcm,140,tetragonal,4.965524390803813,4.967225216087111,4.96722523606652,75.53261813126124,60.011328989594084,60.0113320005114,CoHO2(s),Passivation,CoHO2(s),Passivation
Zr2Co,mp-628,0.0,-0.176628426666667,0.043680501666667,6,110.09891711566502,7.281141626833729,I4/mcm,140,tetragonal,5.24671544990902,5.246715792491447,5.246714845321734,106.32289356877716,106.32291636614603,115.96992174167747,CoHO2(s),Passivation,CoHO2(s),Passivation
CoSn3,mp-985707,0.0,-0.049153361874999,0.0,32,676.8834483191839,8.145906384524958,I4_1/acd,142,tetragonal,17.620730513372934,17.620730513372934,17.620730513372934,159.40038103657346,159.40038103657346,29.29362112085028,CoHO2(s),Passivation,CoHO2(s),Passivation
CoTe2,mp-1009641,0.0,-0.16567397,0.019206191666661,3,68.8033664363929,7.581466858828933,P-3m1,164,trigonal,3.7570726389887743,3.7576504971313915,5.627757179047091,89.9999943612971,90.0019176874783,120.0050881375663,CoHO2(s),Passivation,CoHO2(s),Passivation
