formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Co,mp-1193227,0.0,0.11920180928571401,0.11920180928571401,28,312.4360523107799,8.7701288408035,P4_2/mnm,136,tetragonal,4.516148720000118,8.317567389771733,8.317572219774217,89.99444502533086,89.99997976846377,89.99999999936658,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-669382,0.0,0.11766239086956701,0.11766239086956701,46,518.2483778753971,8.686182789108294,P6_3mc,186,hexagonal,7.860009710747755,7.860009710747755,9.686372,90.0,90.0,119.99999756529886,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-1072089,0.0,0.19932627500000102,0.19932627500000002,6,66.6091255550891,8.815086984090783,Fd-3m,227,cubic,4.550074982489052,4.550037088627592,4.550030250894103,60.00016435174962,60.00010024389585,60.00002657653256,CoHO2(s),Passivation,CoHO2(s),Passivation
Co,mp-2647057,0.0,0.08956573499999801,0.08956573499999801,1,11.030656874268672,8.871717589669283,Im-3m,229,cubic,2.428889488469988,2.428889488469988,2.428889488469988,109.47122063449069,109.47122063449069,109.47122063449069,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1244867,0.0,-0.43809933244444504,0.634333327555556,90,1216.4339148454005,3.723904642708839,P1,1,triclinic,10.90110038452838,10.553793556336075,10.612360305090302,92.9944263733578,92.8534690395265,87.19206682292076,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO,mp-1244882,0.2197,-0.8700932445,0.401737901749999,80,1044.2359862327437,4.766298154811251,P1,1,triclinic,10.049044761627183,10.173191953744643,10.370960197531202,94.54368623078942,84.0107861986502,83.96681257146523,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO,mp-1244939,0.258099999999999,-0.8624241946250011,0.409406951625,80,997.8887168179468,4.987670439084296,P1,1,triclinic,10.356496603134394,9.402539776386446,10.261546493044053,87.27872400372475,91.20286494978245,90.27025749616362,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1244948,0.0128,-0.37509983755555504,0.697332822444446,90,1114.0442016691466,4.066161734206108,P1,1,triclinic,9.802694637651477,10.681838606460687,10.707384907861163,94.91276330524727,93.49747741155876,87.36653338507692,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1245011,0.023500000000000004,-0.37523682144444404,0.697195838555557,90,1181.828781905541,3.832944308343416,P1,1,triclinic,10.384414559677461,10.71109131817072,10.644082709269346,86.85424009513099,88.80934638660877,89.3757893092507,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO,mp-1245089,0.2662,-0.9030274552499991,0.36880369100000104,80,1022.3265623574213,4.8684444263011795,P1,1,triclinic,10.08110670382532,10.015403272647305,10.179289947202724,92.51852483530507,90.00127366015404,84.67099090568593,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1245099,0.13419999999999901,-0.34032196800000003,0.732110692,90,1148.6843334961923,3.9435411199993453,P1,1,triclinic,10.74344721813012,10.290016237503878,10.453808264501918,84.88021602864578,93.66105100795504,89.93631825571062,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1245119,0.02,-0.48400639300000003,0.588426267000001,90,1196.1805942140124,3.786956522244683,P1,1,triclinic,10.340047151421071,11.112350517900568,10.517294078574773,88.20027499345392,97.3857103123632,87.23914609093028,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO,mp-1245304,0.347099999999999,-0.887707466874999,0.384123679375001,80,1043.5196614446731,4.769569983452121,P1,1,triclinic,10.262615365268056,10.212366369608333,10.032931327919515,86.1619349129473,90.09382927792474,95.93021239671614,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO4,mp-1079523,0.0161,-0.044351181,0.599108415,10,196.48956487420548,2.077783496710197,P2_1/m,11,monoclinic,6.476655,5.5002130000000005,5.516100437925782,89.41102549831811,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
Tl3Co,mp-1187848,0.0,0.509696574999999,0.509696574999999,8,217.1862989948188,10.27707770162392,P1,1,triclinic,8.408470427377264,8.930446268689881,3.0832384906725916,89.86330332860432,89.99144186052122,110.26958807864972,CoHO2(s),Passivation,CoHO2(s),Passivation
CoGe,mp-1079143,0.0,0.593298122499998,0.665772696249999,8,129.05116889864905,6.771962850997993,C2/m,12,monoclinic,4.4118595664340905,5.891764955249573,5.891764955249573,77.41326452198889,113.18495358334519,113.18495358334519,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-1181781,0.9901999999999991,0.23750547999999902,1.30993814,3,133.0912067326342,1.134531227181001,C2/m,12,monoclinic,5.68221264749798,5.68221264749798,4.364283971188172,81.9100101903926,81.9100101903926,73.62507490158579,CoHO2(s),Passivation,CoHO2(s),Passivation
NdCo,mp-1220493,0.0,0.07431147303030601,0.08913105386363501,10,211.74807067262967,7.9665507125959945,C2/m,12,monoclinic,5.794184,5.716865204142914,7.4159130701445655,89.28192660926592,90.0,59.55158941163575,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO2,mp-556750,0.0,-0.9094040000000001,0.16302866000000102,3,78.48011233546804,1.9240050199716032,C2/m,12,monoclinic,2.8515900458270647,2.8515900458270647,10.661217506231264,86.6618427785418,86.6618427785418,65.15395578693986,CoHO2(s),Passivation,CoHO2(s),Passivation
CoCl2,mp-632413,0.06279999999999901,-0.744496831666666,0.19827219333333201,3,60.98259136995878,3.5354853053949693,C2/m,12,monoclinic,3.42381608043241,3.42381608043241,5.851622628010397,90.28980594712945,90.28980594712945,62.75158734077552,CoHO2(s),Passivation,CoHO2(s),Passivation
CoS2,mp-1042106,0.0,-0.13739161187499901,0.317421816666666,6,125.66071986937258,3.252428335131963,I-42d,122,tetragonal,6.0429412016911925,6.0429412016911925,6.0429412016911925,130.2149822935268,130.2149822935268,73.0633135009861,CoHO2(s),Passivation,CoHO2(s),Passivation
CoS,mp-1147746,0.0,-0.37589248890624904,0.084537027916667,4,65.81341856176692,4.591952859758208,P4/nmm,129,tetragonal,3.62337525,3.62337525,5.01288594,90.0,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
CoSe,mp-604908,0.0,-0.18550216203125,0.120583466874998,4,71.80527544580197,6.3777218566238,P4/nmm,129,tetragonal,3.58872142,3.58872142,5.57541063,90.0,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
Hf3Co,mp-1184729,0.0,0.12160398406250202,0.33879889156250403,4,75.477089942124,13.077209619054129,I4/mmm,139,tetragonal,5.539415511985177,5.539415511985177,5.539415511985177,137.92837522140755,137.92837522140755,61.01271293151443,CoHO2(s),Passivation,CoHO2(s),Passivation
K3Co,mp-1185067,0.0,0.814396606499999,0.814396606499999,4,185.98684809087234,1.573410374893909,I4/mmm,139,tetragonal,6.769622567923266,6.769622567923266,6.769622567923266,128.24420247833936,128.24420247833936,76.2297624900304,CoHO2(s),Passivation,CoHO2(s),Passivation
CoO,mp-19275,0.0,-1.140194398750001,0.131636747499999,8,79.70449348400037,6.244491165818308,Cmme,67,orthorhombic,4.214122974816587,4.5017713846550445,5.212526456539957,64.38006026984013,113.87672901280865,90.0773603579421,CoHO2(s),Passivation,CoHO2(s),Passivation
Li3Co,mp-976017,0.0,0.32882361625,0.32882361625,4,56.32270167237889,2.351419119971234,I4/mmm,139,tetragonal,4.72146568929628,4.72146568929628,4.72146568929628,132.38610712153445,132.38610712153445,69.61989202975202,CoHO2(s),Passivation,CoHO2(s),Passivation
K3Co,mp-1079139,0.0,0.868490212749999,0.868490212749999,8,536.3238385978699,1.091257241688299,P2_1/c,14,monoclinic,9.809121,6.939831,8.207884234083348,73.7152351030655,90.0,90.0,CoHO2(s),Passivation,CoHO2(s),Passivation
Pu6Co,mp-1105020,0.0,0.54342866758928,0.5647945046428471,14,289.10647491190014,17.494523890480753,I4/mcm,140,tetragonal,5.188097,7.9027872173385125,7.9027872173385125,83.81467838014434,70.83772196464577,70.83772196464577,CoHO2(s),Passivation,CoHO2(s),Passivation
Sc2Co,mp-30562,0.0,-0.127596688333333,0.06657350333333201,6,111.05935706647587,4.451006658905417,I4/mcm,140,tetragonal,5.2585483488460945,5.258548937879099,5.258549387987273,106.6369587474523,106.63696247537942,115.30183489012622,CoHO2(s),Passivation,CoHO2(s),Passivation
