formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cr,mp-90,0.0,0.0,0.0,2,26.16895772559837,6.5987767847843095,Im-3m,229,cubic,2.96889915140125,2.9688993423008085,2.9688995716460274,90.0015093557201,89.99831571270103,89.99833464485413,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-1281333,0.014699999999999,-2.042247830833334,0.0054530308333010005,12,119.76455773024053,4.6583668988055695,P-42_1m,113,tetragonal,4.471343000616369,4.47134300061335,5.990352000008847,89.99991373604823,89.99983703471523,90.00189647162753,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrSe2,mp-1061769,0.0,-0.7531734615624981,0.015383776666667001,3,121.60280034569172,2.86649553930821,C2/m,12,monoclinic,3.4592014130184685,3.4592014130184685,11.776320436139262,85.97774094261972,85.97774094261972,59.972701296086505,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN,mp-1232782,0.0,-0.701616664374999,0.047570155,8,71.56231405539805,6.126142193788892,C2/m,12,monoclinic,2.981278155662769,4.973690089489392,5.096716579716298,97.67378141964733,107.00339936345051,89.99976868161625,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrAs2,mp-15681,0.0,-0.11379741500000001,0.009943749999999,6,90.68964531971753,7.391407070644418,C2/m,12,monoclinic,3.199666869014927,4.703593144010003,6.6428118408821115,79.48145241220018,76.06405088419956,70.11520432648784,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrCl3,mp-27630,0.14679999999999901,-1.4250044681249991,0.000540786249999,8,186.86885402573304,2.814324851685975,C2/m,12,monoclinic,5.9959697141520865,5.996073737176617,6.289957139013091,98.59360103190727,98.70652901673046,119.95495997673866,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrS2,mp-28910,0.0,-0.8613659683333321,0.007822376666666,6,202.52380559463728,1.9042889810974821,C2/m,12,monoclinic,3.3030835260949534,3.303083515534072,21.515102701766125,94.68444909964846,90.27521641602016,60.04421026245251,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrP2,mp-7291,0.0,-0.32607621031745904,0.001482781666666,6,74.9798194776809,5.046900362258206,C2/m,12,monoclinic,3.0054789205886943,4.3312277053872,6.350832952210791,80.19021250115885,76.31283480275472,69.6988630350523,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrPt,mp-1206750,0.0,-0.275839335,0.0,2,29.81268588799263,13.762133347223228,P4/mmm,123,tetragonal,2.94412316,2.94412316,3.43945124,90.0,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-755073,0.0,-1.967088979999999,0.005067494166667,8,94.07361691322753,4.800886276421006,C2/c,15,monoclinic,4.2108670364796925,5.290153028430647,4.22308008642482,90.00043765758855,89.99565702430642,90.1367802552046,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-19177,0.041999999999999,-2.04770086166665,0.0,6,56.64882570127859,4.924261398838221,P4_2/mnm,136,tetragonal,2.91388854,4.409191770168261,4.409191770168261,90.00100110566376,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrF4,mp-20488,1.0142,-2.600631224499999,0.0061190655000000005,20,245.74376516367715,3.459406884007943,P4_2/mnm,136,tetragonal,8.05643998,8.05643998,3.78613553,90.0,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrNi3,mp-1007923,0.0,0.0401541225,0.0401541225,4,43.47438262823738,8.71155801231758,I4/mmm,139,tetragonal,3.49868912,3.49868912,4.328303211590793,113.83877516891087,113.83877516891087,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Be12Cr,mp-1590,0.0,-0.050614865384615,0.00025784442307600003,13,107.9943631152315,2.462374064031555,C2/m,12,monoclinic,4.125156006505035,5.5140272628400755,5.514334140633557,82.00282790591515,68.10872153494635,68.10967750346492,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Al3Cr,mp-867780,0.0,-0.15663263999999802,0.0,4,58.03391651727654,3.80386617646166,I4/mmm,139,tetragonal,4.836067811266611,4.836067811266611,4.836067811266611,133.74726177601056,133.74726177601056,67.48302922167453,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrSi2,mp-8937,0.0,-0.25700194666666604,0.0,3,34.85036278624792,5.153911779125176,I4/mmm,139,tetragonal,3.054996075116089,3.054998354896232,4.313930257660411,110.73738469338478,110.73741971400483,89.9999759667182,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrF5,mp-1374127,1.166799999999999,-2.263764865,0.046037638333333006,24,362.74855973314027,2.6914456572728183,P2_1/c,14,monoclinic,9.770393,5.348484,7.392716333340878,69.88188897825646,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrTe3,mp-540922,0.1806,-0.45052173312499805,0.0,32,980.178041868436,5.892773591859179,P2_1/c,14,monoclinic,8.206903263213848,10.692247153937268,11.55750347,90.0,90.0,104.87694440428575,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrF2,mp-554340,0.006399999999999,-2.822883553333335,0.0,6,77.87729719445201,3.8377484113488993,P2_1/c,14,monoclinic,3.5564381972394368,4.66410698003677,4.735029682121412,90.00034109868082,97.46400827586761,90.0002084427893,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrB,mp-1080664,0.0,-0.41076425125000005,0.0,8,65.63257254003089,6.356212421583301,I4_1/amd,141,tetragonal,2.90046917396992,2.90049441396912,8.06683755220993,100.36195838210527,100.36187020154104,89.99591204743338,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrF6,mp-1391848,2.0863,-2.063723397142856,0.0,7,87.35464078304243,3.155265675525009,R-3,148,trigonal,5.175463983840874,5.17546438199251,5.175464587761926,55.315760644069655,55.31573240418593,55.31574478238545,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrBr3,mp-27734,1.2759,-1.21740412,0.0,24,667.6168781881327,4.353329389229361,P3,143,trigonal,6.378436931309698,6.37851435796064,18.947896741043426,89.99927203185064,89.99938133899639,119.99957414372763,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrCl3,mp-567504,1.5182,-1.425545254374999,0.0,8,185.64610736007532,2.832861229191603,R-3,148,trigonal,6.894827952204648,6.894230452951399,6.893094831282324,51.558056298109214,51.56375734923966,51.550752701857014,CrHO4[-1],Passivation,CrHO4[-1],Passivation
