formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cr,mp-1192789,0.0,0.26357824500000304,0.26357824500000104,28,336.9481722982685,7.174882515651355,P4_2/mnm,136,tetragonal,4.556398,8.599451,8.599451,90.0,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-89,0.0,0.420340105000001,0.420340105000001,2,23.175332656419794,7.451159958812742,P6_3/mmc,194,hexagonal,2.44359144,2.443591469088278,4.48165159,90.0,90.0,119.99998657410136,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-17,0.0,0.357538657500001,0.357538657500001,8,91.86760105479368,7.518781757180536,Pm-3n,223,cubic,4.51219083,4.51219083,4.51219083,90.0,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-8633,0.0,0.40252634000000104,0.40252634000000104,1,11.500578123183354,7.507583917611,Fm-3m,225,cubic,2.5336395166194747,2.5336401555920185,2.53364054,59.99999498108919,59.99998663852638,59.99999197228596,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-1059289,0.0,0.335908380000001,0.335908380000001,2,23.00239265199828,7.507180376154436,Cmcm,63,orthorhombic,2.29410101,2.720650466754786,4.06431074,90.0,90.0,114.93621880324804,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1016069,0.2328,-0.017336512083332003,0.48212136750000106,12,159.72605797035922,3.327169082800194,P1,1,triclinic,4.992443,5.064948742349226,6.854656545389856,101.0036744186146,89.61720371812585,109.8410974948831,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1016063,0.12890000000000001,-0.054033927083333,0.44542395249999805,12,201.52193828108958,2.637110412541122,P1,1,triclinic,5.270943,5.617381076853697,7.5252286428294,109.43427818474531,106.21752417180896,87.1817488269912,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096951,0.09539999999999901,-0.149949711249999,0.34950816833333304,72,1485.356064348338,2.14669982996845,P1,1,triclinic,9.687574,9.766438435958372,18.076745324829467,90.00197026327817,90.078941707171,119.71755758519284,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096889,0.066,0.088289490416668,0.58774737,12,166.64498608720132,3.189028450687638,P1,1,triclinic,5.395872,5.76015255085219,6.225827603847941,76.78511725605537,83.3574183031884,62.21038064272914,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096901,0.0,-0.102411252083333,0.397046627499999,12,203.21626801811198,2.615123321471319,P1,1,triclinic,5.543369688549646,6.0378077692236936,6.840077802468477,116.05688945542266,91.25667381576052,81.57683081790867,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096899,0.09919999999999901,-0.017640153749998,0.48181772583333404,12,169.25604536066854,3.139832321286321,P1,1,triclinic,5.097564,5.314222526684406,6.670387309961094,92.2143951499206,93.23621011173171,109.95416818825477,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096900,0.0,-0.013618963749998,0.48583891583333505,12,199.11564133876067,2.668979685490329,P1,1,triclinic,5.286941,5.732691516136901,6.575746664204529,90.54232583327651,92.04580551732654,91.24784059655968,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096928,0.0,-0.126805092361109,0.372652787222223,9,154.92317784184942,2.572737707163985,P1,1,triclinic,5.450034,5.469151755196139,5.99335026078645,88.35821869502333,89.13454833252624,60.17783241163086,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096886,0.0637,-0.082748113749999,0.416709765833333,12,246.22149876528928,2.158363930288321,P1,1,triclinic,5.168434,7.513962987308628,7.564387820558449,113.73704122735909,102.57545924497892,102.81294005770177,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1443809,0.0,4.6375799662500015,5.137037845833334,12,203.21622745254638,2.615123843496346,P1,1,triclinic,5.543369,6.037807817743953,6.8400773596073465,116.0568900699785,88.74332654639841,98.42317352562755,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096934,0.0,-0.13021877160714102,0.369239107976191,84,1971.6436655429197,1.886775626645166,P2/m,10,monoclinic,9.141115,13.521872,16.574716770749507,74.23400056761429,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-2039648,0.0,-1.870891144374999,0.133620742499999,8,93.71685927120197,4.819162100866343,P-1,2,triclinic,3.0382088513874677,6.62765173735524,6.209280127217932,61.07174650695853,90.08603128806965,116.91116760116302,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1016048,0.14779999999999902,-0.12726283468749902,0.37219504489583405,96,2417.6821342519665,1.758496186963659,P2_1/m,11,monoclinic,24.11663,8.034336,12.515070381362305,85.56781182455971,90.0,90.0,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrPb2,mp-1072023,0.0,0.5072520983333291,0.5072520983333321,6,160.28441647395064,9.663683614379899,C2/m,12,monoclinic,6.249404766275985,6.249404766275985,6.457561088922117,63.01044441074717,63.01044441074717,47.00237275102591,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096966,0.0,-0.126078061011905,0.37337981857142705,84,1970.0068327312279,1.888343304585507,C2/m,12,monoclinic,9.163804275826989,13.523750214645325,17.126477443660704,104.99337797894452,105.51753480165252,90.00000000361301,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096911,0.000499999999999,-0.129418172462118,0.37003970712121503,66,1402.1070790680606,2.084645212563709,C2/m,12,monoclinic,17.574407809354145,17.574407809354145,7.990982820315033,89.58473528494645,89.58473528494645,145.37090123637248,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrN2,mp-1096912,0.0,-0.110429872916665,0.38902800666666804,42,966.3903033609993,1.9247136481180491,C2/m,12,monoclinic,14.059737114571169,14.059737114571169,13.032137945802331,71.09319173837262,71.09319173837262,23.42371297686428,CrHO4[-1],Passivation,CrHO4[-1],Passivation
