formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cs,mp-1096915,0.0,0.042207972068965004,0.042207972068965004,1,115.61619281972685,1.908856274035875,C2/m,12,monoclinic,5.110058106603583,5.285245185187249,5.285245185187249,69.66998117732007,73.27175166818927,106.72824833181073,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-672241,0.0,0.027480051250002004,0.027480051250002004,8,990.2966648448793,1.7828572215066232,P4_2/mbc,135,tetragonal,9.05579894,10.4572929,10.4572929,90.0,90.0,90.0,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-1949606,0.0,0.0,0.0,8,983.1042254716456,1.795900693546087,Cmce,64,orthorhombic,9.225874813422854,9.225877727497087,11.73257214,90.0,90.0,100.11927169277521,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-1183694,0.0,0.019629529999999,0.019629529999999,1,123.94828114669768,1.780538568202299,I4/mmm,139,tetragonal,5.649176694937048,5.649176694937048,5.649176694937048,121.73775195244455,121.73775195244458,87.0155879686095,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-2739124,0.0,0.017216879999999,0.017216879999999,1,122.45436336950185,1.80226076859457,C2/m,12,monoclinic,5.424828707128402,5.424828707128402,5.447855655274914,72.21840508596864,72.21840508596864,113.29085967278432,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-11832,0.0,0.019877785000002,0.019877785000002,2,248.43025518532286,1.776713507615603,P6_3/mmc,194,hexagonal,5.5663062100000005,5.566305897658845,9.25847896,90.0,90.0,119.99998934862722,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-639727,0.0,0.0198479075,0.0198479075,4,496.91339759614056,1.776524409377617,P6_3/mmc,194,hexagonal,5.56590765,5.565909488650539,18.52157517,90.0,90.0,119.99999541577324,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-1183897,0.0,0.013120229,0.013120229000001002,20,2523.9202881407796,1.748824604969198,P4_132,213,cubic,13.61523719,13.61523719,13.61523719,90.0,90.0,90.0,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-949029,0.0,0.032965812500002,0.032965812500002,8,989.4272375195286,1.784423849881907,Pm-3n,223,cubic,9.96463252,9.96463252,9.96463252,90.0,90.0,90.0,CsO2(s),Passivation,CsO2(s),Passivation
Cs,mp-1055940,0.0,0.009248450000001001,0.009248450000001001,1,123.10401593422475,1.792749760186505,Fm-3m,225,cubic,5.58378995231041,5.58378995231041,5.58378995231041,59.99999999999999,59.99999999999999,59.99999999999999,CsO2(s),Passivation,CsO2(s),Passivation
