formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cu,mp-1010136,0.0,0.03556281,0.03556281,1,11.467885837555203,9.201400940058464,I4/mmm,139,tetragonal,2.462702207629032,2.462702207629032,2.462702207629032,107.81653044772753,107.81653044772753,112.83384169753232,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-989695,0.0,0.007716539999998001,0.007716539999998001,4,45.825717972586844,9.210602272661523,P6_3/mmc,194,hexagonal,2.53076415,2.5307639034862808,8.26181508,90.0,90.0,120.00002949500104,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-989782,0.0,0.012339934999999,0.012339934999999,2,22.871270635686635,9.227350522582427,P6_3/mmc,194,hexagonal,2.53409606,2.534097279544852,4.112571,90.0,90.0,120.00002372897934,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-30,0.0,0.0,0.0,1,11.445998564977856,9.21899604714547,Fm-3m,225,cubic,2.5296252999953506,2.5296258526342896,2.52962495,60.000011672913146,60.000004446095396,60.000002640914175,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-998890,0.0,0.033066179999998,0.033066179999998,1,11.458093915963799,9.209264324422124,Im-3m,229,cubic,2.461078073834178,2.461078073834178,2.461078073834178,71.78190446000625,67.99236511337496,108.21809553999374,Cu2O3(s),Passivation,Cu2O3(s),Passivation
ZrCu,mp-1067210,0.0,-0.1250487375,0.024891506730771003,4,71.08931675809656,7.2303868726776415,P2_1/m,11,monoclinic,4.138216,3.242188999999999,5.509563052007391,74.08954990294049,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CaCu,mp-30471,0.0,-0.10677027750000101,0.000139304500001,20,472.55370049677634,3.641315263354545,P2_1/m,11,monoclinic,4.1882481,5.787218913773732,19.55808669522131,94.56103235769969,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr,mp-32880,0.4449,-0.5165704024999991,0.001041819999999,2,46.39061359373776,5.134752715060553,I-4m2,119,tetragonal,4.004682615292253,4.004682615292253,4.004682615292253,118.50095002341453,118.50095002341453,92.61665297297185,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Zr2Cu,mp-1077372,0.0,-0.089884348333331,0.044237781666669,6,116.8333519002447,6.992569168056965,C2/m,12,monoclinic,5.556211558657221,5.556211558657221,8.149835156266223,57.530209370673326,57.530209370673326,34.14072226071645,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr2,mp-2360071,0.0,-0.672241919999999,0.0,3,90.98914097601644,4.076179186911299,C2/m,12,monoclinic,4.519394141676442,4.519394141676442,6.9115491103357005,66.797221354498,66.797221354498,45.46805168433892,Cu2O3(s),Passivation,Cu2O3(s),Passivation
AlCu,mp-2500,0.0,-0.24248409,0.0,10,136.37894603678083,5.511280106531164,P-1,2,triclinic,4.055721839447059,6.315175601349659,6.324568640216443,65.48687748493099,71.36152754934801,71.43809003412542,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr2,mp-23219,0.0,-0.663808629999998,0.008433290000001,3,80.28921196290247,4.619400709185497,C2/m,12,monoclinic,3.5115487448898204,4.020957438305136,6.560048752576681,83.38755973021632,74.47574255305845,64.10930902872431,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuCl2,mp-30999,0.0,-0.670025861666665,0.0,3,68.46259636386836,3.261091609729422,C2/m,12,monoclinic,3.3070405925589457,3.839020971721184,6.200786328693871,82.45655194663297,74.53419216831112,64.48712910335911,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuI4,mp-33218,0.0,-0.16940907000000002,0.0,5,176.79192444894747,5.364724317171609,I-42m,121,tetragonal,6.881125686204184,6.881125686204184,6.881125686204184,131.9185574509355,131.91855745093554,70.35768698696718,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Ga2Cu,mp-11359,0.0,-0.080186346666666,0.0,3,45.47985409473733,7.41154853982418,P4/mmm,123,tetragonal,2.79943572,2.79943572,5.80334064,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
ZnCu,mp-2034504,0.0,-0.087976599999998,0.002778430000001,2,25.022536330714708,8.557678266633443,P4/mmm,123,tetragonal,2.7383889745917798,2.7383889745917798,3.33688373,90.0,90.0,90.01783793411872,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuAu,mp-522,0.0,-0.048137494999999,0.0,4,58.21191880115012,14.86263662404068,P4/mmm,123,tetragonal,3.5816088600000002,4.031502,4.031502,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
TiCu,mp-2078,0.0,-0.138510230833333,0.0,4,56.4596007878481,6.553558170638885,P4/nmm,129,tetragonal,3.0975765,3.0975765,5.8842853,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuI,mp-22863,1.5721999999999992,-0.329992295833334,0.013425672499998001,4,109.60395949501547,5.770785054562077,P4/nmm,129,tetragonal,4.09019619,4.09019619,6.55145804,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr,mp-22917,0.9962000000000001,-0.515792749999999,0.0018194724999990002,4,89.78373111776392,5.306180220809305,P4/nmm,129,tetragonal,3.85397298,3.85397298,6.04477748,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuO,mp-1692,0.0,-0.9427949424999991,0.0,4,42.9164487435527,6.155599921960791,C2/c,15,monoclinic,2.879500963946578,2.879544582384552,5.176397490790502,89.80651161801521,89.80634916327074,89.22252537948611,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuAu3,mp-1184018,0.0,-0.012307605000000001,0.011761142499999001,4,64.70288893024134,16.795736348245672,I4/mmm,139,tetragonal,4.958702698368683,4.958702698368683,4.958702698368683,132.66338311961437,132.66338311961437,69.18328186204945,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuNi3,mp-1184054,0.0,0.0430200825,0.0430200825,4,42.799672693581684,9.297002557231611,I4/mmm,139,tetragonal,4.266586458102029,4.266586458102029,4.266586458102029,131.38673134754066,131.38673134754066,71.19935988817309,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuPd3,mp-1184119,0.0,-0.050925034999998,0.0107508675,4,56.80861846536989,11.189575369032706,I4/mmm,139,tetragonal,4.750329613378056,4.750329613378056,4.750329613378056,132.70707763545914,132.70707763545914,69.11454119219374,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Zr2Cu,mp-193,0.0,-0.13412213,0.0,3,58.009996856272245,7.041590575522222,I4/mmm,139,tetragonal,3.22167195378273,3.2216723227731072,6.035509237227939,105.4794644871919,105.47947106410864,89.99999058281516,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Hf2Cu,mp-30581,0.0,-0.159939316666665,0.0,3,55.26354973948127,12.635812480611495,I4/mmm,139,tetragonal,3.1528352196411102,3.152834510656754,5.9898513717383866,105.25893969971108,105.25893362072723,89.99999434305981,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Ti2Cu,mp-742,0.0,-0.11303320444444301,0.0,3,45.65947584503994,5.792678466692911,I4/mmm,139,tetragonal,2.9285519024880173,2.9285511321058464,5.712398859270411,104.85257208751335,104.85257058170947,90.00001967100106,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuF2,mp-1229,0.0,-1.8150299499999991,0.0,6,68.09158710604335,4.952617617703766,P2_1/c,14,monoclinic,3.2914213925936973,4.523318260005041,4.612853492723321,89.99989675962374,97.48535869923329,90.00012671784127,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuP2,mp-927,0.8679000000000001,-0.156310461150794,0.0,12,190.93693187864682,4.365565051390864,P2_1/c,14,monoclinic,4.78337532,5.766545905637777,7.49791674590338,112.60047172692335,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Mg2Cu,mp-1052023,0.0,-0.07827812166666501,0.009202400000000001,6,106.17945019310595,3.50801250552495,I4/mcm,140,tetragonal,5.214667431847367,5.214667431847367,5.214667431847367,120.31482804094354,104.25078803701503,104.42321551838495,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Th2Cu,mp-1034,0.0,-0.09556743166666501,0.0051136466666660005,6,153.46435028839687,11.418119465737002,I4/mcm,140,tetragonal,5.745735328969134,5.912921540629907,5.9129203547422655,76.34572969429007,60.93098743175271,60.93098132708656,Cu2O3(s),Passivation,Cu2O3(s),Passivation
