formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cu,mp-1056079,0.0,1.982934489999999,1.982934489999999,1,563.0816222753278,0.187398436304439,P2/m,10,monoclinic,2.2382121,11.570253952942158,22.223741724474408,101.93424184057689,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-1120774,0.0,0.18032071500000002,0.18032071500000002,6,133.40886576231534,4.745739269569768,P-3m1,164,trigonal,2.50365852525989,2.50365852525989,24.575589270000002,90.0,90.0,120.00001599406227,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Cu,mp-1059259,0.0,0.15576821999999801,0.15576821999999801,2,23.987908979667214,8.797816901473627,Cmcm,63,orthorhombic,2.43692738,2.4754955234585974,4.158874348386741,89.99257795146147,107.03640099360321,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuS2,mp-850099,0.0,0.351664054618055,0.536854333333334,3,52.54267318712817,4.035024733365863,P-4m2,115,tetragonal,3.551538,3.551538,4.165616,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuN,mp-1080203,0.0,0.20554500500000103,0.20554500500000103,4,44.11108850993348,5.838862400383055,C2/m,12,monoclinic,2.983676461590633,2.983676461590633,6.106538726682817,77.91800917698455,77.91800917698455,56.656240644456645,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuAs,mp-1246684,0.0,0.19522826850000202,0.19522826850000102,10,160.63255609273907,7.157044152543853,C2/m,12,monoclinic,4.1619679193253045,6.8897598891346705,6.527160131127395,67.73817327663376,71.40846733302398,72.41982203682537,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuO2,mp-654801,0.072799999999999,-0.400261233333333,0.30963668187500004,3,87.80547606776163,1.806901802890346,P1,1,triclinic,7.994718228200478,5.8510506227173416,5.784098606133198,86.80277223163877,46.94723696057131,46.24999080778992,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuI4,mp-2745918,0.0,0.041182183999998005,0.15388030333333,5,178.80759181688563,5.30424869846756,I-42m,121,tetragonal,8.067180631807867,8.067180631807867,8.067180631807867,144.18321236285428,144.18321236285428,51.55341370405612,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuCl4,mp-32829,0.0,-0.31046379699999804,0.09155172,5,123.90051056367945,2.752248397423521,I-42m,121,tetragonal,6.263859883061482,6.263859883061482,6.263859883061482,134.29639772892313,134.29639772892313,66.6254264482651,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuCl2,mp-1147758,0.0,-0.472898831666665,0.19712703,3,88.2378778693036,2.530237625537596,P4/mmm,123,tetragonal,4.520647999999999,4.520647999999999,4.317712,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuO,mp-1147768,0.0,-0.6652429325,0.277552009999999,6,67.30830555683515,5.887308104500786,P4/mmm,123,tetragonal,4.160937,4.160937,3.887642999999999,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr2,mp-1147530,0.0,-0.46649785666666604,0.205744063333333,3,98.2652120829778,3.7743575251044943,P4/mmm,123,tetragonal,4.831012,4.831012,4.210402,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuF2,mp-1147672,0.0,-1.706543093333332,0.108486856666666,3,50.64689203076186,3.329242727411324,P4/mmm,123,tetragonal,3.747011,3.747011,3.607305,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuI2,mp-1147667,0.0,-0.160968143333333,0.0931066309009,3,122.89250506737712,4.288140074608916,P4/mmm,123,tetragonal,5.200384,5.200384,4.54417,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuI2,mp-1213016,0.0,-0.15565562000000002,0.098419154234234,3,130.62795087514615,4.034207627984498,P4/mmm,123,tetragonal,3.82583293,3.82583293,8.92450449,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Al2Cu,mp-12794,0.0,-0.05815897999999901,0.15449800333333302,3,48.72590799930771,4.004613179778768,P4/mmm,123,tetragonal,4.105182,4.105182,2.891313,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Al3Cu,mp-985825,0.0,-0.103018489999999,0.056474247499999006,4,57.99999359085728,4.136764462174224,P4/mmm,123,tetragonal,2.7784054293798315,2.7784054293798315,7.5134034100000004,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuSe,mp-580226,0.0,-0.131382814531249,0.0538432525,4,77.48253878313065,6.108131817601714,P4/nmm,129,tetragonal,3.77457995,3.77457995,5.43834287,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuO,mp-510751,0.0,-0.763260695937499,0.179534246562499,32,418.05871213730086,5.055299284372003,P4_2/nmc,137,tetragonal,5.748392,5.748392,12.651572999999999,90.0,90.0,90.0,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuF2,mp-1147670,0.0,-1.710258549999999,0.10477140000000001,3,83.14190925195075,2.028048170609508,I4/mmm,139,tetragonal,6.5246575399144895,6.5246575399144895,6.5246575399144895,146.75637569619607,146.75637569619607,47.724643678680096,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuCl2,mp-1147756,0.0,-0.46160558499999804,0.20842027666666602,3,139.51366443216003,1.6002934156393471,I4/mmm,139,tetragonal,7.564856071940232,7.564856071940232,7.564856071940232,145.31652336466047,145.31652336466047,49.86308248924224,Cu2O3(s),Passivation,Cu2O3(s),Passivation
CuBr2,mp-1147532,0.0,-0.45981051666666606,0.21243140333333302,3,182.61442218480494,2.030989876068163,I4/mmm,139,tetragonal,8.547803402050084,8.547803402050084,8.547803402050084,147.1967336533823,147.19673365338232,47.072573991222576,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Co3Cu,mp-1183752,0.0,0.11858711624999901,0.11858711624999901,4,44.52013264955726,8.964556249616201,I4/mmm,139,tetragonal,4.343213706429607,4.343213706429607,4.343213706429607,131.86847617431752,131.86847617431752,70.4368339501156,Cu2O3(s),Passivation,Cu2O3(s),Passivation
Ce3Cu,mp-1183872,0.0,0.124652727499999,0.16621439437500002,4,93.34084008005519,8.608502884741396,I4/mmm,139,tetragonal,5.654130453624412,5.654130453624412,5.654130453624412,133.54557406840465,133.54557406840465,67.79864599413504,Cu2O3(s),Passivation,Cu2O3(s),Passivation
