formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Fe,mp-1271068,0.0,0.017069855000000002,0.017069855000000002,4,45.741043013505404,8.109373830977775,Fmmm,69,orthorhombic,2.4526871962225427,2.452687240176374,7.860420649139523,90.00418265010312,89.99591017477424,104.6852918826331,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-13,0.0,0.0,0.0,2,23.468168469356993,7.902858241785766,Im-3m,229,cubic,2.477813028804854,2.477809133849768,4.054295207189474,90.00003845025343,90.00031950636807,109.469836683298,FeO4[-2],Passivation,FeO4[-2],Passivation
FeCl3,mp-676241,0.6636000000000001,-1.140324741249999,0.024356177083334003,8,244.81410220315692,2.200413099857064,P1,1,triclinic,3.755022,7.591638151814798,8.877341178531891,95.03394139948978,94.08800203757448,102.73573096192781,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-1178232,0.0,-1.4694833325,0.012036054999999001,8,85.18241987850475,5.602115229250103,P1,1,triclinic,3.1546289361634914,5.352970870043943,5.349654680242734,79.86820917102625,90.55375662945876,73.68842863274025,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-1274279,1.8157,-1.481519387499999,0.0,8,84.98847683834407,5.6148992124359385,P-1,2,triclinic,3.1022937640270305,5.375695840657374,5.443817206669784,110.55665728789752,91.09699169817493,89.94660035938162,FeO4[-2],Passivation,FeO4[-2],Passivation
Zn13Fe,mp-1722,0.0,-0.030845707142856,0.0,14,197.29212470465896,7.626849799103289,C2/m,12,monoclinic,5.075028577014614,6.485482836742279,6.4854739392068765,70.37653804336205,80.93352305384818,80.93362114719095,FeO4[-2],Passivation,FeO4[-2],Passivation
FeGe,mp-22510,0.0,-0.102324647499999,0.019820883333334,8,109.64221860708533,7.783657232864989,C2/m,12,monoclinic,3.966315593252331,4.894999952433829,6.151925341819885,103.36336913529698,108.8059397006551,89.99999930548653,FeO4[-2],Passivation,FeO4[-2],Passivation
ZnFe,mp-1215473,0.0,-0.00865922,0.022560960833332002,2,25.00017717926042,8.053823080443978,P4/mmm,123,tetragonal,2.54160215,2.54160215,3.87015134,90.0,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FeNi,mp-2213,0.0,-0.067223354999999,0.0,4,44.565559886299106,8.535536782713221,P4/mmm,123,tetragonal,3.55275832,3.55275832,3.53075869,90.0,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FePd,mp-2831,0.0,-0.063690459999999,0.008477096666666,4,54.94172626057734,9.808478545574463,P4/mmm,123,tetragonal,3.73837417,3.83362622,3.83362622,90.0,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FePt,mp-2260,0.0,-0.231995889999999,0.0,2,27.81342753558363,14.981159977848371,P4/mmm,123,tetragonal,2.72800402,2.72800402,3.7373562700000003,90.0,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FeSe,mp-20311,0.0,-0.5079187611718751,0.0,4,90.60598544313967,4.941151906868024,P4/nmm,129,tetragonal,3.9332907900057803,3.933289500001985,5.856591330002005,89.99995388439615,89.9999510782523,90.0001309562787,FeO4[-2],Passivation,FeO4[-2],Passivation
FeS,mp-505531,0.0,-0.7574410312499991,0.0,4,67.99139927450518,4.294013387059193,P4/nmm,129,tetragonal,3.5924490000201814,3.592452000013917,5.2683230000255294,90.00020444854053,89.99971507788963,89.99974481719067,FeO4[-2],Passivation,FeO4[-2],Passivation
FeF2,mp-556911,1.6921,-2.590574678333332,0.0,6,72.16258851761452,4.318802548760486,P4_2/mnm,136,tetragonal,3.33813423,4.649481146274233,4.649481146274233,90.10100834092583,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
Ga3Fe,mp-636368,0.22150000000000003,-0.23824714374999903,0.0,16,248.47301477035109,7.084328261604737,P4_2/mnm,136,tetragonal,6.183549690042068,6.183549170084098,6.49835684010738,90.0000258284022,90.00001170580683,90.00029335578007,FeO4[-2],Passivation,FeO4[-2],Passivation
FeNi3,mp-1007855,0.0,-0.072726832499999,0.0170325225,4,44.20546592147309,8.712064155440634,I4/mmm,139,tetragonal,4.3327982989456135,4.3327982989456135,4.3327982989456135,131.8647325136606,131.8647325136606,70.44275124951768,FeO4[-2],Passivation,FeO4[-2],Passivation
Be12Fe,mp-1104104,0.0,-0.046018346923077005,0.018285425769231003,13,106.00420086187538,2.568896000308672,I4/mmm,139,tetragonal,4.12413039,5.473163193719365,5.473163193719365,81.83944837264653,67.86692086110547,67.86692086110547,FeO4[-2],Passivation,FeO4[-2],Passivation
FeIr3,mp-1184336,0.0,-0.073084129999996,0.0,4,55.400643802640644,18.95798036589193,I4/mmm,139,tetragonal,4.663141861085175,4.663141861085175,4.663141861085175,131.68285510522358,131.68285510522358,70.7303863322955,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-715262,0.0,-1.4722393325,0.009280054999999001,4,42.7801322207853,5.577375605140057,I4/mmm,139,tetragonal,3.077985664318955,3.077984928215211,5.256332868220676,77.33374101402195,102.66624768258642,117.26787706713415,FeO4[-2],Passivation,FeO4[-2],Passivation
FeP4,mp-27164,1.075,-0.364380441714284,0.005661479499998,30,429.4291624011687,4.170169112889482,P2_1/c,14,monoclinic,4.607630860250369,6.985127557552857,13.61758449,90.0,90.0,101.5344903622114,FeO4[-2],Passivation,FeO4[-2],Passivation
Zr2Fe,mp-1159,0.0,-0.139135274999998,0.004575485666668,6,111.28662257978525,7.111274052973014,I4/mcm,140,tetragonal,5.255495177811551,5.2554949467951495,5.2554949763552035,107.4079177411935,107.40791621925194,113.68164766800562,FeO4[-2],Passivation,FeO4[-2],Passivation
FeGe2,mp-21117,0.0,-0.06333883666666601,0.018091517222224,6,85.88700149498013,7.777100468211013,I4/mcm,140,tetragonal,4.847610086718515,4.84760991719108,4.85338336666533,104.79854384306587,104.79855867717853,119.24525239376953,FeO4[-2],Passivation,FeO4[-2],Passivation
