formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Fe,mp-1245108,0.0,0.279455497300001,0.2794554973,100,1164.1687065719714,7.965581258140822,P1,1,triclinic,10.406330577187763,10.708642613551962,10.455990517418662,87.98403790910642,91.19110178235366,89.5125171263358,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-1194030,0.0,0.17528872,0.175288720000001,28,339.7378821106226,7.642711211291973,P4_2/mnm,136,tetragonal,8.617901,8.617901,4.574472,90.0,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-1271128,0.0,0.099134600000001,0.099134600000001,2,21.77395584881966,8.517772787608946,Fmmm,69,orthorhombic,2.4228383246485925,2.422838433067504,3.709703248499265,89.9739683714792,90.0256134825567,90.87490311811028,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-1096950,0.0,0.47669942000000104,0.47669942000000104,1,12.82453751056623,7.230888772981805,P6/mmm,191,hexagonal,2.39034144,2.489003898129768,2.489003898129768,120.00000313997197,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-136,0.0,0.09780592,0.09780592,2,19.71414254179415,9.40774412148467,P6_3/mmc,194,hexagonal,2.43415771,2.4341574606805962,3.84193447,90.0,90.0,120.00001684211477,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-568345,0.0,0.76141216,0.76141216,6,81.66127665201384,6.8134720473942405,Pm-3m,221,cubic,3.3764616744140303,3.376462234806361,7.550379437030557,102.9203122103506,102.9203077169267,89.99999411820586,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-150,0.0,0.148364500000001,0.148364500000001,1,12.212332250413573,7.593373845581131,Fm-3m,225,cubic,2.5848653926845286,2.5848658706865124,2.5848642300000018,59.999989845451225,59.99998379994453,60.00000440518046,FeO4[-2],Passivation,FeO4[-2],Passivation
Fe,mp-1271198,0.0,0.054992034999999,0.054992034999999,4,48.68822300937243,7.618499799098144,P2_1/m,11,monoclinic,2.4153734935956637,4.273092920806853,4.717365560875002,90.0024234528068,90.15621073979213,89.90268506162805,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-1244983,0.29050000000000004,-1.203698771,0.277820616499998,80,1092.6376192788039,4.367429083951232,P1,1,triclinic,10.659052064297416,10.45738117176136,9.944885184481619,93.70694759944129,87.57439992446835,98.78090990323253,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-1245001,0.0459,-1.16118119475,0.32033819274999903,80,1093.8194631207184,4.3627101889764255,P1,1,triclinic,10.706301140795045,10.333013139819286,9.982273239816724,89.59054698822153,97.8174104481571,88.93808094447543,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO,mp-1245168,0.0541,-1.17582466675,0.30569472074999904,80,1149.8913484623527,4.149972363074716,P1,1,triclinic,10.501912216335318,11.03702150531116,9.927967150735038,91.34188558805445,91.7543868731274,89.83269058559176,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO2,mp-1354450,0.0,-1.151238372777776,0.27133775472222305,36,447.14902079100943,3.914616064252285,P1,1,triclinic,5.939872,5.973120325074492,14.500894972541177,88.61198799958751,89.14963335476214,60.386509195868534,FeO4[-2],Passivation,FeO4[-2],Passivation
FeCl3,mp-2051155,1.3509,-1.105707139999999,0.058973778333334004,8,237.19585462299435,2.271085885433305,P1,1,triclinic,11.728524406245649,3.695577772458569,10.181807707262701,110.37262447862132,143.15225248816859,63.678456430127284,FeO4[-2],Passivation,FeO4[-2],Passivation
FeCl3,mp-645418,0.0,-1.014692086249999,0.14998883208333502,8,213.4336033334045,2.523933200322172,P1,1,triclinic,3.865541,7.52402576151338,7.67057777849309,77.96127585076209,78.40144753445401,84.6877075097271,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO2,mp-1181766,0.0,-1.242372740833333,0.18020338666666702,24,309.6586766955623,3.768486340255357,P2/m,10,monoclinic,2.941738,10.164853,10.355798648405733,89.71329855962544,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FeH4,mp-1079939,0.0,0.35971316199999903,0.386615202249999,10,43.618860556271564,4.558931521522122,P2_1/m,11,monoclinic,3.687712,2.896848,4.178904515713419,77.70868117330498,90.0,90.0,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO2,mp-1062652,0.0,-1.165954956666667,0.256621170833333,3,35.6045613356291,4.096892538109393,C2/m,12,monoclinic,3.0449899454515443,3.0449899454515443,4.597353139214346,85.99332650785757,85.99332650785757,56.921023898066544,FeO4[-2],Passivation,FeO4[-2],Passivation
Zn13Fe,mp-1215649,0.0,0.07113206500000001,0.10197777214285701,14,209.35959184917525,7.187238895423539,C2/m,12,monoclinic,6.57229786610817,6.57229786610817,5.262886681553859,79.97077848362245,79.97077848362245,70.49784147980817,FeO4[-2],Passivation,FeO4[-2],Passivation
FeO3,mp-863316,0.30509999999999904,-0.5265605050000001,0.5403715906249991,8,122.93865159799667,2.8052315225420443,C2/m,12,monoclinic,7.865561343166361,7.865561343166361,5.963753850986977,69.2518728725625,69.2518728725625,20.92750962365008,FeO4[-2],Passivation,FeO4[-2],Passivation
