formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Hf,mp-1009460,0.0,0.032178136666658,0.032178136666665004,3,65.81631558743366,13.509854601494458,P6/mmm,191,hexagonal,4.962329300095212,4.962329787869489,3.08623225,90.0,90.0,119.99928571309717,Hf[+4],Passivation,HfO2(s),Passivation
Hf,mp-103,0.0,0.0,0.0,2,44.52724349481806,13.312731475593225,P6_3/mmc,194,hexagonal,3.19238514,3.1923841229808336,5.04504164,90.0,90.0,119.99999978963596,Hf[+4],Passivation,HfO2(s),Passivation
HfIr,mp-1007786,0.0,-0.9479872649999981,0.0,4,72.26040876260622,17.03764111781878,P2_1/m,11,monoclinic,4.482867,3.169103,5.354668246244392,71.78588461155215,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfTe3,mp-1025459,0.0,-0.7153248762500011,0.039609157083333006,8,244.5690419493982,7.621929294589587,P2_1/m,11,monoclinic,3.98450764,5.946752901313453,10.418696662893995,97.82845807967485,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfIr,mp-1524302,0.0,-1.061796515000004,0.0,4,70.16125421498333,17.547390298237485,P2_1/m,11,monoclinic,3.0885787527631567,4.52680855,5.084376009268229,90.0,99.25540783681565,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfSe3,mp-15622,0.31709999999999905,-1.169647978046875,0.004061746484374001,8,194.6124175622298,7.088325819426084,P2_1/m,11,monoclinic,3.73489424,5.453645337444095,9.635970881924177,82.54150532891423,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfS3,mp-9922,1.1326,-1.373804485859373,0.0,8,167.9432437929641,5.431896671846112,P2_1/m,11,monoclinic,3.59888445,5.134011512337772,9.169096209594521,97.55719918536104,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfAu9,mp-1224390,0.0,-0.213183162999996,0.0,10,177.59890111506022,18.243501178232588,C2/m,12,monoclinic,5.0602821032916765,5.0602821032916765,9.400626868051733,88.11660357200533,88.11660357200533,47.58412454547645,Hf[+4],Passivation,HfO2(s),Passivation
HfIr,mp-1206659,0.0,-0.9101728724999981,0.037814392499999,4,70.13237832560701,17.5546151566152,P4/mmm,123,tetragonal,3.634141999999999,4.395052,4.390891,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfPt4,mp-1224475,0.0,-0.9544547249999991,0.0,20,318.26889412543903,20.010350498711215,P4/mmm,123,tetragonal,3.9850513,3.9850513,20.04132183,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfCd,mp-1007758,0.0,-0.09590878000000201,0.0,4,85.08095310738265,11.355126085701809,P4/nmm,129,tetragonal,3.0472637,3.0472637,9.16246376,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfAu,mp-1007755,0.0,-0.6057786524999991,0.0,4,76.71406261585653,16.25413331993791,P4/nmm,129,tetragonal,3.48386256,3.48386256,6.32052212,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfAg,mp-13156,0.0,-0.11359142749999701,0.0,4,76.94979191613233,12.358941234292457,P4/nmm,129,tetragonal,3.42187445,3.42187445,6.57172388,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfCl4,mp-29422,4.1668,-2.028435395,0.0,10,288.51177936586976,3.687017460979498,P2/c,13,monoclinic,6.228047474592743,6.455278414722504,7.55601074,90.0,90.0,108.24277619344511,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-776532,3.902499999999999,-3.982831039166664,0.036980001666666006,6,74.26979509702473,9.412302135077686,P4_2/mnm,136,tetragonal,4.81353299,4.81353299,3.20541541,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfAu2,mp-1018153,0.0,-0.6161256433333331,0.0,3,54.76764188397449,17.35570403576015,I4/mmm,139,tetragonal,3.545710304167751,3.545710304167751,5.02700772629927,110.6638316817634,110.6638316817634,89.99696521103752,Hf[+4],Passivation,HfO2(s),Passivation
HfGa3,mp-11387,0.0,-0.41549907749999804,0.0,4,66.96723355563907,9.61250569630084,I4/mmm,139,tetragonal,3.857108865768097,3.857108490899415,5.263118341576884,111.49550423839378,111.49551884032584,89.99998655862197,Hf[+4],Passivation,HfO2(s),Passivation
HfPd2,mp-1207004,0.0,-0.835486933333333,0.005673295555556001,3,50.34586740236656,12.907092209559043,I4/mmm,139,tetragonal,4.976110651354263,4.976110651354263,4.976110651354263,140.05641832772167,140.05641832772167,57.76764546030759,Hf[+4],Passivation,HfO2(s),Passivation
HfAl3,mp-2614,0.0,-0.42420176750000105,0.013081002499998001,4,68.0149108708501,6.333924565192585,I4/mmm,139,tetragonal,3.9237913230856183,3.9237902665217717,5.21668553422851,112.09114470413331,112.0911355437726,90.00000177721058,Hf[+4],Passivation,HfO2(s),Passivation
HfH2,mp-27731,0.0,-0.542260452500002,0.0,3,25.697635844556963,11.663993812664256,I4/mmm,139,tetragonal,3.2543591539589807,3.2543583917272296,3.254358912024052,97.54439354766524,115.74411763822292,115.74413666570325,Hf[+4],Passivation,HfO2(s),Passivation
HfAl3,mp-568718,0.0,-0.43728276999999904,0.0,8,134.660482764212,6.398333140073273,I4/mmm,139,tetragonal,3.9702023097539834,3.970202106911447,8.991651941451615,102.7389570521783,102.73895514870165,90.0210001282762,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-352,4.0165,-4.019811040833332,0.0,12,136.51657937039403,10.24124328616322,P2_1/c,14,monoclinic,5.0941750111755,5.1506447,5.27621049270498,90.0,99.5588337332641,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfV2,mp-1077017,0.0,0.038371424999998,0.038371425000001,6,100.06483488296828,9.305373266529717,C2/m,12,monoclinic,5.168951099794271,5.176201030961143,5.180230716021764,118.52979336944148,118.36017507928726,92.84722072978312,Hf[+4],Passivation,HfO2(s),Passivation
HfGa2,mp-11440,0.0,-0.5036237225000041,0.0,12,205.51304794971176,10.275652158255639,I4_1/amd,141,tetragonal,4.027602890343009,4.027557533485376,12.987091666758019,98.9458079174438,98.94562023927287,89.98607919482477,Hf[+4],Passivation,HfO2(s),Passivation
HfMn,mp-1974638,0.0,-0.15561213765804802,0.0,24,413.01481729888076,11.262057584207062,I4_1/amd,141,tetragonal,8.312911330534563,8.457372746536322,8.312871656699567,59.423834249064086,61.155241185889466,59.42353796262189,Hf[+4],Passivation,HfO2(s),Passivation
HfF4,mp-31033,5.4058,-4.101514556333337,0.0,30,354.47343423278807,7.1528065020476514,C2/c,15,monoclinic,7.630917560681949,7.6389846806631825,7.638983592696075,80.30151597283627,63.20638930461846,63.20637437438821,Hf[+4],Passivation,HfO2(s),Passivation
HfI4,mp-569059,2.3487,-1.216609491000001,0.0,20,869.1178930023002,5.243518504521639,C2/c,15,monoclinic,8.602731411573386,8.602731300479352,13.07252485523878,108.12314206643275,108.12313889368002,89.83372900439903,Hf[+4],Passivation,HfO2(s),Passivation
HfTe2,mp-32887,0.0,-0.9932034833333311,0.0,3,97.0733592385646,7.418710894962563,P-3m1,164,trigonal,3.99240018,3.9924001246184035,7.03236271,90.0,90.0,119.99999138903358,Hf[+4],Passivation,HfO2(s),Passivation
HfSe2,mp-985831,0.5342,-1.564946299374999,0.0,3,78.74332002833815,7.0942137973591795,P-3m1,164,trigonal,3.76632801,3.7663273059384292,6.40983541,90.0,90.0,119.99999698514945,Hf[+4],Passivation,HfO2(s),Passivation
HfS2,mp-985829,1.2237,-1.806995168541668,0.0,3,69.47166295179909,5.79919885634548,P-3m1,164,trigonal,3.63966434,3.639664020032985,6.05556247,90.0,90.0,120.00001251772335,Hf[+4],Passivation,HfO2(s),Passivation
HfNi3,mp-7285,0.0,-0.5154395633333351,0.002178646916664,12,150.06746235147443,11.770259716390623,R-3m,166,trigonal,7.0389590125788475,7.0389590416976535,7.038959161906681,43.52198729573725,43.521981132355,43.52198687482928,Hf[+4],Passivation,HfO2(s),Passivation
HfSn2,mp-1079810,0.0,-0.261271627777786,0.0011263725555530001,9,200.124895506875,10.35305679646259,P6_222,180,hexagonal,5.498786348653034,5.498786348653034,7.64252359,90.0,90.0,119.99999841967941,Hf[+4],Passivation,HfO2(s),Passivation
HfMg149,mp-1185513,0.13689999999999902,0.010514266100000001,0.010514266100000001,150,3435.3014421592793,1.836793837246061,P-6m2,187,hexagonal,15.946765900095425,15.9467714,15.59871713,90.0,90.0,120.00001140892083,Hf[+4],Passivation,HfO2(s),Passivation
