formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Hf,mp-8640,0.0,0.08898112999999301,0.08898112999999301,1,22.336669757544524,13.269194612026899,Fm-3m,225,cubic,3.1611456591682017,3.161145171383857,3.16114517,60.00000011912612,60.000005223533655,60.000004480033674,Hf[+4],Passivation,HfO2(s),Passivation
Hf,mp-100,0.0,0.212179789999993,0.212179789999993,1,22.086781333349492,13.41932142688018,Im-3m,229,cubic,3.061385454722155,3.0613866192745487,3.06138638,109.47121200748177,109.47121987537683,109.4712332890547,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1244885,3.4783,-3.7653005874509793,0.254510453382351,102,1343.1147197215157,8.847975226452482,P1,1,triclinic,10.551649680077633,11.36529555789677,11.210304150779553,92.2272691637705,89.00026454577231,89.63048801419332,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1244883,3.7691,-3.790489710490195,0.229321330343136,102,1326.6428296090855,8.957833639278316,P1,1,triclinic,10.994877239299216,10.86933980337987,11.135480148996361,92.29869496641972,90.80401808788064,93.76473825497254,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1245107,3.7499000000000002,-3.792694125784312,0.22711691504902,102,1329.3449296326787,8.93962545120878,P1,1,triclinic,10.913591362543645,11.237090026473709,10.850274681933318,87.59636824425853,89.4138039426379,90.51919256306992,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1245112,3.620099999999999,-3.809903184313724,0.20990785651960603,102,1330.0663259470368,8.934776811162463,P1,1,triclinic,10.597790276069668,11.803648388340969,10.696102592289018,90.13845040820713,95.49375444957563,87.03197048788805,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1245226,3.401,-3.803038373333333,0.21677266749999902,102,1351.4731684244116,8.793253202528755,P1,1,triclinic,10.761179564266616,11.384388672950454,11.054295972295302,88.60548485976689,86.84475185434287,88.66121343272196,Hf[+4],Passivation,HfO2(s),Passivation
HfCo7,mp-1105489,0.0,0.077081483437495,0.209671269479166,8,96.04552441904374,10.218234865738639,Cmmm,65,orthorhombic,3.561474999999999,5.1931473802648815,5.1931473802648815,90.4610999046044,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfMg,mp-1094964,0.0,0.20849436750000103,0.20849436750000103,2,43.32426824959855,7.772757247071735,P4/mmm,123,tetragonal,3.115068,3.115068,4.46474,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfAu,mp-1206652,0.0,0.461947415000004,1.067726067500004,4,91.2028298982688,13.671950778973207,P4/mmm,123,tetragonal,2.80937,2.80937,11.555545,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfCd,mp-1206672,0.0,0.623008507499996,0.7189172874999981,4,100.75301245117083,9.588844308692293,P4/mmm,123,tetragonal,2.914806,2.914806,11.858745,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfSb2,mp-1018717,0.0,-0.38510883166666504,0.073548020000004,6,145.08485389224978,9.66005854775582,P4/nmm,129,tetragonal,4.12328303,4.12328303,8.5336688,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfO2,mp-1018721,4.6678000000000015,-3.968927069166663,0.050883971666667006,6,65.47318501810419,10.676886282074282,P4_2/nmc,137,tetragonal,3.55801933,3.55801933,5.17186121,90.0,90.0,90.0,Hf[+4],Passivation,HfO2(s),Passivation
HfMg3,mp-1094185,0.0,0.273958138749999,0.273958138749999,4,88.91472528565093,4.695148331138621,I4/mmm,139,tetragonal,5.479517488394211,5.479517488394211,5.479517488394211,132.05419177849424,132.05419177849424,70.143450323718,Hf[+4],Passivation,HfO2(s),Passivation
Ce3Hf,mp-1183827,0.0,0.101862263749999,0.101862263749999,4,103.33845855710476,9.622689436722238,I4/mmm,139,tetragonal,5.75111781124687,5.75111781124687,5.75111781124687,131.87770765877406,131.87770765877406,70.4222430474518,Hf[+4],Passivation,HfO2(s),Passivation
Eu3Hf,mp-1184326,0.0,0.376324975000002,0.376324975000002,4,137.13086855283964,7.681830540889019,I4/mmm,139,tetragonal,6.305753681409384,6.305753681409384,6.305753681409384,131.64760611762543,131.64760611762543,70.78616738004739,Hf[+4],Passivation,HfO2(s),Passivation
HfBi3,mp-1184694,0.0,0.16827389166665702,0.28137085041666404,4,112.91523291254943,11.844725805014686,I4/mmm,139,tetragonal,6.2004291447378055,6.2004291447378055,6.2004291447378055,136.14464706943085,136.14464706943085,63.75678772029421,Hf[+4],Passivation,HfO2(s),Passivation
HfCu3,mp-1184704,0.0,-0.089767235,0.07249532007622,4,56.86444555435839,10.779168927093231,I4/mmm,139,tetragonal,4.5410324102795165,4.5410324102795165,4.5410324102795165,127.72102610337842,127.72102610337842,77.07739245472882,Hf[+4],Passivation,HfO2(s),Passivation
K3Hf,mp-1184923,0.0,1.14278572525,1.14278572525,4,205.72453793076923,2.387475926307153,I4/mmm,139,tetragonal,7.421863543209213,7.421863543209213,7.421863543209213,134.35304691176998,134.35304691176998,66.53709766678368,Hf[+4],Passivation,HfO2(s),Passivation
HfNp3,mp-1184793,0.0,0.5358863234374951,0.5358863234374951,4,87.08051388480389,16.96169244366145,I4/mmm,139,tetragonal,5.509424570719795,5.509424570719795,5.509424570719795,133.27879583162468,133.27879583162468,68.21665397632539,Hf[+4],Passivation,HfO2(s),Passivation
