formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ir,mp-2647032,0.0,0.062916919999999,0.062916919999999,2,29.254245339553524,21.821368766132288,P6_3/mmc,194,hexagonal,2.751378,2.751377789197622,4.46229,90.0,90.0,120.00000253447078,IrO4[-2],Passivation,IrO4[-2],Passivation
Ir,mp-2647047,0.0,0.588982909999998,0.588982909999998,1,15.171592406257359,21.03825552504352,Im-3m,229,cubic,2.7011644113182003,2.7011644113182003,2.7011644113182003,109.47122063449069,109.47122063449069,109.47122063449069,IrO4[-2],Passivation,IrO4[-2],Passivation
Ir,mp-1060567,0.0,3.780912309999998,3.780912309999998,2,196.61167503941263,3.2468452110045742,Pmma,51,orthorhombic,2.23343126,7.1930008,12.23845525,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrSe3,mp-685099,0.0,-0.268489813379842,0.063029089328498,28,653.9513927868076,7.627059714286827,P1,1,triclinic,6.00959,6.0571061691025365,17.97643479974294,88.00838130411316,89.90144314000243,89.72030730686542,IrO4[-2],Passivation,IrO4[-2],Passivation
Mn3Ir,mp-2766475,0.0,-0.34603986211207105,0.08933138624999801,8,109.03429922500315,10.87481924264225,Pm,6,monoclinic,5.425606800411566,5.313410620340708,4.365945210009931,89.99991544880359,90.00024064486098,119.96969808934644,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC2,mp-1077889,0.0,1.293225439999995,1.293225439999997,6,70.05140213104313,10.251680907895926,C2/m,12,monoclinic,3.6529104199184794,3.6529104199184794,7.836791438333996,74.23900458034537,74.23900458034537,44.48629104335834,IrO4[-2],Passivation,IrO4[-2],Passivation
ZrIr,mp-1017541,0.0,-0.936473047500008,0.072788341249996,2,36.026862959710805,13.064275235468594,P4/mmm,123,tetragonal,3.136106,3.136106,3.663068,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC4,mp-1079286,0.0,1.5050508040000041,1.505050804000003,5,52.06406142551848,7.66288247804574,P4/mmm,123,tetragonal,3.438298999999999,3.438298999999999,4.404035,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
CsIr,mp-985281,0.0,1.557296019999995,1.557296019999995,2,56.010493966161164,9.638881834088052,P4/mmm,123,tetragonal,3.144098068568057,4.44642721,5.6660073,90.0,90.0,44.9999999999999,IrO4[-2],Passivation,IrO4[-2],Passivation
IrN,mp-1007660,0.0,0.358189150000001,0.358189150000001,4,45.52940422730112,15.042696741612849,P4_2/mmc,131,tetragonal,2.743726,2.743726,6.047982,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-10845,0.0,-0.07461982624999,0.291899853333333,6,158.04818570146148,9.401606279294379,P4_2/mnm,136,tetragonal,6.130452,6.130452,4.205373,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrCl2,mp-862845,0.0,-0.080397130555558,0.474951322777776,6,120.42669096964285,7.256298704265355,P4_2/mnm,136,tetragonal,5.657688,5.657688,3.762225,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC2,mp-1009071,0.0,1.454949671666663,1.4549496716666641,3,31.732751778850368,11.315511286304403,I4/mmm,139,tetragonal,3.6259965561958274,3.6259965561958274,3.6259965561958274,123.51052872327412,123.51052872327412,84.02005070156275,IrO4[-2],Passivation,IrO4[-2],Passivation
Cd3Ir,mp-1183645,0.0,0.055455047682926,0.14422549384146002,4,74.86846090165147,11.742894113534222,I4/mmm,139,tetragonal,5.284810151030309,5.284810151030309,5.284810151030309,134.10677681669088,134.10677681669088,66.92128012919947,IrO4[-2],Passivation,IrO4[-2],Passivation
K3Ir,mp-1184875,0.0,0.722916290250001,0.722916290250001,4,127.6183061444665,4.027295276476897,I4/mmm,139,tetragonal,5.73760382815832,5.73760382815832,5.73760382815832,122.71668707638555,122.71668707638555,85.35563244749103,IrO4[-2],Passivation,IrO4[-2],Passivation
IrPd3,mp-1184784,0.0,0.12758183749999902,0.12758183749999902,4,60.39810509361704,14.062155407871003,I4/mmm,139,tetragonal,4.786632442462864,4.786632442462864,4.786632442462864,131.4080107959441,131.4080107959441,71.16563196518318,IrO4[-2],Passivation,IrO4[-2],Passivation
Na3Ir,mp-1186049,0.0,0.529464650086207,0.529464650086207,4,85.72045839987356,5.059586426919687,I4/mmm,139,tetragonal,5.3289462148959625,5.3289462148959625,5.3289462148959625,130.40768876144892,130.40768876144892,72.75584314319339,IrO4[-2],Passivation,IrO4[-2],Passivation
Hg3Ir,mp-981391,0.0,0.45966858124999904,0.45966858124999904,4,79.30471996495271,16.625068879320143,I4/mmm,139,tetragonal,5.455698715700034,5.455698715700034,5.455698715700034,135.2560211118681,135.2560211118681,65.13265980610998,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC4,mp-1079828,0.0,0.9714518620000001,0.9714518619999981,10,87.07056557581484,9.164079304988917,P2_1/c,14,monoclinic,3.821276,4.147571,5.5729401039226145,80.32973743641742,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrN2,mp-415,0.32,0.16517825166666,0.165178251666663,12,112.60776338530675,12.990265390553414,P2_1/c,14,monoclinic,4.933213,4.879075,4.917482280148043,72.06176629411692,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC2,mp-1077157,0.0,1.416549503333333,1.416549503333335,6,54.673437768608544,13.13516491934383,I4/mcm,140,tetragonal,4.160045620439396,4.160045620439396,4.160045620439396,113.48362395557754,113.48362395557754,101.7139740684583,IrO4[-2],Passivation,IrO4[-2],Passivation
IrO2,mp-1014261,0.0,-0.997662419999999,0.263230421666665,6,75.34752541373811,9.882715940690662,I4_1/amd,141,tetragonal,5.623054488088836,5.623054488088836,5.623054488088836,139.14380380910237,139.14380380910237,59.15564800406629,IrO4[-2],Passivation,IrO4[-2],Passivation
IrC4,mp-1104673,0.0,1.26954187,1.269541869999997,15,122.38768855684022,9.779434240598825,P3_121,152,trigonal,4.891188811738103,4.891188811738103,5.907154,90.0,90.0,120.00001097977636,IrO4[-2],Passivation,IrO4[-2],Passivation
