formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
K,mp-2739257,0.0,0.000127825,0.000127825,8,607.1084484990222,0.855521016031472,Cmce,64,orthorhombic,8.02379118463182,8.02379118463182,9.7485262,90.0,90.0,104.68925017137073,KO2(s),Passivation,KO2(s),Passivation
K,mp-1184764,0.0,0.00803126625,0.00803126625,3,230.91572591110918,0.8434798582662051,R-3m,166,trigonal,4.78642855645415,4.7864283499999996,11.962148997975147,78.45920647805559,101.54079073256949,119.9999986422756,KO2(s),Passivation,KO2(s),Passivation
K,mp-1184755,0.0,0.008696316249999001,0.008696316249999001,2,153.79487059057647,0.8442967484979941,P6_3/mmc,194,hexagonal,4.76239653,4.762395510705987,7.82997132,90.0,90.0,119.99999206299958,KO2(s),Passivation,KO2(s),Passivation
K,mp-604318,0.0,0.008703191249999001,0.008703191249999001,4,309.14322474135633,0.8400540512180451,P6_3/mmc,194,hexagonal,4.76843464,4.768433622830939,15.69920123,90.0,90.0,120.00000705633875,KO2(s),Passivation,KO2(s),Passivation
K,mp-1199937,0.0,0.049798189098765,0.049798189098765,81,6235.984386265815,0.8433094593985121,Im-3,204,cubic,20.083634231738145,20.083634231738145,20.083634231738145,109.47122063449069,109.47122063449069,109.47122063449069,KO2(s),Passivation,KO2(s),Passivation
K,mp-1184905,0.0,0.02097077575,0.02097077575,20,1495.2831268391355,0.868387443452124,P4_132,213,cubic,11.435131,11.435131,11.435131,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
K,mp-1185201,0.0,0.016292821077587002,0.016292821077587002,29,2241.2812281898473,0.8400567315518841,I-43m,217,cubic,14.279272497043353,14.279272497043353,14.279272497043353,109.47122063449069,109.47122063449069,109.47122063449069,KO2(s),Passivation,KO2(s),Passivation
K,mp-1184808,0.0,0.013478061250000001,0.013478061250000001,8,612.042477015757,0.8486241661423151,Pm-3n,223,cubic,8.49038117,8.49038117,8.49038117,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
K,mp-10157,0.0,0.006930266250000001,0.006930266250000001,1,78.04564502820226,0.8318754308992641,Fm-3m,225,cubic,4.7968324698870894,4.796832150881164,4.79683285,60.00000261197736,60.000004858539825,59.99999673908836,KO2(s),Passivation,KO2(s),Passivation
K,mp-58,0.0,0.015213726250000002,0.015213726250000002,1,78.51861211537867,0.826864520888935,Im-3m,229,cubic,4.67230796401592,4.672308924841627,4.67230847,109.47121387235052,109.47121806653192,109.47123233750334,KO2(s),Passivation,KO2(s),Passivation
K,mp-1545455,0.0,0.00632175,0.00632175,8,613.7071492134389,0.846322284768652,Pnma,62,orthorhombic,4.934728,15.45205726,8.04843895,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
K,mp-972981,0.0,0.006670691249999,0.006670691249999,2,154.17242508138494,0.8422291412147711,Cmcm,63,orthorhombic,4.725125477166371,4.725125477166371,7.81179801,90.0,90.0,117.87709045201979,KO2(s),Passivation,KO2(s),Passivation
K,mp-573691,0.0,0.031988253249999,0.031988253249999,8,591.7617020432232,0.8777080958565251,Cmce,64,orthorhombic,8.657334853477773,8.657334853477773,8.914782,90.0,90.0,117.66698174820786,KO2(s),Passivation,KO2(s),Passivation
K,mp-1184804,0.0,0.0,0.0,8,612.2311625848381,0.8483626258230531,Cmce,64,orthorhombic,8.022943638612661,8.022943638612661,9.76707756,90.0,90.0,103.13675637577231,KO2(s),Passivation,KO2(s),Passivation
KHg3,mp-1185042,0.0,-0.22236839906249603,0.030033264166661,4,118.86115096040626,8.9531932014525,I4/mmm,139,tetragonal,5.821820905551913,5.821820905551913,5.821820905551913,128.0515248285002,128.0515248285002,76.54157481665776,KO2(s),Passivation,KO2(s),Passivation
KO2,mp-1866,0.0,-0.980193509083333,0.0172468975,3,49.216457866674475,2.39878116699765,I4/mmm,139,tetragonal,3.8547797042609,3.854780354041101,4.289528180753824,116.70032555224253,116.70034057695872,90.00000704411926,KO2(s),Passivation,KO2(s),Passivation
KIn4,mp-22481,0.0,-0.107644524783331,0.0,5,150.01381354340262,5.516580995014355,I4/mmm,139,tetragonal,4.860786519789634,4.860786593617138,7.219820866119593,109.6715715919572,109.67156952109548,89.99999230164056,KO2(s),Passivation,KO2(s),Passivation
KRb3,mp-973508,0.0,0.028298722562500003,0.028298722562500003,4,362.28246616243365,1.35444622063687,I4/mmm,139,tetragonal,8.725241454477523,8.725241454477523,8.725241454477523,131.7432065089352,131.7432065089352,70.63490790691577,KO2(s),Passivation,KO2(s),Passivation
KO2,mp-1180742,0.0,-0.953316015749999,0.044124390833333006,12,206.0356693481888,2.2920208449421082,P2_1/c,14,monoclinic,5.571976,4.649038,8.08928580046199,79.49557157907141,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KO2,mp-1180711,0.0,-0.959411133249999,0.038029273333334,12,208.45675478897203,2.265400559582304,P2_1/c,14,monoclinic,5.67314,5.513471,8.223183875468795,54.140130627765124,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KAu5,mp-1298,0.0,-0.25602832062499603,0.0,6,128.72898192876923,13.208196338582082,P6/mmm,191,hexagonal,5.73399443,5.733992794187263,4.5209667,90.0,90.0,120.00000339504555,KO2(s),Passivation,KO2(s),Passivation
Cs3K,mp-1183940,0.0,0.0047421253125000005,0.0047421253125000005,8,877.2091450875944,1.6575484735679131,P6_3/mmc,194,hexagonal,10.786452261406598,10.7864572386683,8.70592955,90.0,90.0,120.00001858494605,KO2(s),Passivation,KO2(s),Passivation
KBr3,mp-1185135,0.0,-1.026503390562499,0.0,8,252.36809357700304,3.669048561237413,P6_3/mmc,194,hexagonal,6.4123266483078,6.412435513026789,7.087037770053483,90.0004151101764,89.99991838584099,119.99990405824998,KO2(s),Passivation,KO2(s),Passivation
KHg3,mp-1185099,0.0,-0.24226571406249703,0.010135949166659,8,239.14602957918154,8.899891422560081,P6_3/mmc,194,hexagonal,7.11381718,7.113817504102928,5.4566628,90.0,90.0,119.99999849289942,KO2(s),Passivation,KO2(s),Passivation
KRb3,mp-1185168,0.0,0.028579818812499002,0.028579818812499002,8,737.7642885857808,1.330213795078967,P6_3/mmc,194,hexagonal,10.105560507422389,10.105559992422362,8.34192327,90.0,90.0,119.99999646419924,KO2(s),Passivation,KO2(s),Passivation
KAg2,mp-12735,0.0,0.009690792916667001,0.009690792916664,12,288.95769390427455,5.857784496514922,P6_3/mmc,194,hexagonal,5.8373014700000905,5.837302111327015,9.79218007,90.0,90.0,120.00001242585216,KO2(s),Passivation,KO2(s),Passivation
KPb2,mp-21170,0.0,-0.25285652541666503,0.002546735811399,12,420.9261367425634,7.156140501175385,P6_3/mmc,194,hexagonal,6.78105709,6.781056473573541,10.57013394,90.0,90.0,119.99999789798831,KO2(s),Passivation,KO2(s),Passivation
KAu2,mp-30401,0.0,-0.345464143750002,0.0,12,273.36730985267667,10.52160362923416,P6_3/mmc,194,hexagonal,5.6920661500000005,5.692064436301883,9.74263078,90.0,90.0,120.00000990113229,KO2(s),Passivation,KO2(s),Passivation
KNa2,mp-570786,0.0,0.0029021212500000004,0.0029021212500000004,12,587.2814842483351,0.9622307422927631,P6_3/mmc,194,hexagonal,7.388783150000314,7.388786537621559,12.42137652,90.0,90.0,120.00002062244269,KO2(s),Passivation,KO2(s),Passivation
KTl3,mp-862783,0.0,-0.06804534056250501,0.016269070892855002,8,272.8414496885846,7.939289418493696,P6_3/mmc,194,hexagonal,7.74774359,7.747742153884422,5.24842899,90.0,90.0,120.00000165999815,KO2(s),Passivation,KO2(s),Passivation
KHg,mp-11462,0.0,-0.261189810625001,0.0,8,296.5296418527992,5.368930855884127,P-1,2,triclinic,6.631585125580722,6.785759136420954,7.066329284480781,106.76661118081533,101.80418003275393,92.00099305834163,KO2(s),Passivation,KO2(s),Passivation
KB6,mp-1076,0.0,-0.08032315410714301,0.0,7,74.74561388982117,2.309657686887123,Pm-3m,221,cubic,4.21238998,4.21238998,4.21238998,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KHg3,mp-1185041,0.0,-0.2115898340625,0.040811829166656,4,120.60519700235899,8.823722983303231,Pm-3m,221,cubic,4.94070216,4.94070216,4.94070216,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KRb3,mp-1185080,0.0,0.022712940062499003,0.022712940062499003,4,364.2215175973883,1.347235386677856,Pm-3m,221,cubic,7.14148508,7.14148508,7.14148508,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KHg11,mp-11952,0.0,-0.100576040520839,0.0,36,1047.0330708469612,10.684152784114621,Pm-3m,221,cubic,10.15438128,10.15438128,10.15438128,90.0,90.0,90.0,KO2(s),Passivation,KO2(s),Passivation
KHg3,mp-1184994,0.0,-0.21799815156249702,0.03440351166666,4,118.6493686213177,8.969174139409002,Fm-3m,225,cubic,5.515609061838536,5.515609061838536,5.515609061838536,59.99999999999999,59.99999999999999,59.99999999999999,KO2(s),Passivation,KO2(s),Passivation
KRb3,mp-1185107,0.0,0.023103715062500002,0.023103715062500002,4,359.9928091784306,1.363060885067571,I4/mmm,139,tetragonal,8.003584983862947,8.003584983862947,8.003584983862947,120.45550276912543,120.45550276912543,89.21284022864441,KO2(s),Passivation,KO2(s),Passivation
KCd13,mp-397,0.0,-0.07931555205356701,0.0,28,666.4354605589323,7.477217354852221,Fm-3c,226,cubic,9.804474965410602,9.804475258182718,9.8044763,59.99999994586922,59.99999899703188,60.00000028019189,KO2(s),Passivation,KO2(s),Passivation
KZn13,mp-784,0.0,-0.09541117919642901,0.0,28,450.28092375259934,6.559944133423809,Fm-3c,226,cubic,8.603301794077314,8.603300726038016,8.603300800053269,60.00032051667829,60.00032799157464,60.00031948841189,KO2(s),Passivation,KO2(s),Passivation
KBi2,mp-23279,0.0,-0.39144363958333805,0.0,6,214.2175775234317,7.085921706980542,Fd-3m,227,cubic,6.7161960859508145,6.716195488981683,6.71619579,60.00000361893954,60.00000661610467,60.00000726663657,KO2(s),Passivation,KO2(s),Passivation
KSe3,mp-1080121,0.0,-0.7871341248203121,0.008559007499999001,8,249.19847284995373,3.6779739734584,C2,5,monoclinic,6.466102407229644,6.466102407229644,8.354409095896848,70.61404621138992,70.61404621138992,50.06009740755707,KO2(s),Passivation,KO2(s),Passivation
