formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li,mp-1018134,0.0,0.0,0.0,3,61.205660097660434,0.5649380290750841,R-3m,166,trigonal,3.0786742874458892,3.0786724400000005,7.665407794912054,78.41531399066483,78.41531201680867,59.99999672804063,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-1063005,0.0,0.015670883333333,0.015670883333333,3,61.27228985134278,0.5643236945722541,P6/mmm,191,hexagonal,2.888843,4.948832120559355,4.948901261419246,120.00045040385828,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-10173,0.0,0.005987748333333,0.005987748333333,2,40.20915440845307,0.573292417154018,P6_3/mmc,194,hexagonal,3.01479638,3.014796427441799,5.1083222,90.0,90.0,119.99998872643641,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-976411,0.0,0.005889090833333,0.005889090833333,4,81.46327565480371,0.5659385321116011,P6_3/mmc,194,hexagonal,3.034385529999999,3.034385822461984,10.21620767,90.0,90.0,120.00000782233006,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-567337,0.0,0.008819463333333001,0.008819463333333001,8,161.75350839454015,0.570042740991187,I-43d,220,cubic,5.945091365104493,5.945091365104493,5.945091365104493,109.47122063449069,109.47122063449069,109.47122063449069,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-51,0.0,0.001672373333333,0.001672373333333,1,20.347259270998425,0.5664547498885351,Fm-3m,225,cubic,3.0643639389950077,3.064363205775875,3.064364,59.999991426367586,59.9999993414526,60.00000411085068,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-135,0.0,0.009650863333333001,0.009650863333333001,1,20.34159020777027,0.5666126169854631,Im-3m,229,cubic,2.97853209405321,2.9785316292606328,2.978532,109.47122315590451,109.47121999483102,109.47121481709904,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1236127,0.08889999999999901,-0.411361199259259,0.015707888888889,9,117.77124156851406,1.902559815234679,P1,1,triclinic,4.4770192743978665,5.526793806597365,5.526375341405884,70.19354204893781,69.90760857195103,71.71516407966173,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1232999,0.152099999999999,-0.410251224814815,0.016817863333333002,9,112.83184242189002,1.985847494723534,P1,1,triclinic,4.625938326672871,5.270288132101413,6.0595924336824005,61.1199666530315,62.15496860734682,69.35234031493172,Li2O2(s),Passivation,Li2O2(s),Passivation
LiS4,mp-995393,2.1989,-0.612184769666665,0.0,10,2115.0784624047956,0.212291455515833,P1,1,triclinic,12.356020000000001,12.865855113119531,13.381328908539466,95.66762429412594,92.3361518180965,89.87000745585101,Li2O2(s),Passivation,Li2O2(s),Passivation
LiSn,mp-569073,0.0,-0.325866989166666,0.0,6,122.90407935742938,5.092956930678413,P2/m,10,monoclinic,3.13853384,5.180865784849038,7.844917406702888,105.52934701702405,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg,mp-1094568,0.0,-0.031319675833332006,0.020893197500000002,4,83.812288309167,1.238128792846922,C2/m,12,monoclinic,5.90261615588588,5.90261615588588,5.355206696725814,63.83838951186659,63.83838951186659,30.329351715509127,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg2,mp-1094600,0.0,-0.027757740555555,0.027992521666666003,6,129.09017299687213,1.4291499274841262,C2/m,12,monoclinic,5.885791664742644,5.885791664742644,7.377049180439629,75.29884993320292,75.29884993320292,31.57851630634118,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1235252,0.0,-0.41782946370370305,0.009239624444445,9,112.1590185199282,1.9977602742550662,C2/m,12,monoclinic,4.129972288289374,5.554287536717894,5.554288160331318,72.91261653068507,71.7345322225621,71.73452295240057,Li2O2(s),Passivation,Li2O2(s),Passivation
LiN3,mp-2659,3.6364,-0.205821525729167,0.0,4,42.087708451102685,1.931723590704999,C2/m,12,monoclinic,3.2000885589379395,3.200089102898329,4.840211758322798,77.32715246110668,77.32715310292993,61.424536448036235,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg2,mp-973455,0.0,-0.045103938888888,0.010646323333333001,6,124.19363149248812,1.485496552120324,C2/m,12,monoclinic,5.635229814404624,5.635229814404624,7.141237753446608,71.66242381234802,71.66242381234802,35.465677417198044,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg,mp-976262,0.0,-0.041007314166667,0.011205559166666,6,122.20410265024168,1.273734740890411,C2/m,12,monoclinic,5.656821003123183,5.656821003123183,7.15659339162228,71.95892554326628,71.95892554326628,34.338346325301764,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg,mp-1094673,0.0,-0.051512453333331,0.0007004200000010001,2,40.54286099396268,1.279761773169139,P4/mmm,123,tetragonal,3.378185,3.378185,3.55261,90.0,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiBi,mp-22902,0.0,-0.415156415833333,0.003396496666663,2,47.6313585812526,7.527518229473442,P4/mmm,123,tetragonal,3.32059003,3.32059003,4.31978816,90.0,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiB3,mp-1222413,0.09189999999999901,-0.285529338541667,0.0,16,146.89719224397047,1.78034894226488,P4/mbm,127,tetragonal,4.14105703,5.95595135,5.95595135,90.0,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg3,mp-1094567,0.0,-0.013500748333333002,0.028311948333333004,4,87.68360185231192,1.512301101929622,I4/mmm,139,tetragonal,5.322688458145282,5.322688458145282,5.322688458145282,129.43611603025929,129.43611603025929,74.30984948602637,Li2O2(s),Passivation,Li2O2(s),Passivation
