formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li,mp-604313,0.0,0.26179874416666604,0.26179874416666604,4,88.38517740611074,0.521616949788403,P2_13,198,cubic,4.454441000000112,4.454441000000112,4.4544390000002245,90.00002572524471,90.00002572524471,89.9999999999971,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-1103107,0.0,0.055379472500000006,0.055379472500000006,12,242.5665872337491,0.570192381038717,Cmce,64,orthorhombic,8.51582020573315,8.51582020573315,5.406859,90.0,90.0,141.78363463263804,Li2O2(s),Passivation,Li2O2(s),Passivation
LiS4,mp-1143546,2.2075,-0.24543709558333202,0.21230688803125103,10,1912.1291026200447,0.234823623937765,P1,1,triclinic,12.582657376771975,11.774959735188766,13.065033327948194,86.590736019904,95.84073234814456,96.19317079013595,Li2O2(s),Passivation,Li2O2(s),Passivation
LiS4,mp-1546006,2.2075,-0.24543709558333202,0.21230688803125103,10,1912.1291026200445,0.234823623609684,P1,1,triclinic,12.582657376771975,11.774959735188766,13.065033327948194,86.590736019904,95.84073234814456,96.19317079013595,Li2O2(s),Passivation,Li2O2(s),Passivation
LiBe,mp-1001825,0.0,0.16695820083333301,0.16695820083333301,4,44.59770308016702,1.187993108073793,P2_1/m,11,monoclinic,3.720967,2.258778,5.454805483904994,76.59505174743977,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiBe,mp-2475638,0.0,0.162175150833332,0.162175150833332,4,45.73401850841711,1.158476023387466,P2_1/m,11,monoclinic,3.61277298,2.2959861536350066,5.829848009685998,71.03917386040762,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
LiB11,mp-1101854,0.0,0.735385138958333,0.8305615851388891,12,83.3362676424796,2.507896908666866,I-4m2,119,tetragonal,5.186275922230517,5.186275922230517,5.186275922230517,128.38440512738921,128.38440512738921,76.00312934476923,Li2O2(s),Passivation,Li2O2(s),Passivation
LiS,mp-1057216,0.0,-0.8758943804166651,0.3092487225,2,33.509623443692156,1.9329070331284801,I-4m2,119,tetragonal,4.298835929312958,4.298835929312958,4.298835929312958,139.2627336960924,139.2627336960924,58.97446238707229,Li2O2(s),Passivation,Li2O2(s),Passivation
LiB11,mp-1103120,0.0,0.6535928172916651,0.7487692634722221,12,82.66617040709252,2.528226080525894,I-4m2,119,tetragonal,4.75390085528632,4.75390085528632,4.75390085528632,110.18791288662497,110.18791288662497,108.04715304398314,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO2,mp-1094135,0.0,-0.809117267777778,0.316866762380952,6,54.98744153661504,2.351848252569968,C2/m,12,monoclinic,4.1983788944154385,4.1983788944154385,4.14137098861295,61.9786555024867,61.9786555024867,88.79297861814273,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1236522,0.2727,-0.357006413703703,0.070062674444444,9,126.03760029095203,1.777777671752737,C2/m,12,monoclinic,4.6492556265370055,5.673668763904534,5.673668708574549,68.8792512361751,69.22566535292336,69.2256543916317,Li2O2(s),Passivation,Li2O2(s),Passivation
LiS,mp-1180520,0.4295,-0.9732557729166661,0.21188733,8,159.53202413914588,1.624024698020643,I-42m,121,tetragonal,7.759445946887703,7.759445946887703,7.759445946887703,144.1283725061844,144.1283725061844,51.63537380160782,Li2O2(s),Passivation,Li2O2(s),Passivation
LiN,mp-1180489,0.0,0.9612698310416651,1.305431305,8,102.91439750785274,1.351976984668744,I-42m,121,tetragonal,5.770861345252023,5.770861345252023,5.770861345252023,132.36297182595973,132.36297182595973,69.65635296498967,Li2O2(s),Passivation,Li2O2(s),Passivation
LiB3,mp-1222412,0.1282,-0.161667837291667,0.123861501249999,8,74.07347225818201,1.765330103074422,P4/mmm,123,tetragonal,4.122424049036198,4.122424049036198,4.358704,90.0,90.0,90.0,Li2O2(s),Passivation,Li2O2(s),Passivation
Ba3Li,mp-1183341,0.0,0.11264549166666601,0.11287636770833301,4,219.59918938171293,3.16775462066498,I4/mmm,139,tetragonal,7.687650280990349,7.687650280990349,7.687650280990349,135.56098580814893,135.56098580814893,64.6597931960703,Li2O2(s),Passivation,Li2O2(s),Passivation
