formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mg,mp-1055956,0.0,0.23651014,0.23651014,1,24.534643906929844,1.6449964453045691,P6/mmm,191,hexagonal,3.04483757,3.0502992210386957,3.0502992210386957,119.99997486270625,90.0,90.0,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-2017534,0.0,0.16564932200000002,0.16564932200000002,10,250.59599158971096,1.61053661543763,P1,1,triclinic,3.2241575248478176,5.198375478756096,14.951737458231586,90.12140681467515,90.01958356683375,89.91840848524845,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-1247180,0.0,0.17737867100000101,0.17737867100000002,10,251.0347724942143,1.6077215762865351,P2_1,4,monoclinic,3.2419898245938543,5.126507918661849,15.104340392272116,90.13246943947406,90.00344445203048,89.9986708538643,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073451,0.0,0.247561959166666,0.30186134083333305,12,205.55702322982592,2.600417924408074,P1,1,triclinic,4.771179,5.934481435071139,7.695558192357588,109.16152186575485,92.88740946210505,89.44001710098,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073465,0.0,0.23766056916666603,0.29195995083333304,12,213.5332102630402,2.503283526887186,P1,1,triclinic,3.793555,4.656284175105296,13.153921570560394,85.94050013226693,85.46243555972632,67.33811805721076,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073398,0.0,0.20275739416666602,0.25705677583333303,24,446.22036941616125,2.395830420714301,P1,1,triclinic,5.920828,6.746639295397747,11.514073464466387,77.1116861641601,85.27795086142778,86.04175434676291,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073316,0.0,0.172869781666666,0.227169163333333,12,226.05718843754138,2.3645970800105562,P1,1,triclinic,5.632380159943929,3.7741577360850993,11.741325584601809,81.4878443487522,104.04435274254871,110.63614494212267,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073363,0.0,0.186797357083333,0.241096738749999,24,467.54610856759757,2.286551670090624,P1,1,triclinic,6.591532,6.6138121316076095,10.790128320945447,91.36846706835391,96.1612030130148,89.9539992041132,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073405,0.0,0.189919986666666,0.24421936833333302,12,221.89946990175886,2.40890240941747,P1,1,triclinic,3.697401,5.331800135943957,11.944783818842097,87.39094109595116,88.61535924819644,70.62393209620582,Mg[+2],Passivation,Mg[+2],Passivation
MgSi2,mp-1073371,0.0,0.176922766666666,0.23122214833333302,12,221.75516760009853,2.410469949718406,P1,1,triclinic,5.367373,5.563712275253996,8.502245552029475,74.1140401218871,78.60931650094787,65.84199096300252,Mg[+2],Passivation,Mg[+2],Passivation
