formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mn,mp-542909,0.0,0.039890561017242004,0.039890561017243004,20,301.51298940187866,6.051266324949936,P4_132,213,cubic,6.705571778002479,6.7054457486112256,6.705676028259729,89.99390687474492,89.99145358894356,90.00603660856481,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn,mp-35,0.0,0.0,0.0,29,377.65780883545983,7.005220776836564,I-43m,217,cubic,7.886908213260812,7.886908213260812,7.886908213260812,109.47122063449069,109.47122063449069,109.47122063449069,MnO4[-1],Passivation,MnO4[-1],Passivation
MnO2,mp-796336,0.985,-1.7864398956992351,0.036088028333333,18,248.3767057538618,3.4873325260826142,P2/m,10,monoclinic,2.85584574,9.282456270291018,9.374443290226228,88.12624341997969,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF3,mp-1176438,0.310999999999999,-2.742567913232758,0.022263145,16,229.09443434225958,3.245291272983107,P2_1/m,11,monoclinic,7.802598,5.418349,5.418865077082193,89.99033592053348,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnZn13,mp-1210567,0.0,-0.018656289963055,0.014834107142855001,14,201.1641455610551,7.472561093164602,C2/m,12,monoclinic,5.131621806892107,6.534329177007498,6.534329772904537,69.27404489991929,80.96982539618399,80.9698245658384,MnO4[-1],Passivation,MnO4[-1],Passivation
MnO2,mp-644514,0.540999999999999,-1.8225279240325691,0.0,18,173.18380507009397,5.001461680242682,Cm,8,monoclinic,2.8569248739972797,8.888653907850047,6.97240585018078,87.95775816570327,101.82871926958234,89.99192438951768,MnO4[-1],Passivation,MnO4[-1],Passivation
MnGa,mp-1001836,0.0,-0.27264122224137904,0.0,2,26.997041075057332,7.667674940011587,P4/mmm,123,tetragonal,2.68382886,2.68382886,3.74805996,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnPt,mp-1670,0.0,-0.346201598965516,0.0,4,60.14094344902484,13.806613246286044,P4/mmm,123,tetragonal,3.453705369999999,4.17294322,4.17294322,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnNi,mp-1797,0.0,-0.32563896988505703,0.036898397356321,2,24.7334489422941,7.6289179910550615,P4/mmm,123,tetragonal,2.948657,2.948657,2.844698,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnIr,mp-2728,0.0,-0.15773197896551602,0.0,2,25.98569048909078,15.79371569526229,P4/mmm,123,tetragonal,2.6629490000000002,2.6629490000000002,3.664448,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnPd,mp-238,0.0,-0.199720318965517,0.0022244234137920003,4,60.225614553056424,8.897919578609027,P4/mmm,123,tetragonal,3.3434771100000003,4.24415702,4.24415702,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnAl,mp-771,0.0,-0.272285743965517,0.0,4,53.64082528951334,5.071908127930998,P4/mmm,123,tetragonal,3.64199868,3.83776019,3.83776019,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF3,mp-753295,0.0,-2.738024371982758,0.026806686249999,8,109.41706357919881,3.39745074552192,P2/m,10,monoclinic,3.82871744000005,5.32873676924559,5.362996059228418,90.00972139799727,90.00001820938871,90.00000263631826,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF3,mp-759525,0.0,-2.737603051232759,0.027228006999998004,40,609.1185806993994,3.05145086694886,P4/mbm,127,tetragonal,12.485495,12.485495,3.907422,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnSe,mp-604910,0.0,-0.9262354942726301,0.023666442499997,4,81.55153319014968,5.452820467407736,P4/nmm,129,tetragonal,3.613289,3.613289,6.246356,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnO2,mp-510408,0.0,-1.776084879310346,0.046443044722222,6,55.51718726906692,5.200624691225469,P4_2/mnm,136,tetragonal,2.86707794,4.400418460666183,4.400418460666183,90.00199396392719,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF2,mp-560902,2.536299999999999,-2.966748559310345,0.00021855750000100002,6,78.6116961747604,3.9261829704143523,P4_2/mnm,136,tetragonal,3.31042523,4.87305925,4.87305925,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF3,mp-757186,1.0699,-2.722296139482759,0.042534918749998006,16,219.38213407662386,3.388964063045631,P4_2/mnm,136,tetragonal,4.999746,4.999746,8.776177,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnBe12,mp-1104792,0.0,-0.062953709071618,0.0,13,107.42966433306988,2.5207910224986,I4/mmm,139,tetragonal,4.124867002424804,5.504905251088209,5.504906305691322,81.9098650278435,67.9808566818322,67.980884037883,MnO4[-1],Passivation,MnO4[-1],Passivation
MnAu2,mp-11252,0.0,-0.35741518482758206,0.0,3,50.256127790466635,14.831388091619958,I4/mmm,139,tetragonal,3.3882362874065852,3.388235386205554,4.990385314100799,109.8449634723402,109.84495644994534,89.99999605948986,MnO4[-1],Passivation,MnO4[-1],Passivation
MnPd3,mp-31138,0.0,-0.228938158232756,0.0,8,119.67592598642084,10.384218333741561,I4/mmm,139,tetragonal,3.9214549351492356,3.9214394365858247,8.259143699503849,103.69569250721781,103.6959696103964,89.99723401051199,MnO4[-1],Passivation,MnO4[-1],Passivation
