formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mn,mp-1057139,0.0,0.657519872068965,0.657519872068965,2,23.878792951430224,7.640819211480683,I4_1/amd,141,tetragonal,2.46648806,3.346966692770339,3.346966692770339,82.19699446640765,68.3789279480586,68.3789279480586,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn,mp-2647025,0.0,0.052632352068965,0.052632352068965,2,21.508232358781772,8.48296302953795,P6_3/mmc,194,hexagonal,2.483646,2.483645540999963,4.026195,90.0,90.0,120.00000611343253,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn,mp-1191484,0.0,0.8065849943416921,0.8065849943416921,22,346.6375560786206,5.789877363368063,F-43m,216,cubic,7.884912361672132,7.884912361672132,7.884912361672132,59.99999999999999,59.99999999999999,59.99999999999999,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn,mp-8634,0.0,0.42059543551724204,0.42059543551724204,1,10.44323517041897,8.735489383934738,Fm-3m,225,cubic,2.4534848869979284,2.453484547762597,2.45348506,59.99999309362779,59.99999766745555,59.99998600902651,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn,mp-1055908,0.0,0.36972538551724204,0.36972538551724204,1,10.818557222783019,8.432434019299032,Im-3m,229,cubic,2.41322090653151,2.41322090653151,2.41322090653151,109.47122063449069,109.47122063449069,109.47122063449069,MnO4[-1],Passivation,MnO4[-1],Passivation
Mg3Mn,mp-1079919,0.0,0.416316874267241,0.416316874267241,8,188.30168163783208,2.254945087687556,P2_1/m,11,monoclinic,4.725154,4.73295,8.672218359053698,76.14469860381907,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnTe,mp-672389,0.0,-0.5179042929741401,0.09356448426724001,8,205.1119776535918,5.911142944079177,P2_1/m,11,monoclinic,4.222393999999999,7.147255,7.148530700820694,71.94724825993332,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF2,mp-615138,3.283,-2.912308335977011,0.054658780833334,12,146.87398703662893,4.202839577300487,P-42m,111,tetragonal,5.284003000657929,5.283989005097759,5.260414005261373,90.00494452864807,90.00171687702651,90.00016260947545,MnO4[-1],Passivation,MnO4[-1],Passivation
MnZn13,mp-1210582,0.0,0.051779541465519004,0.085269938571428,14,215.31781550528336,6.981360849921663,C2/m,12,monoclinic,6.529015413577226,6.529015413577226,5.453790718992158,80.26220475694127,80.26220475694127,71.24181977985303,MnO4[-1],Passivation,MnO4[-1],Passivation
MnF3,mp-758601,1.3373,-2.673052801982759,0.09177825624999801,8,118.23938638545569,3.143953090369681,C2/m,12,monoclinic,5.241841315637569,5.241841315637569,4.7717026884018034,89.55632072711177,89.55632072711177,115.58870689491596,MnO4[-1],Passivation,MnO4[-1],Passivation
MnS2,mp-1397283,0.0,-0.49101037170258605,0.30849353500000004,6,140.9669198002631,2.8051565656160102,I-42d,122,tetragonal,6.1230598916302466,6.1230598916302466,6.1230598916302466,127.25730086580094,127.25730086580094,77.83129931491789,MnO4[-1],Passivation,MnO4[-1],Passivation
MnFe,mp-1009134,0.0,0.09255887603448,0.09255887603448,2,21.06308783731317,8.733741964154095,P4/mmm,123,tetragonal,2.459961,2.459961,3.480692,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
MnSb4,mp-1221564,0.0,0.225145325103449,0.346580425000002,5,142.28719323299072,6.325064796859907,P4/mmm,123,tetragonal,3.0805,3.0805,14.994203,90.0,90.0,90.0,MnO4[-1],Passivation,MnO4[-1],Passivation
