formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mo,mp-129,0.0,0.0,0.0,1,15.89162790660502,10.024908649125194,Im-3m,229,cubic,2.7432375552201087,2.743237842318817,2.743238,109.4712291832514,109.47123130329926,109.47121828872714,MoO3(s),Passivation,MoO4[-2],Passivation
MoF4,mp-1395134,3.1313,-2.550012719249999,0.047749848499998006,10,145.61364842539183,3.921369789211221,P1,1,triclinic,5.069271,5.33312029107201,6.3781726192401695,113.58654686245042,110.85048172146269,90.01892984966187,MoO3(s),Passivation,MoO4[-2],Passivation
MoO3,mp-1445089,1.8186,-1.9146022556250002,0.010039616562499,16,228.85612625778938,4.177559206028882,P1,1,triclinic,5.400018,5.440340243847346,7.796657675223019,89.52433033592546,89.10702316058259,87.86537190479004,MoO3(s),Passivation,MoO4[-2],Passivation
MoF4,mp-2041583,1.189099999999999,-2.566888779000001,0.030873788749998004,10,126.57372544435401,4.511244018674225,P1,1,triclinic,4.926106015579332,5.220547285336475,5.6751610610898515,116.62740848333613,102.5071797171994,90.03018914423781,MoO3(s),Passivation,MoO4[-2],Passivation
Te2Mo,mp-1120746,0.0,-0.27437727166667003,0.032994494999996,6,800.9690698753072,1.455940584414068,P2_1/m,11,monoclinic,3.48040306,6.361609015562517,36.17599207690685,90.1357976527655,89.99999838451716,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
MoO3,mp-562561,1.6843,-1.8967097490625,0.027932123124999004,8,102.21457045422255,4.676730591616162,P2_1/m,11,monoclinic,3.68097252,3.9167511238628783,7.281533286642523,103.18296660982526,90.0,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
Te2Mo,mp-7459,0.0,-0.293482694999999,0.013889071666667,12,329.4481332212911,7.079496030463364,Pm,6,monoclinic,3.49421554,6.346449557718172,14.866300067140946,92.11646432511809,90.0,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
MoAs2,mp-1337,0.0,-0.27182744000000003,0.0,6,101.81974724883656,8.016767209538022,C2/m,12,monoclinic,3.3245927133966964,4.830034204434704,6.99371922698718,79.59700803370961,76.25009760709585,69.86956957791162,MoO3(s),Passivation,MoO4[-2],Passivation
MoCl3,mp-22853,0.150099999999999,-0.9998242821875001,0.034383125833333,8,209.21111573865744,3.211353196488326,C2/m,12,monoclinic,5.920124594187947,5.920124594187947,6.959779929928317,80.80018188307693,80.80018188307693,115.9089091845043,MoO3(s),Passivation,MoO4[-2],Passivation
MoF5,mp-504759,0.9911000000000001,-2.631161137083333,0.0,24,336.52016301315683,3.7685714785923583,C2/m,12,monoclinic,8.50617335350417,8.50617335350417,5.052170973724612,86.30412300027368,86.30412300027368,112.06250077011912,MoO3(s),Passivation,MoO4[-2],Passivation
