formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mo,mp-1180307,0.0,0.39894528437499904,0.39894528437499904,16,264.9691403612464,9.61996512242326,P2/c,13,monoclinic,9.803097277310727,3.062986,9.648302270290095,90.0,66.1504401600211,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-1190217,0.0,0.47885933499999905,0.47885933499999905,16,277.87163112452805,9.173278605225205,P2/c,13,monoclinic,2.630631,7.884495799812249,13.657787035444432,101.2127451883425,90.0,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-1056004,0.0,0.870806519999998,0.870806519999998,1,16.55880895475236,9.620988954273885,P6/mmm,191,hexagonal,2.5551807,2.73551084,2.7355099543168495,119.99997581849921,90.0,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-1066523,0.0,0.44212645999999706,0.44212645999999706,4,63.016002160781255,10.112486516877373,P6_3/mmc,194,hexagonal,2.817586819825256,2.817586819825256,9.165701,90.0,90.0,120.00001925023192,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-2647013,0.0,0.42917852499999704,0.42917852499999704,2,32.35171019963418,9.848760208751216,P6_3/mmc,194,hexagonal,2.768066,2.7680655883331236,4.87544,90.0,90.0,120.00000491962007,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-8637,0.0,0.41146717999999805,0.41146717999999805,1,15.732019634048816,10.126615765518414,Fm-3m,225,cubic,2.8125479063028487,2.812546990934123,2.81254673,59.99999142510109,60.00000219119772,60.00001093038417,MoO3(s),Passivation,MoO4[-2],Passivation
Mo,mp-1181019,0.0,0.331962506875001,0.331962506875001,16,261.1199387936331,9.761774227467827,P2_1,4,monoclinic,10.069380860740345,5.193482,5.039277005810755,90.0,97.7543384494006,90.0,MoO3(s),Passivation,MoO4[-2],Passivation
MoS3,mp-1239183,0.014299999999999001,0.7721378203125011,1.49674472921875,4,277.64555745792114,1.149118597402894,P1,1,triclinic,3.8748851192004388,7.434998793152827,10.935496253534634,80.20946304460838,87.13664611724472,63.468761878045,MoO3(s),Passivation,MoO4[-2],Passivation
MoO3,mp-1244966,1.2346,-1.398598465450001,0.526043406737499,100,1947.2952138675878,3.068551221380661,P1,1,triclinic,11.297379825474563,13.381719277755666,13.004869865490468,87.73044722262135,92.04109145710348,82.7786381528348,MoO3(s),Passivation,MoO4[-2],Passivation
MoO3,mp-1245044,1.6532,-1.769759533349999,0.15488233883750002,100,1967.0698105104175,3.037703631551136,P1,1,triclinic,11.781760165378067,13.695913617314563,12.207323950869648,91.19274006760386,92.77010228269802,89.94326787360443,MoO3(s),Passivation,MoO4[-2],Passivation
