formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Na,mp-974920,0.0,0.012510683448275,0.012510683448275,1,37.05414937154716,1.030260057844173,I4/mmm,139,tetragonal,3.78080950050343,3.78080950050343,3.78080950050343,121.89777489337669,121.89777489337669,86.74323158646574,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-973198,0.0,0.0047273466666660005,0.0047273466666660005,3,111.15610957684375,1.030318807132385,C2/m,12,monoclinic,3.697240282447572,3.696099803791288,9.613983463023327,78.72173423875118,101.2792995405825,119.7056634698156,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-10172,0.0,0.0,0.0,2,73.87639201807406,1.033494165918581,P6_3/mmc,194,hexagonal,3.688771,3.688770408142258,6.269194,90.0,90.0,119.99999633990858,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-982370,0.0,0.011212930000000001,0.011212930000000001,4,148.671835314138,1.02710536919743,P6_3/mmc,194,hexagonal,3.70038358,3.7003826623785576,12.53732154,90.0,90.0,120.00001732145371,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-1186055,0.0,0.0263165645,0.0263165645,20,762.8573216405483,1.000853213096242,P4_132,213,cubic,9.13722753,9.13722753,9.13722753,90.0,90.0,90.0,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-1186081,0.0,0.019195485172413002,0.019195485172413002,29,1099.7330591995158,1.006686925441565,I-43m,217,cubic,11.262541141839032,11.262541141839032,11.262541141839032,109.47122063449069,109.47122063449069,109.47122063449069,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-567772,0.0,0.020555261249999002,0.020555261249999002,8,303.3952388071747,1.006618567252059,I-43d,220,cubic,7.33179337725346,7.33179337725346,7.33179337725346,109.47122063449069,109.47122063449069,109.47122063449069,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-1525464,0.0,0.014505351249999,0.014505351249999,8,300.7756208829742,1.015385754013623,I-43d,220,cubic,7.310631029815295,7.310630723346029,7.31063116,109.47122749805942,109.47122669854632,109.47121949504172,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-1186040,0.0,0.023657278750000003,0.023657278750000003,8,300.3171934074839,1.016935717645674,Pm-3n,223,cubic,6.696688,6.696688,6.696688,90.0,90.0,90.0,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-974558,0.0,0.008802479999999,0.008802479999999,1,37.54449286644378,1.016804520724181,I4/mmm,139,tetragonal,3.79127507241543,3.79127507241543,3.79127507241543,121.61610167358958,121.61610167358958,87.22290431452535,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-127,0.0,0.015772269999999002,0.015772269999999002,1,37.25750706727941,1.024636726390733,Im-3m,229,cubic,3.644281149752582,3.6442814590438815,3.644282,109.4712292000556,109.47123091928441,109.47121649152034,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-1545923,0.0,0.006627077500000001,0.006627077500000001,8,301.06101916644946,1.014423193825449,Pnma,62,orthorhombic,6.17238414,6.58114959,7.41139258,90.0,90.0,90.0,Na[+1],Passivation,Na2O2(s),Passivation
Na,mp-2018774,0.0,0.010884320000000001,0.010884320000000001,4,150.81214285497376,1.012528815046613,Cmcm,63,orthorhombic,3.72409585,3.738366070914402,12.49257706,90.0,90.0,119.87377991402725,Na[+1],Passivation,Na2O2(s),Passivation
