formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Nb,mp-1094120,0.0,0.18974828500000201,0.18974828500000002,12,226.83961495276392,8.161255619756384,P1,1,triclinic,5.374343,6.938010689619107,7.179916417164827,107.49679114153827,108.620266103744,102.62492071906892,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
Nb,mp-1104341,0.0,0.023213351428572,0.023213351428573,7,126.49397324848934,8.537345194804299,P-1,2,triclinic,2.781142,4.672002661292585,9.953104008500365,78.86128322063209,85.62437261866658,88.02595985812006,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
Nb,mp-2739273,0.0,0.011771527142859001,0.011771527142858,7,128.3315983128445,8.415095961417682,P-1,2,triclinic,2.98463792681465,4.6206562294774916,9.703848659366585,74.54265989549204,84.27661136165278,89.17854115050723,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
Nb,mp-2647103,0.0,0.30251795999999903,0.30251795999999903,2,37.87268838521344,8.147014648509508,P6_3/mmc,194,hexagonal,2.881262999999999,2.881263290716938,5.267805,90.0,90.0,120.00000814326683,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
Nb,mp-8636,0.0,0.32016416000000003,0.32016416000000003,1,18.83251408005379,8.191931935937479,Fm-3m,225,cubic,2.986352227189751,2.9863529044242907,2.98635263,60.00000315055855,59.9999956488526,60.00001732756575,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
Nb,mp-75,0.0,0.0,0.0,1,18.258066615716924,8.449671959986281,Im-3m,229,cubic,2.8731547070309853,2.8731536244526037,2.8731529,109.47120809205428,109.47120063206435,109.47123819901898,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbS2,mp-1173504,0.0,-1.310397668333332,0.038142871666664004,9,249.4717449279271,3.135806549268075,P1,1,triclinic,3.3765594683457003,3.3713545823781277,25.69727767443042,80.33264933075738,95.54480098351996,120.0952627410133,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbO2,mp-1244881,0.042699999999999,-2.689761823431373,0.20786637073529401,102,1545.9454368037116,4.561569565446023,P1,1,triclinic,11.450892467682356,11.917721633982485,11.503397652246596,88.77298436910058,89.31788125375358,99.89621770413808,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbO2,mp-1244973,0.051800000000000006,-2.637964332156863,0.259663862009803,102,1470.2734948441307,4.796344135355287,P1,1,triclinic,11.309139254343544,11.242960815107294,11.594161021412743,87.95558777073201,92.59621533979487,87.55089754895761,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbO2,mp-1245189,0.0,-2.6385700445098053,0.259058149656862,102,1360.0434326287047,5.185082685730055,P1,1,triclinic,10.783795652712687,11.156735654273707,11.369684202142201,94.78243478317746,89.3490664186285,93.85251291294308,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbRh2,mp-1220379,0.0,-0.33760481333333303,0.135077122500002,6,92.52471564037529,10.72214869139122,P2/m,10,monoclinic,2.817576,4.840372,6.93982951321803,77.84596424061515,90.0,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbRh,mp-567345,0.0,-0.38570528333333404,0.015611786666665002,6,95.24166050984022,10.24194479717613,P2/m,10,monoclinic,2.84782699,4.889223632237434,7.051260822548437,75.9485377807961,90.0,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbAs,mp-2059,0.0,-0.670993056250001,0.0,4,70.9603258440032,7.854668476895528,I4_1md,109,tetragonal,3.466544437097826,3.466545233763223,6.393575429730982,105.72946673897383,105.72947861572739,90.00000068196366,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbP,mp-9339,0.11620000000000001,-0.988663269821428,0.0,4,64.41246005193307,6.387205680425864,I4_1md,109,tetragonal,3.349846566822276,3.349846450773159,6.210007691397354,105.65361399067224,105.65361484509874,90.00151560132366,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbSe3,mp-1192606,0.0,-0.42263900683853906,0.341325873291669,24,1086.2104448032444,3.024956187316661,P2_1/m,11,monoclinic,3.458153,15.48074632221819,23.391893374162468,119.8436964738811,90.0,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbS3,mp-1190583,0.0,-1.14945814645833,0.0,24,473.56548423398874,3.978460079867045,P2_1/m,11,monoclinic,3.37843681,9.798395414562911,15.080961653843891,108.45117263467294,90.0,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbPt3,mp-12700,0.0,-0.707492294375001,0.0,16,252.25169481019557,17.856902554085874,P2_1/m,11,monoclinic,4.9077723495097025,5.58163898,9.369995698304363,90.0,100.6537225593639,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbSe3,mp-525,0.0,-0.763964880130207,0.0,24,545.0726270999688,6.02807560382763,P2_1/m,11,monoclinic,3.520975909999999,10.322767846568293,15.858277786759789,108.97351521486338,90.0,90.0,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbCr2,mp-1220609,0.0,0.22951825916666502,0.22951825916666702,24,346.0112913616442,7.559470859148015,I-4m2,119,tetragonal,7.8198668295229945,7.8198668295229945,7.8198668295229945,118.36707152032372,118.36707152032375,92.85237793251268,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbP2,mp-1077116,0.0,-0.674521791428572,0.0,6,97.23587698466605,5.289013997335093,C2/m,12,monoclinic,3.3037299192292253,4.741005184034603,6.868489278279871,79.17488173864778,76.07232981534445,69.61189401804297,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
NbBr4,mp-1080428,0.8728,-1.3263213040000061,0.0,10,310.2093177994072,4.416434249597641,C2/m,12,monoclinic,7.22197287,7.364471162588991,7.626593247131548,72.61585830585187,61.7400224215766,60.638035981412024,Nb(OH)5(aq),Corrosion,Nb(OH)5(aq),Corrosion
