formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ni,mp-10257,0.0,0.04583529000000101,0.04583529000000101,2,21.137589751186848,9.221740491591103,P6_3/mmc,194,hexagonal,2.44802298,2.4480228156906607,4.07280757,90.0,90.0,120.00000222028537,NiHO2(s),Passivation,NiHO2(s),Passivation
Ni,mp-23,0.0,0.0,0.0,1,10.492020341068946,9.289219853118466,Fm-3m,225,cubic,2.457298948810437,2.457299396215298,2.45729885,60.00000721843609,60.00000119555075,60.00001459210663,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-1048,0.0,-0.39585502666666605,0.0,4,53.41171910495046,6.625800858603042,P2_1/m,11,monoclinic,2.8916866352848056,3.96696035,4.825626802439518,90.0,105.22958985853171,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-1179013,0.0,-0.38580461666666604,0.010050409999999,4,54.29443885123011,6.518078495566351,P2_1/m,11,monoclinic,2.799886,4.1710901344725215,4.670979235349372,89.89054515852975,95.5513337016559,89.98201904677298,NiHO2(s),Passivation,NiHO2(s),Passivation
TbNi,mp-31139,0.0,-0.43534600583333205,0.000619543333334,24,474.79197794259716,9.133206611422944,P2_1/m,11,monoclinic,4.22323746,5.367022666778964,21.10275441097523,96.96273679511253,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
MgNi,mp-1018140,0.0,-0.136087397499999,0.045670855763889004,2,27.304510539894014,5.047594076587626,P4/mmm,123,tetragonal,2.95585809,2.95585809,3.12512387,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
AlNi,mp-1228868,0.0,-0.6581211049999991,0.026780045000000002,2,23.472839297968516,6.060902167304869,P4/mmm,123,tetragonal,2.7519967637386493,2.7519967637386493,3.099430041276622,90.0,90.0,90.42681865148124,NiHO2(s),Passivation,NiHO2(s),Passivation
MnNi,mp-1797,0.0,-0.32563896988505703,0.036898397356321,2,24.7334489422941,7.6289179910550615,P4/mmm,123,tetragonal,2.948657,2.948657,2.844698,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
FeNi,mp-2213,0.0,-0.067223354999999,0.0,4,44.565559886299106,8.535536782713221,P4/mmm,123,tetragonal,3.55275832,3.55275832,3.53075869,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
ZnNi,mp-429,0.0,-0.254970534999999,0.0,4,46.27525794900231,8.906568762336324,P4/mmm,123,tetragonal,3.18195338,3.81353308,3.81353308,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiPt,mp-945,0.0,-0.095115924999998,0.0,4,52.55674452311622,16.036278150174454,P4/mmm,123,tetragonal,3.57832,3.83243361,3.83243361,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiF2,mp-559798,4.9116,-2.23065729,0.0,6,66.09767602083656,4.858200007945914,P4_2/mnm,136,tetragonal,3.0795406,4.632870150006959,4.632870150006959,89.99980138225567,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiIr3,mp-1186350,0.0,0.011985112499992,0.011985112499992,4,53.79676918890742,19.61110700237134,I4/mmm,139,tetragonal,4.639661612051252,4.639661612051252,4.639661612051252,132.16676220595724,132.16676220595724,69.96577130199117,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-1190013,0.0,-0.36128377041666604,0.034571256249999,16,214.38407203100164,6.60301693035981,I4/mmm,139,tetragonal,7.182065825559758,7.182065825559758,7.182065825559758,129.61724790166065,129.61724790166065,74.01940248240035,NiHO2(s),Passivation,NiHO2(s),Passivation
Be3Ni,mp-865168,0.0,-0.28368570124999903,0.0,4,33.54884443527943,4.243303365787677,I4/mmm,139,tetragonal,4.064212237160423,4.064212237160423,4.064212237160423,134.56429551858957,134.56429551858957,66.20794489366634,NiHO2(s),Passivation,NiHO2(s),Passivation
Zn3Ni,mp-971941,0.0,-0.16911967499999903,0.028257140067568003,4,50.5997579526117,8.365757074761854,I4/mmm,139,tetragonal,4.642272211221752,4.642272211221752,4.642272211221752,134.19623403283651,134.19623403283651,66.78166865380022,NiHO2(s),Passivation,NiHO2(s),Passivation
NiS2,mp-1180046,0.24040000000000003,-0.591526538333332,0.0,6,103.50869887667355,3.940790604191446,P2_1,4,monoclinic,5.3000548989920535,5.278050319628209,5.201471419566741,89.99203781118024,90.00021900068259,45.34665226029898,NiHO2(s),Passivation,NiHO2(s),Passivation
NiS2,mp-850131,0.0,-0.569828999999999,0.021697538333333002,6,94.35085206413257,4.323290135292187,P2_1/c,14,monoclinic,5.350663,3.760920999999999,5.446029231040262,59.420317370146975,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
Ga5Ni,mp-1095578,0.0,-0.15553331916666702,0.021044003333335,12,188.95087084603168,7.159019774039257,I4/mcm,140,tetragonal,6.5315671927228145,6.5315671927228145,6.5315671927228145,122.51796565638212,122.51796565638212,85.69141899172995,NiHO2(s),Passivation,NiHO2(s),Passivation
Mg2Ni,mp-1185791,0.0,-0.15112408111111,0.0019095833333330002,6,100.53726245520693,3.54458602368237,I4/mcm,140,tetragonal,5.09967914400502,6.15688825096804,5.10048059134349,127.12958417792461,62.381411860305036,127.13854076088592,NiHO2(s),Passivation,NiHO2(s),Passivation
Ta2Ni,mp-1867,0.0,-0.23848323988888803,0.0,6,92.89567308825741,15.036324253874438,I4/mcm,140,tetragonal,4.839219934204435,5.0051846547958565,5.005185446604845,76.4790473834778,61.08839166757469,61.08837049831286,NiHO2(s),Passivation,NiHO2(s),Passivation
Zr2Ni,mp-328,0.0,-0.32306496833333403,0.0,6,109.70680953087206,7.299906304575116,I4/mcm,140,tetragonal,5.23987721613661,5.272664243594587,5.272663970726255,75.70582906917379,60.205486661168564,60.20546829320812,NiHO2(s),Passivation,NiHO2(s),Passivation
U6Ni,mp-636821,0.0,-0.018942877857136,0.041547670178577,14,270.85869879789317,18.230911680670584,I4/mcm,140,tetragonal,7.715275871942104,7.715275871942104,7.715275871942104,96.29874589453289,96.29874589453289,141.31324196821848,NiHO2(s),Passivation,NiHO2(s),Passivation
Hf2Ni,mp-861,0.0,-0.331178753333333,0.013278753333331,6,105.75703483055912,13.05335235149764,I4/mcm,140,tetragonal,5.236084839666992,5.2011425267261036,5.201141433482344,75.32295599662788,59.77750131275504,59.777517059401816,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-1189328,0.0,-0.373489810555554,0.022365216111110003,18,245.51898371882365,6.486379750563485,P1,1,triclinic,5.390459,7.249286789048561,7.251903041143752,119.95809840411108,90.1179984160121,90.0402532604319,NiHO2(s),Passivation,NiHO2(s),Passivation
