formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ni,mp-1014111,0.0,0.6202391299999991,0.6202391299999991,2,68.35930211462892,2.8514826991109192,P-3m1,164,trigonal,2.416684227834493,2.416684227834493,13.515347,90.0,90.0,120.00000623722715,NiHO2(s),Passivation,NiHO2(s),Passivation
Ni,mp-1246134,0.0,0.409910799999999,0.409910799999999,1,11.645268105377864,8.369294959089133,P6/mmm,191,hexagonal,2.338222,2.3980959508843673,2.3980959508843673,119.99999864498164,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
Ni,mp-1094136,0.0,0.7398515400000001,0.7398515400000001,4,142.34686072797308,2.738737845096086,P2_1/m,11,monoclinic,4.076140002067093,2.3630878205968213,14.77880403984464,90.11206832453605,89.46460696170223,89.90911388649434,NiHO2(s),Passivation,NiHO2(s),Passivation
Ni,mp-1008728,0.0,0.11925923000000001,0.11925923000000001,1,10.597425704098887,9.196826321120955,Im-3m,229,cubic,2.3966654972590486,2.3966654972590486,2.3966654972590486,109.47122063449069,109.47122063449069,109.47122063449069,NiHO2(s),Passivation,NiHO2(s),Passivation
ZnNi,mp-1215522,0.0,-0.129228334999999,0.125742199999999,2,24.564179405487398,8.389324962053658,C2/m,12,monoclinic,2.588270807381832,2.588270807381832,4.034377688259863,80.04087353411053,99.95912646588947,111.656731881686,NiHO2(s),Passivation,NiHO2(s),Passivation
AlNi,mp-1228854,0.0,-0.438242119999999,0.24665903,2,24.904996714431185,5.712371063731962,C2/m,12,monoclinic,2.690402454310693,2.690402454310693,4.111065907723324,73.61109423479431,73.61109423479431,62.44874857978633,NiHO2(s),Passivation,NiHO2(s),Passivation
NiS2,mp-1042115,0.0,-0.211133334999999,0.38039320333333304,6,116.4551020817773,3.502689883856152,I-42d,122,tetragonal,5.737473207680974,5.737473207680974,5.737473207680974,127.08336211016695,127.08336211016693,78.11472451736226,NiHO2(s),Passivation,NiHO2(s),Passivation
NiHg,mp-1057320,0.0,0.219228017499997,0.219228017499997,2,31.345149664356818,13.735784312124743,P4/mmm,123,tetragonal,3.101697,3.101697,3.258154,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-998945,0.0,-0.32921405666666603,0.06664096999999901,2,26.805485947673503,6.601175128775467,P4/mmm,123,tetragonal,2.735802999999999,2.735802999999999,3.58141,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
TiNi,mp-1067475,0.0,-0.324108791666666,0.071746234999999,4,53.1156899988733,6.662728363550433,P4/nmm,129,tetragonal,3.821946,3.821946,3.63625,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiSe,mp-571033,0.0,-0.23667956953124902,0.09245323166666701,4,72.633500908608,6.294033620599634,P4/nmm,129,tetragonal,3.67751638,3.67751638,5.37066107,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiS2,mp-849092,0.0,-0.285924461666666,0.305602076666667,6,105.41713231216168,3.869447963898158,P4/nmm,129,tetragonal,3.222754,3.222754,10.149786,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiN,mp-1430841,0.0,0.875643596666666,0.875643596666666,4,54.22337471977882,4.452742265475101,P4_2/mmc,131,tetragonal,3.363814999999999,3.363814999999999,4.792061,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
NiC4,mp-1210339,0.0,1.7218630235,1.721863023500001,20,374.48300510300265,1.8931660716798682,P4_2/mmc,131,tetragonal,4.893026,4.893026,15.641452,90.0,90.0,90.0,NiHO2(s),Passivation,NiHO2(s),Passivation
Fe3Ni,mp-1007862,0.0,0.042764360000001,0.07637603750000001,4,46.4187320995087,8.092877146430878,I4/mmm,139,tetragonal,4.487631427828382,4.487631427828382,4.487631427828382,133.7155487858859,133.7155487858859,67.53263339547969,NiHO2(s),Passivation,NiHO2(s),Passivation
