formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Os,mp-49,0.0,0.0,0.0,2,28.254800538527018,22.35969397190341,P6_3/mmc,194,hexagonal,2.74613393,2.7461345338902343,4.32631422,90.0,90.0,119.99999284604237,OsO4(s),Passivation,OsO4(s),Passivation
Ge2Os,mp-10032,0.0,-0.083478636666669,0.0,6,94.3931109418152,11.804409382764906,C2/m,12,monoclinic,3.114084864558798,4.76235097098998,6.951605461016478,80.02862692692968,77.05689614405509,70.91633827094962,OsO4(s),Passivation,OsO4(s),Passivation
OsO4,mp-1524458,3.1633,-1.529192906999997,0.0,5,81.69548341351152,5.167419837289786,C2,5,monoclinic,5.086864289241029,5.086864289241029,4.544562867072479,63.8896091809465,63.8896091809465,52.91715920213065,OsO4(s),Passivation,OsO4(s),Passivation
OsW2,mp-1192771,0.0,0.007132187111104001,0.029563740999996,30,472.10496116266,19.623419088104253,P4_2/mnm,136,tetragonal,9.712505,9.712505,5.004677,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Ga3Os,mp-570844,0.676999999999999,-0.31428668125000303,0.0,16,285.8497993541225,9.280645208210931,P4_2/mnm,136,tetragonal,6.48603931,6.48603931,6.79483224,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsO2,mp-996,0.0,-1.343400869999998,0.0,6,64.3569258510722,11.467906499374536,P4_2/mnm,136,tetragonal,3.20912377,4.47820955,4.47820955,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Al2Os,mp-7188,0.28989999999999905,-0.670291663333335,0.0,3,41.33040791395677,9.81098820335959,I4/mmm,139,tetragonal,3.1553268183011434,3.155326820127623,4.713009520458075,109.55972376401773,109.55971506226498,90.00116613026414,OsO4(s),Passivation,OsO4(s),Passivation
P4Os,mp-1087509,0.672099999999999,-0.44436784438095106,0.017022060666668,10,154.67661861834586,6.74461232293492,P2_1/c,14,monoclinic,4.6887803,4.699957531833294,7.1190922409635915,80.37745551588458,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsF5,mp-540830,0.0,-1.8343220304166672,0.0,48,653.8382171860774,5.794978485787972,P2_1/c,14,monoclinic,5.417603233187899,9.87896508,12.376804064319353,90.0,99.22762570376331,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsO4,mp-540783,3.2877,-1.528394766999996,0.00079814,10,156.73901730485102,5.386723342623542,C2/c,15,monoclinic,4.435911070485399,5.1619556602526275,7.949700199071792,77.2100873770099,73.777606310776,64.54765964523293,OsO4(s),Passivation,OsO4(s),Passivation
OsPt4,mp-1220039,0.0,0.021775896000019,0.021775896000008,5,77.05057032696348,20.91694782886898,R-3m,166,trigonal,11.491775053557305,11.491775053557305,11.491775305469428,13.976754662405956,13.976754662405956,13.976751880580398,OsO4(s),Passivation,OsO4(s),Passivation
Ir4Os,mp-1223677,0.0,0.026585211999997003,0.026585212,5,72.55205779313275,21.951406288694855,R-3m,166,trigonal,11.303858345276494,11.303858345276494,11.303858831020936,13.901084494224296,13.901084494224296,13.901089439775374,OsO4(s),Passivation,OsO4(s),Passivation
Tc3Os,mp-1217407,0.0,-0.052111272500006,0.016334711249996,4,56.81781822405822,14.151948409015946,P-6m2,187,hexagonal,2.743080156267804,2.743080156267804,8.7192055,90.0,90.0,119.99999749811656,OsO4(s),Passivation,OsO4(s),Passivation
ReOs,mp-1219509,0.0,-0.089729866249996,0.0,2,28.855224776278803,21.662917182595454,P-6m2,187,hexagonal,2.757330605250673,2.75734387,4.38242818,90.0,90.0,59.9998287454855,OsO4(s),Passivation,OsO4(s),Passivation
OsRu,mp-1220023,0.0,-0.014805672500003001,0.0,2,27.695414594027522,17.465527676371828,P-6m2,187,hexagonal,2.7270104592371576,2.7270104592371576,4.30032006,90.0,90.0,119.99934833521581,OsO4(s),Passivation,OsO4(s),Passivation
IrOs,mp-1223655,0.0,0.038359514999996,0.038359514999996,2,28.42846207588583,22.339167792782597,P-6m2,187,hexagonal,2.743621481464256,2.743621481464256,4.36088301,90.0,90.0,120.0000207732786,OsO4(s),Passivation,OsO4(s),Passivation
BOs,mp-997617,0.0,-0.272355456249999,0.0,2,20.726111827702084,16.107045897635842,P-6m2,187,hexagonal,2.86884067,2.888286965498275,2.888286965498275,119.99997813606126,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Tc3Os,mp-862779,0.0,-0.068445983750002,0.0,8,113.47862943693549,14.1715287928566,P6_3/mmc,194,hexagonal,5.48769627,5.487695014579272,4.35114367,90.0,90.0,120.00000147939205,OsO4(s),Passivation,OsO4(s),Passivation
Re3Os,mp-867264,0.0,-0.062444779374999,0.0,8,116.91073220050195,21.272578097105402,P6_3/mmc,194,hexagonal,5.5310243114897775,5.531011054724566,4.41333776014463,90.00010183156206,89.99989938523866,120.0122246389752,OsO4(s),Passivation,OsO4(s),Passivation
OsRu3,mp-974326,0.0,-0.009306451250004,0.0,8,109.58562027437253,14.95408603741273,P6_3/mmc,194,hexagonal,5.430415540000004,5.430415929039951,4.29098234,90.0,90.0,119.99998781717314,OsO4(s),Passivation,OsO4(s),Passivation
SiOs,mp-2488,0.5122,-0.392482408749998,0.0,8,108.2579655882025,13.394724891590547,P2_13,198,cubic,4.76599176,4.76599176,4.76599176,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
P4Os,mp-1103842,1.3036,-0.461389905047618,0.0,15,234.23808984740512,6.680598971005209,P-1,2,triclinic,4.730114262019183,7.170065156578731,7.557308197614641,111.23267110840138,90.36169491182034,100.43006430240067,OsO4(s),Passivation,OsO4(s),Passivation
Te2Os,mp-2142,0.0,-0.15907392166667,0.0,12,266.96623055059365,11.082359216896739,Pa-3,205,cubic,6.43900521,6.43900521,6.43900521,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsS2,mp-20905,0.0,-0.484088481041671,0.0,12,179.41665377896155,9.416622327618146,Pa-3,205,cubic,5.64011013,5.64011013,5.64011013,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsSe2,mp-2480,0.0,-0.279755602708334,0.0,12,213.78135813884597,10.816970779300911,Pa-3,205,cubic,5.97938628,5.97938628,5.97938628,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
SiOs,mp-10015,0.0,-0.36535291750000104,0.027129491249997,2,25.3548941071467,14.297887226913307,Pm-3m,221,cubic,2.937789,2.937789,2.937789,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
HfOs,mp-11452,0.0,-0.8459137749999991,0.0,2,34.12147875860676,17.943945775864496,Pm-3m,221,cubic,3.24346549,3.24346549,3.24346549,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
ZrOs,mp-11541,0.0,-0.6671038675000031,0.0,2,35.17424037465451,13.287148705210011,Pm-3m,221,cubic,3.27648544,3.27648544,3.27648544,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Ir3Os,mp-1184761,0.0,0.021401844999999,0.021401844999999,4,56.98102032269197,22.348421504592558,Pm-3m,221,cubic,3.84807393,3.84807393,3.84807393,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
VOs,mp-12778,0.0,-0.33667420999999803,0.0,2,27.449963637467494,14.589261493734684,Pm-3m,221,cubic,3.01657359,3.01657359,3.01657359,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
TiOs,mp-291,0.0,-0.8292994383333291,0.0,2,29.350172182931075,13.47076833744068,Pm-3m,221,cubic,3.08463336,3.08463336,3.08463336,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
AlOs,mp-875,0.0,-0.49013171,0.012587037500004,2,26.943662689344276,13.386756274388759,Pm-3m,221,cubic,2.99791198,2.99791198,2.99791198,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Nb3Os,mp-1932,0.0,-0.28167148750000204,0.0,8,138.27424978039966,11.263244869600504,Pm-3n,223,cubic,5.17107024,5.17107024,5.17107024,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Mo3Os,mp-801,0.0,0.0017573587499980002,0.0017573587499980002,8,123.22990465900247,12.883572424806513,Pm-3n,223,cubic,4.97628644,4.97628644,4.97628644,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Nb3Os,mp-1186218,0.0,-0.271538275000001,0.010133212500001001,4,67.74630437898084,11.49447743838964,Fm-3m,225,cubic,4.575798261431743,4.575798261431743,4.575798261431743,59.99999999999999,59.99999999999999,59.99999999999999,OsO4(s),Passivation,OsO4(s),Passivation
Ta3Os,mp-1187197,0.0,-0.30315800800000403,0.0,4,66.94798517178954,18.1827341747636,Fm-3m,225,cubic,4.557753532771966,4.557753532771966,4.557753532771966,60.00000000000001,60.00000000000001,60.00000000000001,OsO4(s),Passivation,OsO4(s),Passivation
Ti3Os,mp-865899,0.0,-0.440499652499998,0.0,4,63.047241130145764,8.792445271282292,Fm-3m,225,cubic,4.46745679584529,4.467455317992117,4.467456060454421,60.000038378741245,60.00000554999063,60.00002204290361,OsO4(s),Passivation,OsO4(s),Passivation
