formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Os,mp-1180157,0.0,3.9035489425000023,3.9035489425000023,8,725.979187719575,3.480919034404441,P2_1/c,14,monoclinic,3.7359391154740464,17.4056,11.69387846975592,90.0,72.6924733135859,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Os,mp-1080694,0.0,0.23444609375000103,0.23444609375000103,8,117.2557296017646,21.551823366732208,P2_1/c,14,monoclinic,5.105785989279098,4.64449565,5.13438843449213,90.0,105.62615957690873,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Os,mp-8643,0.0,0.16492783999999702,0.16492783999999702,1,14.20097625582487,22.243847250272697,Fm-3m,225,cubic,2.718177613223946,2.71817703029916,2.7181767,59.99999184985889,59.999998943950985,59.99999220187532,OsO4(s),Passivation,OsO4(s),Passivation
Os,mp-2647031,0.0,0.88282908,0.88282908,1,14.867609985018243,21.246477877589438,Im-3m,229,cubic,2.6830021265500332,2.6830021265500332,2.6830021265500332,109.47122063449069,109.47122063449069,109.47122063449069,OsO4(s),Passivation,OsO4(s),Passivation
Si2Os,mp-1072645,0.0,-0.42487558000000003,0.073478102499997,6,84.93796665925473,9.634289650250892,C2/m,12,monoclinic,2.99981535,4.574451755564491,6.757686980517237,80.17923435083524,77.17605553149663,70.85934647805043,OsO4(s),Passivation,OsO4(s),Passivation
OsN2,mp-1018852,0.0,0.9246226366666691,0.9246226366666691,6,52.294565760213864,13.860013424313719,P4/mbm,127,tetragonal,4.426138,4.426138,2.669356999999999,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
OsN,mp-999307,0.0,0.4496431375,0.4496431375,4,44.746714154907984,15.158342934830475,P4_2/mmc,131,tetragonal,2.694667,2.694667,6.162415,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Na3Os,mp-1188702,0.0,1.178121685086207,1.178121685086207,16,431.9569212795831,3.985680566747232,P4_2/mnm,136,tetragonal,4.949689,9.341815,9.341815,90.0,90.0,90.0,OsO4(s),Passivation,OsO4(s),Passivation
Co3Os,mp-1183718,0.0,0.122929608749998,0.122929608749998,4,45.584604607278315,13.37001756933467,I4/mmm,139,tetragonal,4.370569597511175,4.370569597511175,4.370569597511175,131.7045859619548,131.7045859619548,70.69600331195952,OsO4(s),Passivation,OsO4(s),Passivation
K3Os,mp-1185093,0.0,1.347618730249998,1.347618730249998,4,142.3364117813506,3.587677278156357,I4/mmm,139,tetragonal,5.812748095731313,5.812748095731313,5.812748095731313,118.24695316010745,118.24695316010745,93.06416930171301,OsO4(s),Passivation,OsO4(s),Passivation
OsAu3,mp-1186365,0.0,0.6549660350000011,0.6549660350000011,4,68.60876931473453,18.905693944239648,I4/mmm,139,tetragonal,4.901284380163837,4.901284380163837,4.901284380163837,129.3551389916404,129.3551389916404,74.43980738087053,OsO4(s),Passivation,OsO4(s),Passivation
Zn3Os,mp-971960,0.0,0.037268560000004,0.10859257750000101,4,56.612258148374664,11.335476927614133,I4/mmm,139,tetragonal,4.906693789969067,4.906693789969067,4.906693789969067,135.80950896361756,135.80950896361756,64.2749751913685,OsO4(s),Passivation,OsO4(s),Passivation
Rb3Os,mp-974846,0.0,1.412115256875,1.412115256875,4,170.454935350111,4.351016341210922,I4/mmm,139,tetragonal,6.338114741913955,6.338114741913955,6.338114741913955,123.20920383389031,123.20920383389031,84.52592991617774,OsO4(s),Passivation,OsO4(s),Passivation
Si3Os,mp-978508,0.0,0.28823431374999503,0.661999575624999,4,54.45306975380705,8.370429042201689,I4/mmm,139,tetragonal,4.305887768291691,4.305887768291691,4.305887768291691,122.19233041235857,122.19233041235857,86.24294486022947,OsO4(s),Passivation,OsO4(s),Passivation
Mg3Os,mp-978290,0.0,0.084235210312495,0.16225936500000002,4,69.15306494702592,6.318773477577429,I4/mmm,139,tetragonal,4.881820123796452,4.881820123796452,4.881820123796452,128.58555860017225,128.58555860017225,75.67834773367082,OsO4(s),Passivation,OsO4(s),Passivation
