formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
K2Pd,mp-1180861,0.0,0.131936357999999,0.131936358,3,117.71483073183113,2.60428592333666,P4/mmm,123,tetragonal,5.667087,5.667087,3.665316,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
TaPd,mp-1208550,0.0,0.6824144188333391,1.049326132499999,4,83.0743083835387,11.488162839055924,P4/mmm,123,tetragonal,2.723518,2.723518,11.199696,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdN,mp-999293,0.0,0.6633635575000001,0.6633635575000001,4,49.18728342420873,8.13109512743232,P4_2/mmc,131,tetragonal,2.936178,2.936178,5.705426,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Be3Pd,mp-1183408,0.0,-0.31323701125000003,0.07144715125000001,4,39.71436487337892,5.580091965037266,I4/mmm,139,tetragonal,4.29949460732968,4.29949460732968,4.29949460732968,134.56801514914773,134.56801514914773,66.20215247842047,PdO2(s),Passivation,PdO2(s),Passivation
PdPb3,mp-1186443,0.0,0.0209247075,0.17692110000000102,4,105.71827580690861,11.435162388328797,I4/mmm,139,tetragonal,5.6963379265986305,5.6963379265986305,5.6963379265986305,130.05338598365907,130.05338598365907,73.32143293237135,PdO2(s),Passivation,PdO2(s),Passivation
PdS3,mp-1186463,0.0,0.16538965656250101,0.41912597921874906,4,90.53362017539337,3.716300334918061,I4/mmm,139,tetragonal,8.404943956444802,8.404943956444802,8.404943956444802,157.00499918387226,157.00499918387226,32.745882831817134,PdO2(s),Passivation,PdO2(s),Passivation
Pm3Pd,mp-1186528,0.0,-0.151489580625003,0.128814233333333,4,110.5542038936173,8.132201488273548,I4/mmm,139,tetragonal,6.268295502916084,6.268295502916084,6.268295502916084,137.63797198575324,137.63797198575324,61.45791603124674,PdO2(s),Passivation,PdO2(s),Passivation
Pr3Pd,mp-1186725,0.0,-0.113184706249999,0.280801085555555,4,115.71835870501211,7.593112710238543,I4/mmm,139,tetragonal,6.359369544407527,6.359369544407527,6.359369544407527,137.57373835832473,137.57373835832473,61.55646917022253,PdO2(s),Passivation,PdO2(s),Passivation
Ta3Pd,mp-1187223,0.0,-0.037568288083335004,0.145887568749998,4,70.41211700895047,15.311677656359509,I4/mmm,139,tetragonal,5.147976654954255,5.147976654954255,5.147976654954255,133.56286541206953,133.56286541206953,67.77157361872138,PdO2(s),Passivation,PdO2(s),Passivation
Rb3Pd,mp-1189496,0.0,0.195788900624999,0.195788900624999,16,829.6844494959736,2.9046340706645353,I4/mmm,139,tetragonal,10.257238864753175,10.257238864753175,10.257238864753175,110.67101301934538,110.67101301934538,107.09739801431141,PdO2(s),Passivation,PdO2(s),Passivation
Ti4Pd,mp-1217168,0.0,-0.219050665333332,0.052925245333334,5,84.07169688628109,5.883724009287352,I4/mmm,139,tetragonal,9.64335604931867,9.64335604931867,9.64335604931867,162.167793006889,162.167793006889,25.322479366810327,PdO2(s),Passivation,PdO2(s),Passivation
Be12Pd,mp-12666,0.0,-0.066090853846154,0.079451581153845,13,110.61682767622136,3.220988509507532,I4/mmm,139,tetragonal,5.551765529331548,5.551765529331548,5.551765529331548,98.15604053599971,98.15604053599971,135.7466384751788,PdO2(s),Passivation,PdO2(s),Passivation
Nd3Pd,mp-976423,0.0,-0.131874508124998,0.27920033583333304,4,113.75112511410396,7.870453981910716,I4/mmm,139,tetragonal,6.376162314366064,6.376162314366064,6.376162314366064,138.24236569956196,138.24236569956196,60.53200639494309,PdO2(s),Passivation,PdO2(s),Passivation
