formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Pt,mp-126,0.0,0.0,0.0,1,15.327454053856243,21.134925743724082,Fm-3m,225,cubic,2.7882282983380127,2.7882288764325875,2.78822786,59.999999957675975,59.99999309912164,60.00000910768901,PtO2(s),Passivation,PtO2(s),Passivation
Ga5Pt,mp-1199016,0.0,-0.30570694666666604,0.0,48,874.1294889191106,8.26269738217148,P2_1/m,11,monoclinic,15.836818,6.490884,9.051962358115393,69.95490670294005,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
Bi2Pt,mp-1092293,0.0,-0.23567185958333403,0.049649179999995005,3,83.4130697317057,12.204140709007412,C2/m,12,monoclinic,3.95725561640918,3.95725561640918,5.9270493502188755,88.43743858953178,88.43743858953178,64.04654723904447,PtO2(s),Passivation,PtO2(s),Passivation
PtCl2,mp-1219748,1.051499999999999,-0.42604107833333105,0.049022931666666006,6,151.76155507326152,5.820799425937796,C2/m,12,monoclinic,6.452499839627533,6.452499839627533,7.403932660047189,74.88005547338491,74.88005547338491,30.756022033458784,PtO2(s),Passivation,PtO2(s),Passivation
InPt,mp-510438,0.0,-0.5714708929999971,0.020134795125002002,10,189.11780782653025,13.605391891214655,C2/m,12,monoclinic,4.449096601794043,6.984681759736111,7.212185673428898,65.41130035781073,72.03969358782705,71.42112361947393,PtO2(s),Passivation,PtO2(s),Passivation
Hg2Pt,mp-11470,0.0,-0.080404438333336,0.02214859499999,3,67.61602585664033,14.643269157912897,P4/mmm,123,tetragonal,2.94585451,4.79092281,4.79092281,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
CdPt,mp-1194,0.0,-0.287571474999998,0.0,4,68.55932542314619,14.895346683553619,P4/mmm,123,tetragonal,3.84605277,4.22207213,4.22207213,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
Fe3Pt,mp-11798,0.0,-0.07329822499999801,0.042699720000000004,4,52.619039634623554,11.443443665498082,P4/mmm,123,tetragonal,3.826708,3.826708,3.59329,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
CrPt,mp-1206750,0.0,-0.275839335,0.0,2,29.81268588799263,13.762133347223228,P4/mmm,123,tetragonal,2.94412316,2.94412316,3.43945124,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
MnPt,mp-1670,0.0,-0.346201598965516,0.0,4,60.14094344902484,13.806613246286044,P4/mmm,123,tetragonal,3.453705369999999,4.17294322,4.17294322,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
