formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Pt,mp-2647022,0.0,0.069093715000001,0.069093715000001,2,31.629123510982563,20.483944372098154,P6_3/mmc,194,hexagonal,2.760666,2.7606652315202944,4.792134,90.0,90.0,120.00000920832593,PtO2(s),Passivation,PtO2(s),Passivation
Pt,mp-2646979,0.0,0.10703881999999901,0.10703881999999901,1,15.904003643869789,20.368745538703337,Im-3m,229,cubic,2.743949530366767,2.743949530366767,2.743949530366767,109.47122063449069,109.47122063449069,109.47122063449069,PtO2(s),Passivation,PtO2(s),Passivation
Pu2Pt,mp-615820,0.0,-0.059599662499991005,0.307721992083335,12,291.45899787403306,15.567028996094018,Pm,6,monoclinic,4.638928013536101,7.0023814585622945,8.974010258905937,88.95318803589059,89.99273470660575,90.0034327827417,PtO2(s),Passivation,PtO2(s),Passivation
PtCl2,mp-1179938,0.0,0.10440218055555901,0.579466190555557,18,688.1523224759096,3.85106702599609,C2/m,12,monoclinic,8.716986617948832,12.093637646463243,9.181253433816158,73.75056142560761,118.34089816845172,126.11768422823795,PtO2(s),Passivation,PtO2(s),Passivation
Mg5Pt,mp-1185838,0.0,-0.27972147416666604,0.09478724388888801,6,121.11381655960629,4.340888828967049,C2/m,12,monoclinic,5.522188763348189,5.522188763348189,7.369356560503774,70.5250858889389,70.5250858889389,35.11781364565075,PtO2(s),Passivation,PtO2(s),Passivation
RuPt,mp-1120769,0.0,0.07581536,0.07581536,2,29.527222616228435,16.654979478482073,P4/mmm,123,tetragonal,2.746328,2.746328,3.914874,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
HgPt,mp-623,0.0,0.038799462500008,0.11571423750000001,2,36.45728460278236,18.021971241043683,P4/mmm,123,tetragonal,3.023661,3.023661,3.98766,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
PtO,mp-7947,0.0,-0.584307552499999,0.139127341249998,4,53.46450234862669,13.11196089417104,P4_2/mmc,131,tetragonal,3.158604,3.158604,5.358894,90.0,90.0,90.0,PtO2(s),Passivation,PtO2(s),Passivation
Al3Pt,mp-1183175,0.0,-0.504874686406243,0.24511516390625201,4,61.50686974582122,7.452115543021319,I4/mmm,139,tetragonal,4.840970232746531,4.840970232746531,4.840970232746531,131.94653885483962,131.94653885483962,70.31347606609984,PtO2(s),Passivation,PtO2(s),Passivation
Hg3Pt,mp-1184608,0.0,0.15282212875001,0.26819429125000405,4,81.88784811670197,16.158773588612508,I4/mmm,139,tetragonal,5.504425443404789,5.504425443404789,5.504425443404789,135.09618756216125,135.09618756216125,65.3807824366541,PtO2(s),Passivation,PtO2(s),Passivation
In3Pt,mp-1184857,0.0,-0.11342645666666501,0.33996358583333103,4,86.8350238870877,10.317541088952863,I4/mmm,139,tetragonal,5.48439527434493,5.48439527434493,5.48439527434493,132.92825565741518,132.92825565741518,68.76684045229182,PtO2(s),Passivation,PtO2(s),Passivation
Be12Pt,mp-571622,0.0,-0.094288496153846,0.11875620115384501,13,109.75194427309111,4.587850994706799,I4/mmm,139,tetragonal,5.537376449600208,5.537376449600208,5.537376449600208,98.15447150452516,98.15447150452516,135.75109004864035,PtO2(s),Passivation,PtO2(s),Passivation
Na3Pt,mp-982871,0.0,-0.08467967534482801,0.08830301215517,4,88.1819497757274,4.972342236120159,I4/mmm,139,tetragonal,5.1202636839955815,5.1202636839955815,5.1202636839955815,124.17928528777558,124.17928528777558,82.90189611777063,PtO2(s),Passivation,PtO2(s),Passivation
Tl2Pt,mp-1101251,0.0,-0.037054912037045,0.06924373462962301,6,153.2304355775862,13.087706863329213,I4/mcm,140,tetragonal,5.925142049048276,5.925142049048276,5.925142049048276,103.12443713803559,103.12443713803559,123.08390452160842,PtO2(s),Passivation,PtO2(s),Passivation
PtPb2,mp-21318,0.0,-0.170389376666662,0.059663255555555,6,143.28079024001573,14.127113491938026,I4/mcm,140,tetragonal,5.753037767704479,5.75303748643969,5.753037471899294,104.78240472701695,104.78240207393847,119.32101326859438,PtO2(s),Passivation,PtO2(s),Passivation
PtO6,mp-1179856,0.0,-0.138445659285714,0.258669965,14,187.08407444990914,5.167199582784042,C2/c,15,monoclinic,5.8424507680781534,5.8424507680781534,5.82644443653769,77.56866472704196,77.56866472704196,78.28010632398987,PtO2(s),Passivation,PtO2(s),Passivation
Bi2Pt,mp-1078313,0.0,-0.234871187777786,0.050449851805552004,9,240.89496715910485,12.677535591313923,P31m,157,trigonal,6.619972598797533,6.619972598797533,6.34723732,90.0,90.0,120.00000578445535,PtO2(s),Passivation,PtO2(s),Passivation
Fe2Pt,mp-1224692,0.0,0.107300243333334,0.26196417,3,37.24594491138286,13.676930812982697,P-3m1,164,trigonal,2.6175999160421743,2.6175999160421743,6.276851,90.0,90.0,119.99999787797786,PtO2(s),Passivation,PtO2(s),Passivation
In2Pt,mp-1223728,0.0,-0.317704390000002,0.28681566666666203,3,74.13640049348284,9.513061703452276,P-3m1,164,trigonal,4.12904993542655,4.138336,5.0136412429459885,90.0,90.15131801678612,59.925561068598185,PtO2(s),Passivation,PtO2(s),Passivation
PtO2,mp-617,1.6099,-0.8708263916666651,0.055776731666668,3,35.46063458814853,10.633759523269788,P-3m1,164,trigonal,3.13453248,3.1345332016871965,4.167448,90.0,90.0,119.99999238380394,PtO2(s),Passivation,PtO2(s),Passivation
VPt,mp-1216236,0.0,-0.299605394999999,0.25073568500000004,2,29.102382252944842,14.037852660273506,R-3m,166,trigonal,4.7371580601706755,4.7371580601706755,4.737157676809693,33.66536904868657,33.66536904868657,33.66536725329063,PtO2(s),Passivation,PtO2(s),Passivation
TcPt,mp-1217413,0.0,-0.077824940624999,0.14083652937500002,2,30.065710554475743,16.18712555998265,R-3m,166,trigonal,4.832786116266371,4.832786116266371,4.832786599611554,33.16321197497937,33.16321197497937,33.163215235540484,PtO2(s),Passivation,PtO2(s),Passivation
RePt,mp-1219507,0.0,-0.001967701249995,0.172071660833331,2,30.43773849732375,20.80143376284839,R-3m,166,trigonal,4.8447761028919585,4.8447761028919585,4.844775960364422,33.25172292308592,33.25172292308592,33.25173106226372,PtO2(s),Passivation,PtO2(s),Passivation
PtW,mp-1219711,0.0,-0.054905329999996005,0.20722256500000202,2,31.60081162281504,19.91145394563403,R-3m,166,trigonal,4.887910461688103,4.887910461688103,4.887910144029245,33.45124307531377,33.45124307531377,33.45124462074423,PtO2(s),Passivation,PtO2(s),Passivation
MnPt,mp-1221545,0.0,-0.007661063965517001,0.33854053499999903,2,26.986701764427192,15.384294711441385,R-3m,166,trigonal,4.580021147742115,4.580021147742115,4.5800212141754315,34.14534612221462,34.14534612221462,34.1453486646586,PtO2(s),Passivation,PtO2(s),Passivation
InPt,mp-1223656,0.0,-0.36572020312500003,0.22588548499999903,2,37.54894426980053,13.704896045009546,R-3m,166,trigonal,4.6985008988240065,4.6985008988240065,4.698501003714375,39.36375373078851,39.36375373078851,39.36375100213564,PtO2(s),Passivation,PtO2(s),Passivation
IrPt,mp-1223665,0.0,0.081434785000006,0.081434785000006,2,30.22159827757851,21.280424520445873,R-3m,166,trigonal,4.7783264703695165,4.7783264703695165,4.778325808846651,33.884096752570635,33.884096752570635,33.884099262649,PtO2(s),Passivation,PtO2(s),Passivation
Fe3Pt,mp-1224766,0.0,0.036371405000001,0.15236935000000001,4,52.89906644195343,11.382866585219642,R-3m,166,trigonal,8.38784130100731,8.38784130100731,8.387841499227916,18.681583246820136,18.681583246820136,18.681582206014742,PtO2(s),Passivation,PtO2(s),Passivation
CoPt,mp-1225998,0.0,-0.014444050000001001,0.05871391499999701,2,26.84748512189358,15.711172721413536,R-3m,166,trigonal,4.549558557923178,4.549558557923178,4.549557956431118,34.426164137045994,34.426164137045994,34.42615708382598,PtO2(s),Passivation,PtO2(s),Passivation
CrPt,mp-1226164,0.0,-0.059656083333337,0.21618325166666302,2,27.617033597690344,14.856271843176797,R-3m,166,trigonal,4.627473610314164,4.627473610314164,4.627473226326545,33.99831852697336,33.99831852697336,33.998307831024135,PtO2(s),Passivation,PtO2(s),Passivation
Co3Pt,mp-1226450,0.0,0.06421203,0.139948873749999,4,49.773590396292114,12.406724453732886,R-3m,166,trigonal,8.455578886321739,8.455578886321739,8.45557790233648,17.88385922540567,17.88385922540567,17.883860629424063,PtO2(s),Passivation,PtO2(s),Passivation
PtO6,mp-1179845,0.0,-0.13999258357142902,0.25712304071428504,14,186.44276848195454,5.184973165299647,R-3c,167,trigonal,5.817902662525215,5.817902662525215,5.817902270628564,78.48623973529594,78.48623973529594,78.48624015713565,PtO2(s),Passivation,PtO2(s),Passivation
PtO3,mp-768247,0.0,-0.6081255025000001,0.08682684,8,88.66194038208619,9.105315939524148,R-3c,167,trigonal,5.122834459996926,5.122834459996926,5.122834257477495,57.07817500508026,57.07817500508026,57.078172861906815,PtO2(s),Passivation,PtO2(s),Passivation
