formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Rh,mp-1186916,0.0,0.021952465000001,0.021952465000001,4,55.20593724864403,12.381175752773109,P6_3/mmc,194,hexagonal,2.69174487,2.691744376808658,8.79807013,90.0,90.0,119.99999364876828,RhO2(s),Passivation,RhO2(s),Passivation
Rh,mp-74,0.0,0.0,0.0,1,13.782780337825384,12.39797767429029,Fm-3m,225,cubic,2.6912281905108695,2.691228761772232,2.6912289,60.00001083846512,60.000003816702254,60.00000232769217,RhO2(s),Passivation,RhO2(s),Passivation
NbRh,mp-567345,0.0,-0.38570528333333404,0.015611786666665002,6,95.24166050984022,10.24194479717613,P2/m,10,monoclinic,2.84782699,4.889223632237434,7.051260822548437,75.9485377807961,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
RhI3,mp-1206891,1.0096,-0.5667571437499991,0.0,8,277.3315105367346,5.791394507225584,C2/m,12,monoclinic,6.866210560756532,6.866210560756532,7.108459600060561,98.47692929027508,98.47692929027508,119.99910335051385,RhO2(s),Passivation,RhO2(s),Passivation
Zn13Rh,mp-13447,0.0,-0.134944325357143,0.0,14,200.1978765983639,7.906493451914335,C2/m,12,monoclinic,5.110582654078622,6.537645523235547,6.537647346678345,69.25483726625941,80.59240741417405,80.5924002742757,RhO2(s),Passivation,RhO2(s),Passivation
RhBr3,mp-27871,1.2584,-0.8457965725000001,0.0,8,217.16068197962676,5.239712257895749,C2/m,12,monoclinic,6.352194746934303,6.352194179352888,6.541417896909724,99.00278630193392,99.00279754990154,119.97736733796808,RhO2(s),Passivation,RhO2(s),Passivation
RhCl3,mp-27770,1.521199999999999,-0.784634455624997,0.0,8,183.44843663475277,3.788441960880535,C2/m,12,monoclinic,6.000481389456523,6.000479677899377,6.200986422720385,99.09263555216033,99.09260571084958,119.99922306294364,RhO2(s),Passivation,RhO2(s),Passivation
Zr3Rh,mp-1188413,0.0,-0.454694031249999,0.0,16,330.8631264552104,7.559883230895028,C2,5,monoclinic,5.751603360614211,8.113475892055616,8.113228573694174,82.75893128254664,69.19874125308964,69.20039577224935,RhO2(s),Passivation,RhO2(s),Passivation
Hg2Rh,mp-11870,0.0,-0.016613125000001002,0.0,3,64.41860219549343,12.993974366540236,P4/mmm,123,tetragonal,3.03695554,4.60560228,4.60560228,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
NbRh,mp-1963,0.0,-0.40131706999999905,0.0,4,63.33209958152857,10.268198231003392,P4/mmm,123,tetragonal,3.88037155,4.03994346,4.03994346,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
VRh,mp-1251,0.0,-0.40606390499999906,0.025592672500000004,4,53.80160963401837,9.496702998925853,P4/mmm,123,tetragonal,3.62415463,3.852958,3.852958,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
TiRh,mp-2583,0.0,-0.7413721266666661,0.0,4,58.99056628265778,8.488259808163635,P4/mmm,123,tetragonal,3.41097137,4.1586488,4.1586488,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
Ga3Rh,mp-1188977,0.0,-0.424830423749999,0.011919769810266,16,277.1918789943771,7.4780242598690805,P4_2/mnm,136,tetragonal,6.48375153065285,6.48375153065285,6.59367862,90.0,90.0,90.00162615259028,RhO2(s),Passivation,RhO2(s),Passivation
In3Rh,mp-18614,0.0,-0.38318283499999906,0.0,16,356.310638415989,8.33944144768828,P4_2/mnm,136,tetragonal,7.03638286,7.03638286,7.19664144,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
RhO2,mp-725,0.0,-1.218954728333332,0.0,6,62.21966740434897,7.20074117228947,P4_2/mnm,136,tetragonal,3.08996901,4.487317310001029,4.487317310001029,89.99992236824022,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
Ti2Rh,mp-1018124,0.0,-0.625762542222221,0.0,3,45.715974040596706,7.215172745241706,I4/mmm,139,tetragonal,3.05199018,3.05199018,5.361480883213147,106.5362630013498,106.5362630013498,90.0,RhO2(s),Passivation,RhO2(s),Passivation
