formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Rh,mp-2646993,0.0,0.059014695000001005,0.059014695000001005,2,28.603744368343506,11.947988397429672,P6_3/mmc,194,hexagonal,2.730979,2.730979084414416,4.428489,90.0,90.0,120.00001109028233,RhO2(s),Passivation,RhO2(s),Passivation
Rh,mp-1239193,0.0,0.792506420000002,0.792506420000002,2,33.02523894343128,10.348364365248235,Pm-3m,221,cubic,5.086717,2.548028,2.548028,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
Rh,mp-2647000,0.0,0.34932510000000105,0.34932510000000105,1,14.707488949327848,11.618475696751462,Im-3m,229,cubic,2.6733355509929915,2.6733355509929915,2.6733355509929915,109.47122063449069,109.47122063449069,109.47122063449069,RhO2(s),Passivation,RhO2(s),Passivation
Sn2Rh,mp-1219386,0.0,0.7667284655555561,1.181295826388888,9,244.3865278215819,6.9372537817152775,I4mm,107,tetragonal,6.744246,6.744246,7.18405923740186,62.00531577199808,62.00531577199808,90.0,RhO2(s),Passivation,RhO2(s),Passivation
K3Rh,mp-1066655,0.0,0.540839432749999,0.540839432749999,4,177.25003007815417,2.062912861113317,C2/m,12,monoclinic,5.659598907594954,5.659598907594954,6.319761462017772,87.26442716005985,87.26442716005985,61.27869499211718,RhO2(s),Passivation,RhO2(s),Passivation
K3Rh,mp-1180810,0.0,0.5617919327499991,0.5617919327499991,4,191.77095122123782,1.9067088333890072,C2/m,12,monoclinic,6.766755231391262,6.766755231391262,6.200833671377584,74.58615008438618,74.58615008438618,44.845337836686845,RhO2(s),Passivation,RhO2(s),Passivation
ZrRh,mp-1215257,0.0,-0.8336217849999981,0.0516632225,4,70.63182042788867,9.127886461842978,P4/mmm,123,tetragonal,4.590982594742239,4.59077657,3.35126367630132,90.0,90.0060077693558,90.0,RhO2(s),Passivation,RhO2(s),Passivation
RhI2,mp-862601,0.0,-0.355119468333332,0.14866465944444401,6,171.90425833921688,6.891490286081067,P4_2/mnm,136,tetragonal,6.405874,6.405874,4.189188,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
RhCl2,mp-867259,0.0,-0.5025086455555551,0.19494420388888903,6,120.70883725337357,4.7820986854262735,P4_2/mnm,136,tetragonal,5.689973,5.689973,3.728367,90.0,90.0,90.0,RhO2(s),Passivation,RhO2(s),Passivation
K3Rh,mp-1185110,0.0,0.5740148152499991,0.5740148152499991,4,139.38642845142718,2.623292459268136,I4/mmm,139,tetragonal,5.879696590285421,5.879696590285421,5.879696590285421,121.8880737193836,121.8880737193836,86.75973140963957,RhO2(s),Passivation,RhO2(s),Passivation
