formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Sc,mp-67,0.0,0.0,0.0,2,50.02447391787033,2.984581038201143,P6_3/mmc,194,hexagonal,3.29122591,3.291223992910672,5.33257239,90.0,90.0,119.99999886514713,Sc[+3],Passivation,Sc2O3(s),Passivation
Mg2Sc,mp-1185779,0.0,0.010889141666666002,0.030685138333332,6,139.2916079511816,2.230857328210486,C2/m,12,monoclinic,6.202503398828923,6.202503398828923,7.605845643341742,75.2641976363705,75.2641976363705,29.56560489728776,Sc[+3],Passivation,Sc2O3(s),Passivation
Mg2Sc,mp-1185777,0.0,-0.00012133333333200001,0.019674663333333002,6,140.0261775206262,2.219154374262217,C2/m,12,monoclinic,6.128611919208332,6.128611919208332,7.660135226043075,75.82730746438095,75.82730746438095,30.207583655695032,Sc[+3],Passivation,Sc2O3(s),Passivation
ScIn,mp-1207100,0.0,-0.5507911224999981,0.0,2,44.706868859217366,5.934453238829552,P4/mmm,123,tetragonal,3.19494358,3.19494358,4.37973534,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
ScBr2,mp-862565,0.0,-1.796606146666667,0.042269746666664006,6,169.60958669807113,4.009425197304739,P4_2/mnm,136,tetragonal,6.7203610499724205,6.7203610499724205,3.75547769,90.0,90.0,89.99375731223607,Sc[+3],Passivation,Sc2O3(s),Passivation
ScAu2,mp-1018148,0.0,-0.8795857516666671,0.0,3,55.12513539975147,13.220691580038213,I4/mmm,139,tetragonal,3.5441874742857267,3.5441870344942443,5.052500526590975,110.52027463428281,110.52029455880015,89.95628852145458,Sc[+3],Passivation,Sc2O3(s),Passivation
ScAg2,mp-1018128,0.0,-0.290682248333332,0.0,3,55.8761287369481,7.747311387233375,I4/mmm,139,tetragonal,3.5382589201997887,3.5382578901988038,5.115909648918533,110.21704069385017,110.21702837081052,90.00972346017845,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu2,mp-1018149,0.0,-0.23641582500000102,0.0,3,44.673410178112434,6.395130303773691,I4/mmm,139,tetragonal,3.2758644929503546,3.2758644929503546,4.766221371980703,110.14689141402343,110.14689141402343,89.97007199287336,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn12,mp-11567,0.0,-0.136576282692307,0.0,13,191.54253069268736,7.194336635597737,I4/mmm,139,tetragonal,5.071024925299629,6.645962810904377,6.645960718850821,81.71389181616681,67.63152667277997,67.63153703512201,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu3,mp-973092,0.0,-0.145604581249999,0.031707287499999,4,55.63004764036237,7.032402655094583,I4/mmm,139,tetragonal,4.599156902514232,4.599156902514232,4.599156902514232,130.060870381418,130.060870381418,73.30947222269403,Sc[+3],Passivation,Sc2O3(s),Passivation
ScSn2,mp-2398,0.0,-0.47380913500000005,0.0,12,282.4047354783488,6.641478338506865,I4_1/amd,141,tetragonal,4.252830626805659,4.252830725935258,15.901007896242838,97.68507211864531,97.6850761445668,89.99999775020936,Sc[+3],Passivation,Sc2O3(s),Passivation
