formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Sc,mp-1064244,0.0,0.11248714000000001,0.11248714000000001,4,101.01365804384275,2.956077409580834,P4/nmm,129,tetragonal,5.422676,5.422676,3.435206,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-1056366,0.0,0.10778921500000001,0.10778921500000001,1,25.253414510960692,2.956077409580833,I4/mmm,139,tetragonal,3.2095971422988585,3.2095971422988585,3.2095971422988585,106.64142827545551,106.64142827545551,115.2923764273357,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-567308,0.0,0.20573354000000002,0.20573354000000002,4,103.22500331899548,2.8927506224412762,I4/mcm,140,tetragonal,5.412486948378109,5.13764501455588,5.1376447305174056,73.89113372825224,58.214017185104524,58.21401126871257,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-1055932,0.0,0.052474915000001,0.052474915000001,1,24.35331188221973,3.065334543066161,C2/m,12,monoclinic,3.2164364957873794,3.277476526190386,3.29104741544831,119.41251872447872,59.42934114274152,89.17378791794573,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-601273,0.0,0.127706965000001,0.127706965000001,6,149.1583404005527,3.002891341516499,P6_122,178,hexagonal,3.2476665301747434,3.2450989088219213,16.34697532,90.0,90.0,120.02737463213137,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-2018526,0.0,0.17160951833333302,0.17160951833333302,6,150.07969205343008,2.984456342996296,C222_1,20,orthorhombic,3.2651054730647955,3.2595304205850115,16.2932905,90.0,90.0,120.06156465385457,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-1977495,0.0,0.065322404999998,0.065322404999998,3,70.48815064594508,3.177174353414226,C2/m,12,monoclinic,3.2007211690325352,5.000534,5.064285040230951,119.58444681724225,90.0541056819659,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-1008681,0.0,0.7194539350000001,0.7194539350000001,1,25.863941061865507,2.886298262591514,Pm-3m,221,cubic,2.959329099999999,2.9563150794455564,2.9563150794455564,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-36,0.0,0.101017464999999,0.101017464999999,1,25.196080563441974,2.962803994957294,Fm-3m,225,cubic,3.2909623130998473,3.2909620954999412,3.2909625028798133,89.9681922946131,120.01837502634862,120.01837006982282,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc,mp-10641,0.0,0.102231445000001,0.102231445000001,4,100.63185200401101,2.967293025578273,Im-3m,229,cubic,3.68170699,5.2280908,5.2280908,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
ScSe2,mp-1232237,0.0,-1.562565103255207,0.073451800026042,6,123.83285694753793,5.440936853953471,P4/nmm,129,tetragonal,3.950852,3.950852,7.9333089999999995,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
ScI2,mp-862329,0.0,-1.261712531666666,0.11583555219999901,6,215.2566484672,4.609480933626658,P4_2/mnm,136,tetragonal,7.24,7.24,4.106572,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
ScS2,mp-862373,0.0,-1.495295626510416,0.314399350729166,6,138.583250612177,2.614189199510279,P4_2/mnm,136,tetragonal,6.061861,6.061861,3.771366999999999,90.0,90.0,90.0,Sc[+3],Passivation,Sc2O3(s),Passivation
