formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ta,mp-42,0.0,7.669666661058728e-06,7.669666665321984e-06,30,554.6545628565603,16.251792226010433,P-42_1m,113,tetragonal,5.30817345,10.22206745,10.22206745,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-569794,0.0,0.0,0.0,30,554.3708437019316,16.260109663343133,P4_2/mnm,136,tetragonal,10.224412870006248,10.224399160006293,5.303031500000003,90.00000428311031,89.99999659015928,90.00012670247786,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-50,0.0,0.009149912666664001,0.009149912666664001,1,18.129972738489144,16.573164675563017,Im-3m,229,cubic,2.8664184427230914,2.8664192526739387,2.86641841,109.4712074002181,109.47121312417562,109.47121232658654,TaO2[+1],Passivation,TaO2[+1],Passivation
TaP,mp-1067587,0.0,-0.995565067654762,0.0,4,63.0247326362231,11.16717678534869,I4_1md,109,tetragonal,3.3249992,3.3249992,6.1665017491792025,105.6405595195006,105.6405595195006,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaAs,mp-1936,0.0,-0.6207010699166701,0.0,4,69.58536437634623,12.211799745495185,I4_1md,109,tetragonal,3.4436782526434224,3.443575196061172,6.352588597085555,105.71667392906875,105.7165607180174,90.00416362712987,TaO2[+1],Passivation,TaO2[+1],Passivation
TaSe3,mp-1191680,0.0,-0.730190390296873,0.012764840833334,24,541.3421842463277,7.689992075758281,P2_1/m,11,monoclinic,3.50723085,10.300787835993576,15.834285581527887,108.85822619973028,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaSe3,mp-29652,0.0,-0.74295523113021,0.0,16,364.18516606892683,7.620513766047706,P2_1/m,11,monoclinic,3.52664896,10.108986924721759,10.750115112636156,108.14838276921589,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaS3,mp-30527,0.0,-1.173654325375001,0.0,24,469.47025513007236,5.881606865285172,P2_1/m,11,monoclinic,3.36249475,9.763086479752575,15.0811588192929,108.51259983428683,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaNi3,mp-569776,0.0,-0.32708908495833405,0.0,16,192.18805368736466,12.339145193230443,P2_1/m,11,monoclinic,4.500483968108326,5.0775531,8.564185049670915,90.0,100.87707585805492,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPt3,mp-567638,0.0,-0.7071258774583331,0.0,48,750.6602201004342,20.338973071902032,P2_1/m,11,monoclinic,4.8963832412993575,5.56866565,27.531835966419337,90.0,90.52622913386199,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaSb2,mp-11697,0.0,-0.16808569077777702,0.0,6,136.77168959803916,10.306891716090723,C2/m,12,monoclinic,3.697757156057109,5.462352280769086,7.486028313466681,78.70237677863693,75.70915995059494,70.14568254764728,TaO2[+1],Passivation,TaO2[+1],Passivation
TaBr5,mp-1203015,2.0349,-1.386506680944442,0.000183292569444,36,1210.1445974254311,4.779046704156569,C2/m,12,monoclinic,6.358397164740165,13.803743944393544,13.803743944393544,87.34217915155733,89.46090997137253,89.46090997137253,TaO2[+1],Passivation,TaO2[+1],Passivation
TaAs2,mp-12561,0.013399999999999001,-0.531900830777781,0.0,6,108.44605450043026,10.130225829850296,C2/m,12,monoclinic,3.419905132387866,4.985271491210241,7.029800152158905,78.95985869521152,75.91508262412874,69.97065394243121,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTe2,mp-1967,0.0,-0.641113326518515,0.0,27,754.8696071381597,8.634822862592657,C2/m,12,monoclinic,9.466715592012461,9.466715727942065,9.63460720414493,71.86287167525018,71.8628739474802,71.13699470578406,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCl4,mp-29465,1.2245,-1.792021997466666,0.025107994299999003,10,261.12955796013097,4.104900219322986,C2/m,12,monoclinic,6.788387338969676,6.996044970382603,7.179462350619309,71.68856056448804,61.78609957002005,60.97711181452408,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCl5,mp-29831,2.8257,-1.8545025495555572,0.0,36,1028.700022943217,3.469387390684242,C2/m,12,monoclinic,6.013340694438091,13.084973115051191,13.084972401553204,87.77305236912605,89.40834142437784,89.40833578851787,TaO2[+1],Passivation,TaO2[+1],Passivation
TaF5,mp-561197,5.5366,-3.404466658305554,0.0,24,329.82042593635856,5.557072175634586,C2/m,12,monoclinic,4.925827283096634,8.576008513332578,8.576007434282523,112.99003552130611,94.69619195110964,94.69621163123556,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTe2,mp-601823,0.0,-0.6384653054074061,0.0026480211111080004,9,250.13985118790444,8.686028117255745,C2/m,12,monoclinic,3.68673087,7.837415345275635,9.651856202885016,111.98928054576382,89.99999993783226,103.60345675561099,TaO2[+1],Passivation,TaO2[+1],Passivation
TaAu,mp-1217961,0.0,-0.034649843666663,0.018172976250006002,2,34.79478668069549,18.035509519168283,P4/mmm,123,tetragonal,2.91364294,2.91364294,4.09865648,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaRu,mp-1601,0.0,-0.346225666166667,1.1109444443491151e-05,2,31.53228555825666,14.851498993135529,P4/mmm,123,tetragonal,3.0409624,3.0409624,3.40983489,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTe4,mp-22817,0.0,-0.585981959799998,0.014076577666667001,10,304.71815105558505,7.5348984586197165,P4/mcc,124,tetragonal,6.63092989,6.63092989,6.93025879,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPd,mp-999133,0.0,-0.36691171366666,0.0,4,65.74443670151213,14.516379336931651,P4/nmm,129,tetragonal,3.28743175,3.28743175,6.08338802,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTe4,mp-202,0.0,-0.5969074789666651,0.0031510585,60,1823.5681844098071,7.554486899908088,P4/ncc,130,tetragonal,9.34964021,9.34964021,20.86086002,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTe4,mp-680259,0.0,-0.600058537466665,0.0,120,3682.746613136334,7.48143894074804,P4/ncc,130,tetragonal,13.268653,13.268653,20.917904,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaNi2,mp-1157,0.0,-0.30562951244444503,0.0037384035000050005,3,38.754675778264065,12.782880545718758,I4/mmm,139,tetragonal,3.147169570149153,3.147168612543656,4.501342024555235,110.46169013829332,110.46170508231634,90.00002310729259,TaO2[+1],Passivation,TaO2[+1],Passivation
TaGa3,mp-11416,0.0,-0.20079970933333502,0.0,4,62.234623025970734,10.409066340930082,I4/mmm,139,tetragonal,3.7903366723883662,3.7903362535787144,5.093968090694631,111.84156939367124,111.84156749913843,90.00001412304086,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPd3,mp-30836,0.0,-0.47368206683333003,0.0,4,61.019393110400244,13.612307232527904,I4/mmm,139,tetragonal,3.9042516572170487,3.904251131357957,4.862730005330837,113.66877884902622,113.66864931063309,89.99998775759158,TaO2[+1],Passivation,TaO2[+1],Passivation
TaBe12,mp-567842,0.0,-0.13860669825641,0.0,13,112.32961310752474,4.273601358660808,I4/mmm,139,tetragonal,4.208473001504694,5.578450152156592,5.578451287933318,81.81985304344494,67.83914365597514,67.83914815433312,TaO2[+1],Passivation,TaO2[+1],Passivation
TaNi3,mp-570491,0.0,-0.32682784683333205,0.000261238125002,4,48.13105054703785,12.317600966008348,I4/mmm,139,tetragonal,3.6045047172238633,3.6045056096949133,4.498234673909907,113.67016019231767,113.67015660704361,89.89303116127702,TaO2[+1],Passivation,TaO2[+1],Passivation
TaAl3,mp-869,0.0,-0.37362651433333105,0.0,4,62.4987398075825,6.95826382842547,I4/mmm,139,tetragonal,3.8342014482146265,3.8342019893966888,5.042228738315998,112.3466324246207,112.34663627038147,89.99999299334301,TaO2[+1],Passivation,TaO2[+1],Passivation
TaS2,mp-10014,0.0,-1.381073649111107,0.0,3,61.05212752336501,6.665802005732892,R3m,160,trigonal,6.615290074997403,6.615290172323264,6.615291023222328,29.223286544984152,29.223289908813697,29.223287052959712,TaO2[+1],Passivation,TaO2[+1],Passivation
