formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ta,mp-1076923,0.0,5.146382562500001,5.146382562500001,4,1225.9721677201737,0.9803518600824571,P4/mbm,127,tetragonal,2.3772801,22.710016436100766,22.708205086101483,90.00265627176634,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-697196,0.0,1.211237520000013,1.211237520000011,22,527.1351609664409,12.540166189192433,P4_2/mnm,136,tetragonal,10.516577,10.516577,4.76621,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-1095086,0.0,1.329314316249998,1.329314316249998,8,176.40398548089271,13.626495929299487,P6_322,182,hexagonal,4.98265589193283,4.984357325074444,8.202746640020925,89.99973767470648,90.00012759036767,120.0117883211423,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-2647044,0.0,0.285147450000003,0.285147450000003,2,37.63704377251053,15.966770694031384,P6_3/mmc,194,hexagonal,2.900372,2.900372145124139,5.166274,90.0,90.0,119.99999834480973,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-1217756,0.0,1.099143480000002,1.099143480000002,4,79.34545214487477,15.14748561567595,Pm-3m,221,cubic,4.688651750001888,4.688651750001888,4.688651750001888,70.52877936550931,70.52877936550931,109.47122063449069,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-6986,0.0,0.24488082999999902,0.24488082999999902,1,18.151564914891313,16.55345008363142,Fm-3m,225,cubic,2.9499167670539497,2.9499166933939414,2.94991574,59.999988959997935,59.99998973237114,60.000004824268814,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta,mp-1217805,0.0,5.145464995000005,5.145464995000005,2,1135.092643235231,0.529421145576362,Cmmm,65,orthorhombic,2.40672,21.717152002553025,21.717152002553025,89.998242910067,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1244870,0.030000000000000002,-0.8953931971083371,0.463312950933328,100,1251.7424983243436,12.93116182984754,P1,1,triclinic,10.86666605146643,10.799502973641935,10.71306347317783,91.35067303229451,92.80160401758732,85.58013624214534,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1244946,0.043899999999999,-0.8399539466083341,0.518752201433333,100,1285.0256057529184,12.596235236609008,P1,1,triclinic,10.591642382078476,10.62647480440221,11.424413526736897,90.10641955614766,92.03459441769682,89.9741319389116,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1244977,0.0,-0.8543081234083361,0.504398024633331,100,1351.499719922654,11.976683810231272,P1,1,triclinic,11.20511938546787,11.076071433782666,10.977163991707979,83.2048738066738,89.76297525184877,92.44751550794741,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1245149,0.036500000000000005,-0.8572251582083341,0.501480989833332,100,1277.1038929737194,12.674368079357846,P1,1,triclinic,10.597396239475524,10.727539604847191,11.289066671258613,91.51588300281459,90.17307850464871,84.53434077149171,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1245175,0.0034000000000000002,-0.8426125090083361,0.516093639033332,100,1292.1550962404751,12.526735267480136,P1,1,triclinic,11.092073225719256,10.632238370995687,10.973257263825268,90.47321581017952,91.80549762657897,87.443509612134,TaO2[+1],Passivation,TaO2[+1],Passivation
TaO10,mp-684958,0.0,-0.6033501379393941,0.46146540386363705,11,173.86025372199208,3.256335470931361,P1,1,triclinic,3.847563,3.8762844655371977,11.699713459371003,94.36795192946222,90.3234369686755,92.12012424731302,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPd,mp-1208550,0.0,0.6824144188333391,1.049326132499999,4,83.0743083835387,11.488162839055924,P4/mmm,123,tetragonal,2.723518,2.723518,11.199696,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaO2,mp-20994,0.0,-3.032669320777778,0.09078960184444301,6,72.1081980464664,9.807658236443672,P4_2/mnm,136,tetragonal,5.007146,5.007146,2.876101,90.0,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
Eu3Ta,mp-1184414,0.0,0.649769239999997,0.649769239999997,4,120.34920755924402,8.786908708046825,I4/mmm,139,tetragonal,5.96079408945226,5.96079408945226,5.96079408945226,130.2927669559852,130.2927669559852,72.93916061768856,TaO2[+1],Passivation,TaO2[+1],Passivation
K3Ta,mp-1185075,0.0,1.408760500249998,1.408760500249998,4,185.28486567274024,2.672877710347451,I4/mmm,139,tetragonal,6.851592980911884,6.851592980911884,6.851592980911884,129.78813879039285,129.78813879039285,73.74568737048025,TaO2[+1],Passivation,TaO2[+1],Passivation
La3Ta,mp-1185109,0.0,0.42831368625000005,0.42831368625000005,4,117.82540076943299,8.423013168432336,I4/mmm,139,tetragonal,6.002940302757641,6.002940302757641,6.002940302757641,131.78798318013938,131.78798318013938,70.56409121709798,TaO2[+1],Passivation,TaO2[+1],Passivation
Na3Ta,mp-1186085,0.0,1.2411052825862061,1.2411052825862061,4,114.37759821545261,3.628308867278379,I4/mmm,139,tetragonal,6.113380445968826,6.113380445968826,6.113380445968826,134.51175270260117,134.51175270260117,66.28977947841138,TaO2[+1],Passivation,TaO2[+1],Passivation
Rb3Ta,mp-1186870,0.0,1.455523690041666,1.455523690041666,4,214.12545844414353,3.391651284926312,I4/mmm,139,tetragonal,7.182046405894493,7.182046405894493,7.182046405894493,129.6623376143255,129.6623376143255,73.94715335350973,TaO2[+1],Passivation,TaO2[+1],Passivation
Pu3Ta,mp-1186826,0.0,0.20570157999999503,0.20570157999999503,4,88.96747163527914,17.0397741179429,I4/mmm,139,tetragonal,5.396221507834162,5.396221507834162,5.396221507834162,130.42428876641355,130.42428876641355,72.7293744952996,TaO2[+1],Passivation,TaO2[+1],Passivation
TaAs3,mp-1187215,0.0,0.24907287316666002,0.6479984962499971,4,71.21551911281762,9.460041341378487,I4/mmm,139,tetragonal,5.296462607348513,5.296462607348513,5.296462607348513,135.80461745394982,135.80461745394982,64.28254472451884,TaO2[+1],Passivation,TaO2[+1],Passivation
Sr3Ta,mp-1187141,0.0,0.903847992499997,0.903847992499997,4,154.9355412485866,4.75656080500282,I4/mmm,139,tetragonal,6.543281100904117,6.543281100904117,6.543281100904117,131.2609610351744,131.2609610351744,71.39879335086053,TaO2[+1],Passivation,TaO2[+1],Passivation
TaP3,mp-1187255,0.0,0.19675017575595502,0.694532709583334,4,58.73365546934822,7.742927724249941,I4/mmm,139,tetragonal,4.992158327893657,4.992158327893657,4.992158327893657,136.24094273141307,136.24094273141307,63.60805318020388,TaO2[+1],Passivation,TaO2[+1],Passivation
TaTi3,mp-1187256,0.0,0.097485679999998,0.097485679999998,4,70.21725377153959,7.6751234962098795,I4/mmm,139,tetragonal,5.227332748717935,5.227332748717935,5.227332748717935,135.06046692982795,135.06046692982795,65.43626204408498,TaO2[+1],Passivation,TaO2[+1],Passivation
Yb3Ta,mp-979953,0.0,0.27376879941666404,0.27376879941666404,4,101.31579441229515,11.473927345238948,I4/mmm,139,tetragonal,5.699517834304023,5.699517834304023,5.699517834304023,131.62869801013326,131.62869801013326,70.81609398093585,TaO2[+1],Passivation,TaO2[+1],Passivation
TaF5,mp-1339908,5.1237,-3.329028205388887,0.07543845291666601,24,414.565881691103,4.4210968458146045,P2_1/c,14,monoclinic,10.086571,5.539671,7.943660791976518,69.06665541650366,90.0,90.0,TaO2[+1],Passivation,TaO2[+1],Passivation
TaP,mp-12597,0.0,-0.310229565154763,0.6853355024999991,4,64.15447129015593,10.970526559479781,I4_1/amd,141,tetragonal,5.7792472441427005,5.7792472441427005,5.7792472441427005,144.69013624869106,144.69013624869106,50.796532996252076,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCo3,mp-1218093,0.0,-0.133734560999999,0.10643158499999901,12,146.59382614702793,12.157134933100185,P3m1,156,trigonal,4.699100021716924,4.699100021716924,7.665768,90.0,90.0,120.00000030575649,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCo3,mp-1218185,0.0,-0.12018700933333301,0.11997913666666601,24,295.97362262436934,12.042701028737632,P-3m1,164,trigonal,4.710138291170653,4.708584,15.40815500732161,90.0,89.99691313007514,60.01091532939057,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPd,mp-1217896,0.0,-0.14720079116666002,0.21971092249999902,2,33.43356392256033,14.272651050043308,R-3m,166,trigonal,4.95404631763824,4.95404631763824,4.954047064923081,33.74758936456714,33.74758936456714,33.747589206060674,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN2,mp-1008762,0.0,-0.695192232305553,0.44857170222222403,3,31.889752840803535,10.88087357023235,P-6m2,187,hexagonal,3.1154787855443655,3.1154787855443655,3.7937700000000003,90.0,90.0,120.00001668160763,TaO2[+1],Passivation,TaO2[+1],Passivation
TaC,mp-1009817,0.0,-0.246991968666666,0.41246863499999903,2,23.321664772007964,13.738953177572585,P-6m2,187,hexagonal,3.05739770773398,3.05739770773398,2.880879,90.0,90.0,119.99999367561357,TaO2[+1],Passivation,TaO2[+1],Passivation
TaS,mp-10628,0.0,-0.9183016974166641,0.2211050075,2,31.067842279535547,11.385284042141908,P-6m2,187,hexagonal,3.2808899246364542,3.2808899246364542,3.332707,90.0,90.0,119.99999848028669,TaO2[+1],Passivation,TaO2[+1],Passivation
PaTa,mp-1186411,0.0,0.281401289999998,0.281401289999998,2,43.88834936586504,15.587624920267364,P-6m2,187,hexagonal,3.073547439031322,3.073547439031322,5.364617,90.0,90.0,119.99998792490089,TaO2[+1],Passivation,TaO2[+1],Passivation
TaNi3,mp-1217931,0.0,0.160132560041667,0.48722164500000104,4,51.64956663595608,11.478490785641336,P-6m2,187,hexagonal,2.6952971873299982,2.695405,8.209394,90.0,90.0,59.99868906551878,TaO2[+1],Passivation,TaO2[+1],Passivation
TaRu3,mp-1217912,0.0,-0.023343597249997003,0.23773114249999902,4,60.342840517811936,13.32325537285441,P-6m2,187,hexagonal,2.7833488005776426,2.7833488005776426,8.994146,90.0,90.0,120.00001902951867,TaO2[+1],Passivation,TaO2[+1],Passivation
TaOs3,mp-1217906,0.0,0.003693110666667,0.16671376000000002,4,61.154122335830806,20.409483711045173,P-6m2,187,hexagonal,2.7876457811050877,2.7876457811050877,9.086987,90.0,90.0,119.99999480494577,TaO2[+1],Passivation,TaO2[+1],Passivation
YbTa,mp-981458,0.0,0.37458866883333203,0.37458866883333203,2,44.43680707912347,13.228013947902836,P-6m2,187,hexagonal,3.151243759814421,3.151243759814421,5.167115898994424,90.0,90.0,119.99999679886514,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN2,mp-1019271,0.0,-0.16754198994444403,0.9762219445833331,6,71.7582598216772,9.671036329727738,P6/mmm,191,hexagonal,5.4576273836165115,5.4576276945011575,2.78184721,90.0,90.0,119.99995283250388,TaO2[+1],Passivation,TaO2[+1],Passivation
TaS2,mp-1179413,0.0,0.22342789588889,1.604501544999998,3,75.90488348897921,5.3614652364046425,P6/mmm,191,hexagonal,3.0538561078205695,3.0538561078205695,9.398141,90.0,90.0,120.00000233585057,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-1497,0.0,-0.907127139708331,0.45157900833333603,6,70.32013569654995,13.810967218532168,P6/mmm,191,hexagonal,5.263145012881366,5.263145012881366,2.931287,90.0,90.0,119.99998759159307,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-570454,0.0,-0.051546408041668004,1.307159739999999,6,77.93871458724303,12.460932850267316,P6/mmm,191,hexagonal,5.365103690010101,5.365103690010101,3.126557,90.0,90.0,119.99999617737734,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN2,mp-1019272,0.0,-0.705446997305552,0.43831693722222503,6,63.42597490621668,10.941522597320967,P6_3/mmc,194,hexagonal,3.070158154471199,3.070158154471199,7.769893,90.0,90.0,120.0000033287315,TaO2[+1],Passivation,TaO2[+1],Passivation
Th3Ta,mp-1187061,0.0,0.298960192500004,0.298960192500004,8,228.18356837016745,12.765124367763907,P6_3/mmc,194,hexagonal,6.756144575364932,6.756144575364932,5.772393,90.0,90.0,120.00000563425436,TaO2[+1],Passivation,TaO2[+1],Passivation
TaRu3,mp-1187258,0.0,-0.18362994933333301,0.07744479041666301,8,116.7755443648241,13.769374033154321,P6_3/mmc,194,hexagonal,5.560870955031968,5.560870955031968,4.36049317,90.0,90.0,119.99999446812593,TaO2[+1],Passivation,TaO2[+1],Passivation
TaSn3,mp-1187261,0.0,0.45302857920833206,0.47853832687500003,8,185.31340731826654,9.625194576612778,P6_3/mmc,194,hexagonal,6.291727756039036,6.291727756039036,5.405506,90.0,90.0,119.99999743467484,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPb3,mp-1187282,0.0,0.7300887099999961,0.7300887099999961,8,210.04930240496452,12.68904102321371,P6_3/mmc,194,hexagonal,6.608874195366258,6.608874195366258,5.553102,90.0,90.0,120.00000195575329,TaO2[+1],Passivation,TaO2[+1],Passivation
U3Ta,mp-1187810,0.0,0.359715884999999,0.359715884999999,8,167.6835995457597,17.7267179365208,P6_3/mmc,194,hexagonal,5.950712205590184,5.950712205590184,5.467919,90.0,90.0,120.00000228573263,TaO2[+1],Passivation,TaO2[+1],Passivation
Zr3Ta,mp-1188053,0.0,0.15326115375000102,0.15326115375000102,8,177.394839673078,8.511116474236113,P6_3/mmc,194,hexagonal,6.306089880011306,6.306089880011306,5.150982,90.0,90.0,119.99999874115524,TaO2[+1],Passivation,TaO2[+1],Passivation
TaB4,mp-1189303,0.0,0.06234183786667401,0.45990139633333205,20,165.99843404762132,8.970671977488664,P6_3/mmc,194,hexagonal,5.315875428970566,5.315875428970566,6.78303,90.0,90.0,119.99999289317361,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCr2,mp-570963,0.0,0.07452002505555301,0.07452002505555501,12,164.34779464712025,11.51592293638167,P6_3/mmc,194,hexagonal,4.86869331,4.868691965424524,8.00587071,90.0,90.0,120.0000090676107,TaO2[+1],Passivation,TaO2[+1],Passivation
TaN,mp-570604,0.0,-1.116215339708336,0.24249080833333203,4,43.74099370942382,14.80211896662278,P6_3/mmc,194,hexagonal,2.9217699618816666,2.9217699618816666,5.916515,90.0,90.0,119.99999913686268,TaO2[+1],Passivation,TaO2[+1],Passivation
TaPd3,mp-582360,0.0,-0.40483256883333,0.06884949800000201,40,629.0373703010582,13.204537049422536,P6_3/mmc,194,hexagonal,5.569879501142641,5.569879501142641,23.412845,90.0,90.0,119.9999940745329,TaO2[+1],Passivation,TaO2[+1],Passivation
Pa3Ta,mp-973815,0.0,0.19423288500000502,0.19423288500000502,8,188.9671907491257,15.361432125688651,P6_3/mmc,194,hexagonal,6.259929648469622,6.259929648469622,5.568226,90.0,90.0,119.99999628477248,TaO2[+1],Passivation,TaO2[+1],Passivation
TaO3,mp-979919,0.0,-1.8058272893333331,1.122415450624998,8,70.51005408617803,10.783537607850274,P6_3/mmc,194,hexagonal,4.675645813715256,4.675645813715256,3.724236,90.0,90.0,119.99999736410753,TaO2[+1],Passivation,TaO2[+1],Passivation
TaF5,mp-1393434,0.0,-1.645049840805552,1.7594168175,12,207.70382561009478,4.412138068577315,P-1,2,triclinic,5.552873,5.562844036398827,7.908072257173047,109.75574907480072,96.77085744424346,110.36825696223548,TaO2[+1],Passivation,TaO2[+1],Passivation
TaF5,mp-1830474,5.0262,-3.3275412733055543,0.076925384999999,12,207.70383917474933,4.412137780430841,P1,1,triclinic,5.552873364376861,5.5628440184479375,7.919664288546706,96.94147654289495,109.81281474092374,110.36825914345391,TaO2[+1],Passivation,TaO2[+1],Passivation
TaSe2,mp-542621,0.0,-0.312214725486114,0.6198392313333301,15,580.8861828790899,4.843490598854941,P-1,2,triclinic,7.802667,8.229531310870929,9.76143884078003,96.08947047431134,97.77653249903187,108.66293209042637,TaO2[+1],Passivation,TaO2[+1],Passivation
