formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ti,mp-72,0.0,0.0,0.0,3,51.05915967771039,4.670172247408194,P6/mmm,191,hexagonal,4.56737542,4.56737424113343,2.82624427,90.0,90.0,119.99999363769648,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-46,0.0,0.015169603333333,0.015169603333333,2,34.63870098804746,4.589376693333247,P6_3/mmc,194,hexagonal,2.93573124,2.93573260613475,4.64085615,90.0,90.0,119.99998460644196,TiO2[+2],Passivation,TiO2[+2],Passivation
TiNi,mp-1048,0.0,-0.39585502666666605,0.0,4,53.41171910495046,6.625800858603042,P2_1/m,11,monoclinic,2.8916866352848056,3.96696035,4.825626802439518,90.0,105.22958985853171,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiNi,mp-1179013,0.0,-0.38580461666666604,0.010050409999999,4,54.29443885123011,6.518078495566351,P2_1/m,11,monoclinic,2.799886,4.1710901344725215,4.670979235349372,89.89054515852975,95.5513337016559,89.98201904677298,TiO2[+2],Passivation,TiO2[+2],Passivation
TiPd,mp-979261,0.0,-0.542537950833331,0.011486497500001,4,61.902064874951,8.277578186965673,P2_1/m,11,monoclinic,2.780784981541122,4.891135113275841,4.55758651,90.0,90.0,93.02821344703851,TiO2[+2],Passivation,TiO2[+2],Passivation
TiS3,mp-9920,0.22610000000000002,-1.341742255208332,0.0,8,153.2064428549375,3.12285272805444,P2_1/m,11,monoclinic,3.41651673,5.033155907201254,8.973195080437202,83.16889570160917,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiS2,mp-1062030,0.05109999999999901,-1.603972986111109,0.0035409266666670005,3,113.84572971295538,1.633573734481817,C2/m,12,monoclinic,3.42699283460342,3.42699283460342,11.245869867820709,85.20463148033407,85.20463148033407,59.99989276618813,TiO2[+2],Passivation,TiO2[+2],Passivation
TiS2,mp-1077263,0.0,-1.603056449444443,0.004457463333333,6,176.77004377832424,2.104150566090482,C2/m,12,monoclinic,3.424506548234988,3.424506548234988,17.547045458251596,83.70329422558738,83.70329422558738,59.99747558203147,TiO2[+2],Passivation,TiO2[+2],Passivation
TiCl3,mp-2036706,0.009199999999999,-1.804791176041666,0.0023905724999810003,8,193.69830371764056,2.644300886173719,C2/m,12,monoclinic,6.032435246748392,6.032437295638152,6.169920696969169,89.91747309436512,89.91746494306985,120.37827142253362,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-554278,2.6774,-3.501638054444445,0.006417397499999001,12,146.70632301220797,3.615939061446627,C2/m,12,monoclinic,3.766937,6.435368208444952,6.616212151677801,106.18218564763544,90.0,107.01814086302699,TiO2[+2],Passivation,TiO2[+2],Passivation
TiCl3,mp-571377,0.0,-1.781855178124982,0.025326570416666003,24,625.0482078608965,2.4583540424367962,C2/m,12,monoclinic,6.098091514598481,6.098091514598481,19.337942287675233,89.87389936219942,89.87389936219942,119.634234039957,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-766454,2.231,-3.4621163130555552,0.045939138888888,9,98.98024446129928,4.019598507976489,P1,1,triclinic,4.70760675948194,7.241214508943202,2.9682645462907264,78.17760967866842,90.00253256037679,91.91848805241354,TiO2[+2],Passivation,TiO2[+2],Passivation
TiPd,mp-1056985,0.0,-0.527454493333333,0.026569954999999004,2,30.626853435023577,8.365194665265063,P4/mmm,123,tetragonal,2.81470904,2.81470904,3.86576424,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiIn,mp-1216825,0.0,-0.13931268999999902,0.0,4,75.91053471373162,7.1174521183014114,P4/mmm,123,tetragonal,4.21802745,4.26661295,4.21802745,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiAl,mp-1953,0.0,-0.44695741333333305,0.0,2,32.12605775377784,3.8687884886405763,P4/mmm,123,tetragonal,2.81075181,2.81075181,4.06642192,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiIr,mp-1235,0.0,-0.8576200016666671,0.0,4,59.67074988004432,13.36228762222816,P4/mmm,123,tetragonal,3.48078158,4.14040059,4.14040059,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiRh,mp-2583,0.0,-0.7413721266666661,0.0,4,58.99056628265778,8.488259808163635,P4/mmm,123,tetragonal,3.41097137,4.1586488,4.1586488,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiGa,mp-2767,0.0,-0.47163571541666605,0.0,4,61.802587864795,6.318919501192045,P4/mmm,123,tetragonal,3.95408567,3.95408567,3.95288802,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiAg,mp-1017985,0.0,-0.054529908333332,0.0,4,68.57596960312469,7.5421283910794585,P4/nmm,129,tetragonal,2.90381219,2.90381219,8.13270293,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiCu,mp-2078,0.0,-0.138510230833333,0.0,4,56.4596007878481,6.553558170638885,P4/nmm,129,tetragonal,3.0975765,3.0975765,5.8842853,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiCd,mp-30500,0.0,-0.072274210833331,0.0,4,75.18844526052057,7.079488865459008,P4/nmm,129,tetragonal,2.88810108,2.88810108,9.01418209,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiAu,mp-998972,0.0,-0.47590774083333104,0.0,4,67.36054947246946,12.071032950993597,P4/nmm,129,tetragonal,3.32226218,3.32226218,6.10292196,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiH,mp-690760,0.0,-0.408514614791668,0.001701619166665,8,79.37339717384485,4.089972214240791,P4_2/mmc,131,tetragonal,4.16838437,4.16838437,4.56814048,90.0,90.0,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-2657,1.780999999999999,-3.464416747777778,0.043638704166665,12,125.22506013556851,4.236221754389662,P4_2/mnm,136,tetragonal,5.4695020599650075,5.4695053529548066,5.469505255712971,114.49126057973577,107.01845594765265,107.0237247687151,TiO2[+2],Passivation,TiO2[+2],Passivation
TiPd2,mp-1018121,0.0,-0.6480812155555521,0.0012809466666680001,3,47.060678196311095,9.199063316304281,I4/mmm,139,tetragonal,4.961726844869334,4.961726844869334,4.961726844869334,141.46176052405121,141.46176052405121,55.640402640958214,TiO2[+2],Passivation,TiO2[+2],Passivation
TiAu2,mp-1018123,0.0,-0.48334265888888606,0.0,3,50.678757098244496,14.476013832700799,I4/mmm,139,tetragonal,3.43727479,3.43727479,4.930159431317691,110.4015337603393,110.4015337603393,90.0,TiO2[+2],Passivation,TiO2[+2],Passivation
TiBe12,mp-1104067,0.0,-0.147714827948718,0.0,13,111.68726357094982,2.319566069161335,I4/mmm,139,tetragonal,4.16367717,5.581957299489326,5.581957299489326,82.00432978315902,68.10178958108952,68.10178958108952,TiO2[+2],Passivation,TiO2[+2],Passivation
