formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
V,mp-146,0.0,0.0,0.0,1,13.263780153478194,6.37754470312308,Im-3m,229,cubic,2.5828336109207948,2.5828334497508623,2.58283362,109.4712299695939,109.47122870554041,109.47121382749214,VO4[-1],Passivation,VO4[-1],Passivation
VAs2,mp-1072660,0.003699999999999,-0.43055355500000003,0.0,6,96.19612354808386,6.931897586474049,C2/m,12,monoclinic,3.28647332,4.809480512344545,6.727188880371832,78.84161563891928,75.8614148526954,70.02156997166921,VO4[-1],Passivation,VO4[-1],Passivation
VTe2,mp-11687,0.0,-0.607788566666661,0.0,9,243.0937071265161,6.273629128453153,C2/m,12,monoclinic,7.5469052719770415,7.5469052719770415,9.268829899275074,71.2175912486086,71.2175912486086,29.229214332925153,VO4[-1],Passivation,VO4[-1],Passivation
VS2,mp-1178763,0.0,-1.181916868333332,0.019069370000000002,6,206.1179075567445,1.854091412699375,P-1,2,triclinic,3.2632346034453747,22.36951578818283,3.2631692036831654,87.71131676097653,60.00436369245306,88.25488642160919,VO4[-1],Passivation,VO4[-1],Passivation
VIr,mp-1178810,0.0,-0.5927182118750021,0.015865685625001,32,445.8882965472265,14.488801495890893,C2/m,12,monoclinic,8.659665229431736,8.659665229431736,6.642022547429736,71.37945859913293,71.37945859913293,80.01859669268092,VO4[-1],Passivation,VO4[-1],Passivation
VO,mp-1287184,1.9785,-2.085321828749999,0.026801248958333003,8,79.47332576473944,5.594731491792294,C2/m,12,monoclinic,3.127847570179209,5.030745410494098,5.319868958988521,96.34820704229891,72.90299510160578,89.9901149312024,VO4[-1],Passivation,VO4[-1],Passivation
VTe2,mp-1523643,0.0,-0.600824632222217,0.006963934444443,3,82.04066481340917,6.196438337179768,C2/m,12,monoclinic,3.6622969067387414,3.832693572708558,6.858648454186695,89.99958112760034,90.58099456267118,121.54347000900255,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-541404,0.7584000000000001,-2.522468176666668,0.0,12,135.43671915122044,4.067600255193656,C2/m,12,monoclinic,3.6879974284333317,6.404978475172237,6.265006501957325,106.0025924020586,107.09884693326345,89.99889484758272,VO4[-1],Passivation,VO4[-1],Passivation
VP2,mp-9923,0.0,-0.63263322531746,0.0,6,81.78032093666212,4.584394690442164,C2/m,12,monoclinic,3.1149048807847697,4.484472744551769,6.473464221103663,79.26200983942113,76.07862142971946,69.67781917123065,VO4[-1],Passivation,VO4[-1],Passivation
VIr,mp-1281,0.0,-0.5805010675000021,0.028082830000002,4,54.825325174740684,14.729477201965938,P4/mmm,123,tetragonal,3.63272957,3.88484838,3.88484838,90.0,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VRh,mp-1251,0.0,-0.40606390499999906,0.025592672500000004,4,53.80160963401837,9.496702998925853,P4/mmm,123,tetragonal,3.62415463,3.852958,3.852958,90.0,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VPt,mp-2678,0.0,-0.550341079999999,0.0,4,56.17820898197582,14.544249862464369,P4/mmm,123,tetragonal,3.79896637,3.79896637,3.892575019999999,90.0,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VCl4,mp-570763,0.0,-1.2778867724999992,0.020173165999999,20,895.1604709182583,1.430245091554311,P2/c,13,monoclinic,6.39969789,12.715582459467083,13.11748451625747,56.99252552655169,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-19094,0.0,-2.480275698333334,0.042192478333317004,6,61.847604325073625,4.453708752294829,P4_2/mnm,136,tetragonal,3.04445,4.5072020454383885,4.5072020454383885,89.98372857544796,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF2,mp-555934,0.0,-3.0166454050000002,0.0,6,74.3993170100947,3.970077635911695,P4_2/mnm,136,tetragonal,3.259353759999999,4.7776983300066975,4.7776983300066975,89.99980812257097,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VPt8,mp-1079997,0.0,-0.260165278888888,0.0,9,135.052394215597,19.8156218744095,I4/mmm,139,tetragonal,3.8898934970539027,6.202060516648442,6.2020598315606845,84.3898026764958,71.81425027178737,71.81425235090177,VO4[-1],Passivation,VO4[-1],Passivation
VNi3,mp-171,0.0,-0.21591902750000003,0.0,4,43.40330284322307,8.685477305209414,I4/mmm,139,tetragonal,3.4895860862480546,3.4895849343237693,4.335079154192414,113.73356403583851,113.73344804153928,89.9999858283374,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-20593,0.0,-2.505638494583335,0.016829682083317,48,536.1303385523792,4.110212713345812,I4/mmm,139,tetragonal,7.55010249,8.426389590001989,8.427058370001953,90.00007839588125,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
Al3V,mp-2554,0.0,-0.34389383499999904,0.0,4,57.65859759155777,3.798254844479554,I4/mmm,139,tetragonal,3.741422798718448,3.7414223781260314,4.895425322052292,112.46596660655435,112.46598324318977,89.99998938331348,VO4[-1],Passivation,VO4[-1],Passivation
VPt3,mp-2705,0.0,-0.44345156750000203,0.011099447500001,4,59.10036440073209,17.87508708920754,I4/mmm,139,tetragonal,3.86952673338074,3.869526725340404,4.802702725321611,113.75639170786562,113.75639994717635,90.00000224194383,VO4[-1],Passivation,VO4[-1],Passivation
Be12V,mp-571438,0.0,-0.10248673076923001,0.0,13,108.05442886711029,2.444798580369198,I4/mmm,139,tetragonal,4.145260194013447,5.510277010761453,5.510344660029023,81.87163869955616,67.90332014063786,67.90346946620166,VO4[-1],Passivation,VO4[-1],Passivation
VPd3,mp-873,0.0,-0.257477312499997,0.0088767475,4,58.100873491692255,10.58046146848067,I4/mmm,139,tetragonal,3.8589191920647394,3.858918196305057,4.761167576508745,113.90674470619484,113.90673966722538,90.00000985680526,VO4[-1],Passivation,VO4[-1],Passivation
VF4,mp-1101190,2.7491,-2.9922808770000002,0.045181423999999006,20,289.0460439461784,2.916915393132672,P2_1/c,14,monoclinic,6.176085,4.934713,10.392179276102679,65.86856701289439,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1102963,0.0,-2.479511370000001,0.042956806666651005,12,123.37720957665863,4.465187981414028,P2_1/c,14,monoclinic,4.504956,5.433808,5.436484903901233,67.985655383733,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-1160849,3.425899999999999,-2.834940268333333,0.006085494583333,24,313.27805711427845,3.094098667682488,P2_1/c,14,monoclinic,8.0889316,6.30061902428023,8.833408455495405,44.096479093795836,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VCl4,mp-1205372,0.0,-1.2980599385,0.0,20,612.1020192689999,2.091642944117838,P-1,2,triclinic,6.508953668167583,9.77638933464168,9.842668981892315,77.77386528564739,90.42489655879466,90.30871686662255,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-2041039,3.425899999999999,-2.834940268333333,0.006085494583333,24,313.27805711427845,3.094098663359609,P2_1/c,14,monoclinic,8.0889316,6.30061902428023,8.833408455495405,44.096479093795836,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF4,mp-554799,2.2417,-3.037462301,0.0,10,125.01803040902442,3.372005030603369,P2_1/c,14,monoclinic,5.05996273,5.32833274574941,5.285611292166919,61.31610391761369,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-753265,3.290499999999999,-2.8094643662500003,0.031561396666666006,24,412.78374034094315,2.348234982150297,P2_1/c,14,monoclinic,9.710533,5.236751,8.900606228445566,65.78414439338343,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-753449,3.1985,-2.827865787916666,0.013159975,24,355.98116979342774,2.7229339678105173,P2_1/c,14,monoclinic,4.923581939342725,9.09052903,7.967525956704606,90.0,86.5962657906747,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-760320,2.9955,-2.82816124,0.012864522916665,48,729.8892338796418,2.656055670198546,P2_1/c,14,monoclinic,7.499606,6.567773,14.897301221826186,84.09927070910999,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-765600,3.1532,-2.8270491325,0.013976630416666,24,365.3522986348364,2.653091886251577,P2_1/c,14,monoclinic,8.719723,6.339077,8.772703331733155,48.889399466635126,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-760250,3.0136,-2.834136573333333,0.006889189583333,48,698.2585191994691,2.776373484831187,P2_1/c,14,monoclinic,8.983563991488626,7.61717796,10.210930602758012,90.0,92.1002751100225,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-760312,3.0203,-2.8355545543750003,0.005471208541666,48,755.559286428334,2.565816439669657,P2_1/c,14,monoclinic,18.177937,5.342822,9.430075907350057,55.58543140434041,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
VF5,mp-765624,3.3213,-2.807246419166667,0.033779343749999004,24,413.1422810028887,2.346197094082147,P2_1/c,14,monoclinic,6.591358,7.213599,8.70076561752568,87.02749005490107,90.0,90.0,VO4[-1],Passivation,VO4[-1],Passivation
