formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
W,mp-91,0.0,0.0,0.0,1,15.932263521447117,19.160711319694276,Im-3m,229,cubic,2.745573721758673,2.745573806977822,2.74557459,109.47124142241367,109.47124187044403,109.47119866543231,WO3(s),Passivation,WO4[-2],Passivation
WF4,mp-1402840,1.165,-2.625930304,0.0,10,164.86263710610055,5.234222531482871,P1,1,triclinic,5.201433,5.642523047467773,6.334196834780002,106.39978907089196,111.32367360567812,90.43289138468822,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-826026,1.3702,-2.183644125625,0.007216480937499,16,231.97384187129916,6.638272403899952,P2_1/m,11,monoclinic,3.8802570702802672,7.675933,7.788391975325137,90.0,89.91663760917585,90.0,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-2235359,1.3106,-2.184491169374999,0.006369437187499,16,231.3076291201412,6.657391970936978,P-42_1m,113,tetragonal,3.8825600000000002,7.718553000001619,7.718553000001619,89.99992576875546,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-733506,1.653,-2.181085689749999,0.009774916812501,40,574.10507119129,6.705678238155663,P-42_1m,113,tetragonal,12.06348507,12.06348507,3.9449890400000003,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-559122,1.2542,-2.184233883125,0.006626723437499001,16,223.8109228311719,6.8803860573082884,P-42_1m,113,tetragonal,7.58914586,7.58914586,3.88593452,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
As2W,mp-1077179,0.0,-0.06157262666666401,0.015735597916663003,6,102.28023733705396,10.834820174343976,C2/m,12,monoclinic,4.838929422914598,4.838929422914598,7.720461370646296,62.561360196661376,62.561360196661376,40.5061268521237,WO3(s),Passivation,WO4[-2],Passivation
WBr4,mp-1078239,0.196299999999999,-0.898331740000001,0.010492585333331,10,290.20033814452086,5.761594639478567,C2/m,12,monoclinic,7.20600036930249,7.20600036930249,8.741660982555947,55.14282743247308,55.14282743247308,57.45125354522485,WO3(s),Passivation,WO4[-2],Passivation
P2W,mp-11329,0.0,-0.35821996865079103,0.023283316666667,6,88.21807071647348,9.252974642726363,C2/m,12,monoclinic,3.1905225188877897,4.529752525611578,6.739856880727351,80.60142535993404,76.29555460907488,69.3613371031289,WO3(s),Passivation,WO4[-2],Passivation
WCl5,mp-27160,0.0,-0.9445113462500001,0.0,36,990.3911867437896,3.632679496771701,C2/m,12,monoclinic,12.642877285419871,12.643164050646751,6.231312082086828,85.73136312619616,85.732149130734,90.64601614846457,WO3(s),Passivation,WO4[-2],Passivation
WBr5,mp-29554,0.0,-0.9120005633333331,0.011807493888889001,36,1293.4612257117365,4.493487940585521,C2/m,12,monoclinic,14.159301512091405,14.159301512091405,6.469249992075588,89.80895766657976,89.80895766657976,85.77884486120128,WO3(s),Passivation,WO4[-2],Passivation
WCl4,mp-980949,0.264999999999999,-0.939381027000001,0.0,10,247.15422738576476,4.375873913517119,C2/m,12,monoclinic,6.46697931,6.897801745931542,7.089027964825544,107.33021587842411,117.13739884990709,62.04545372134234,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-19443,1.1503,-2.18494683875,0.005913767812499001,8,111.84849695087402,6.883890239478372,P4/nmm,129,tetragonal,3.94449455,5.32499735,5.32499735,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-18773,1.3319,-2.184858871875,0.006001734687499,16,216.60903676238738,7.109147318771005,P4/ncc,130,tetragonal,5.23658196,5.23658196,7.89915727,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
