formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
W,mp-1191581,0.0,1.181116915599996,1.1811169156,25,452.1510274837573,16.878956556983074,P2/m,10,monoclinic,2.633442999999999,9.398905269124963,20.175375149085134,115.11710070197223,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
W,mp-1178801,0.0,1.198139206500002,1.198139206500002,20,350.4707835877894,17.420767510412237,P2/m,10,monoclinic,9.23927561044995,2.59986725,14.81329354569168,90.0,99.95527827208983,90.0,WO3(s),Passivation,WO4[-2],Passivation
W,mp-1216274,0.0,0.804129780000003,0.804129780000003,4,68.84760055324989,17.736188308705483,I4_1/amd,141,tetragonal,2.669140999999999,2.669140999999999,9.846332154020805,82.21016430317631,82.21016430317631,90.0,WO3(s),Passivation,WO4[-2],Passivation
W,mp-2646990,0.0,0.496044660000002,0.496044660000002,2,33.22780335131674,18.374582200098803,P6_3/mmc,194,hexagonal,2.782929,2.7829285673306456,4.954123,90.0,90.0,119.99999325633212,WO3(s),Passivation,WO4[-2],Passivation
W,mp-11334,0.0,0.126865590000001,0.126865590000001,8,129.7286839630197,18.82535104361437,Pm-3n,223,cubic,5.06227038,5.06227038,5.06227038,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
W,mp-8641,0.0,0.47142784000000404,0.47142784000000404,1,15.903934900377433,19.19484101991006,Fm-3m,225,cubic,2.82275556623129,2.822755247963796,2.82275486,59.999993129615255,59.99999699469613,59.99998775979054,WO3(s),Passivation,WO4[-2],Passivation
W,mp-1065340,0.0,0.4913923625,0.4913923625,4,67.28638234722543,18.14771377830403,Pbcm,57,orthorhombic,2.809662,4.86387,4.923695,90.0,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1244880,0.735399999999999,-1.506657903921568,0.530008621078431,102,1623.4916253773367,7.505981325750231,P1,1,triclinic,11.504454066320307,11.718658376041805,12.062949036043731,90.24822716554195,87.13234626020552,91.74499060839321,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-1244906,1.903299999999999,-1.796305214349999,0.394555392212501,100,1656.3100836688013,5.810753554332714,P1,1,triclinic,11.999318236950058,12.093487618818418,11.669632407751116,93.6058833066609,88.52293070886566,78.74433899681539,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-1244929,1.7942,-1.959099779649999,0.23176082691250002,100,1709.0216807676395,5.631531661688818,P1,1,triclinic,12.57741389340103,12.053138686741962,11.514228181992054,86.14895044730514,80.94909323142716,83.03795726975748,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1245020,0.9297000000000001,-1.527800675980391,0.5088658490196081,102,1546.4921599602742,7.879702295359329,P1,1,triclinic,11.362494792571196,12.205789260275058,11.193796848638938,92.1783499662506,94.39775197454938,88.77382612436561,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1245077,0.7629,-1.5221633307843132,0.514503194215686,102,1687.886432559405,7.219619512028572,P1,1,triclinic,11.839575434769294,12.455993236877482,11.546159053202668,88.94468304828294,92.2881244558127,82.90116681844083,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1245102,0.8365,-1.546433089607842,0.490233435392157,102,1550.7295779053295,7.858170757956688,P1,1,triclinic,11.746844271051172,11.470103186468489,11.65482743530921,83.5207219088407,91.02258692338867,96.34566673501635,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-1245182,2.0754,-1.947100805249999,0.24375980131249902,100,1740.6164533786941,5.529311001900361,P1,1,triclinic,12.090752753760771,11.530196311836228,12.577013085747405,83.67375995996048,91.09693366356217,87.58129873765286,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1245227,0.5707,-1.555619450196077,0.48104707480392106,102,1658.6917114601013,7.346692419332863,P1,1,triclinic,11.639249506487708,11.744231329924528,12.251760584972763,86.47720676331765,97.1161235238074,90.63723270852195,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-1245267,1.9695,-1.946403018449999,0.244457588112499,100,1792.1494459279706,5.370316480929472,P1,1,triclinic,12.452463006011639,12.398824504652337,11.70623733130157,94.5313505275939,90.24832246124075,95.872553130546,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1245271,0.8047000000000001,-1.5159734133333331,0.520693111666666,102,1564.8391989118372,7.78731631407754,P1,1,triclinic,11.811984947705813,11.372650654290068,11.681760583919111,93.25581561970844,88.12605637946707,92.19302025658872,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-1245268,0.341599999999999,-1.94441919925,0.24644140731249903,100,1810.6214719426127,5.315528317152668,P1,1,triclinic,12.079109960034936,12.653927874725396,11.901826439493806,91.52606988893135,88.33808778971353,84.96808334510969,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1350563,1.3423,-1.905092613124999,0.131573911874999,48,623.8162207367774,9.192675600894233,P1,1,triclinic,5.703103,5.728437327944333,20.317796819825546,89.55588559692377,89.44336104272533,70.026181340516,WO3(s),Passivation,WO4[-2],Passivation
WO2,mp-1380432,1.677999999999999,-1.723603812499999,0.3130627125,36,569.731731402852,7.549000480044595,P1,1,triclinic,6.483103,6.51862399901766,15.493027816225498,90.68623410826856,90.18964226831427,119.51073522793322,WO3(s),Passivation,WO4[-2],Passivation
WO3,mp-675211,2.4793,-2.060571449464285,0.130289157098214,28,555.2722677519198,4.8531772143454965,P1,1,triclinic,7.301098,7.449006053121517,10.243191453411676,90.13587686183915,93.00423330294079,93.50203487308954,WO3(s),Passivation,WO4[-2],Passivation
H3W,mp-1078686,0.0,0.134130594062499,0.134130594062499,8,51.420592225243645,12.068887572702012,P2_1/m,11,monoclinic,3.130389,3.257654999999999,5.216308794326981,75.16172126749055,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
H3W,mp-1079923,0.0,0.0780638690625,0.0780638690625,8,69.02458631624727,8.990844851208388,P2_1/m,11,monoclinic,3.053199,3.066496,7.509332873784461,79.03968702626058,90.0,90.0,WO3(s),Passivation,WO4[-2],Passivation
WN2,mp-1101178,0.48410000000000003,-0.34029517937500403,0.12412558333333101,12,158.29669617418443,8.889404658324326,C2/m,12,monoclinic,6.619041105082367,6.619041105082367,6.881753374671312,74.08791946514509,74.08791946514509,33.22529143946318,WO3(s),Passivation,WO4[-2],Passivation
