formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Y,mp-9,0.0,0.097818,0.097818,1,33.240491920843745,4.441319265847142,Fm-3m,225,cubic,3.6090609954552417,3.609060933811707,3.6090604300000004,59.99998481997845,59.999985366829016,59.999983982507366,Y[+3],Passivation,Y[+3],Passivation
YO2,mp-1206610,0.0,-3.112538538333332,0.18235473062500002,6,89.18241628377099,4.502387421748615,P2_1/m,11,monoclinic,3.61061841,4.1878044722198995,6.181614765572509,72.57961295713721,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YMg,mp-1094452,0.0,0.011612107500000001,0.085989590000001,4,112.87251949317555,3.331032921602477,C2/m,12,monoclinic,6.456728481153982,6.456728481153982,5.758569715229035,66.5599488371801,66.5599488371801,31.078877811082506,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-1094408,0.0,0.04625581333333301,0.10937953666666601,6,159.81122617154017,2.85775219516301,C2/m,12,monoclinic,6.614634428878515,6.614634428878515,7.822972459427938,75.18451391516342,75.18451391516342,28.952615973524768,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-1094454,0.0,-0.012485221666666001,0.050638501666666,6,156.93165842284625,2.910189613703363,C2/m,12,monoclinic,6.751629463582255,6.751629463582255,7.348445704540314,75.2586401111448,75.2586401111448,29.049316747593377,Y[+3],Passivation,Y[+3],Passivation
YMg5,mp-981252,0.0,0.014211334166667,0.052542563333332,6,146.5476357926055,2.384403169337762,C2/m,12,monoclinic,6.230048291920682,6.230048291920682,7.033462217098233,72.95089256088498,72.95089256088498,34.3349675789095,Y[+3],Passivation,Y[+3],Passivation
YTe2,mp-1077365,0.0,-1.4270797844444432,0.050740763055555006,6,176.34335363422247,6.480552798783898,P4/nmm,129,tetragonal,4.4473186,4.4473186,8.91584706,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YBr2,mp-865534,0.0,-1.890311351666666,0.158908924999999,6,196.30654995632221,4.207695203459933,P4_2/mnm,136,tetragonal,7.295379,7.295379,3.688409,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YPd2,mp-1062893,0.0,-0.624840596416665,0.28905384233333103,3,66.21444604000666,7.567242529019777,I4/mmm,139,tetragonal,5.09574245576128,5.09574245576128,5.09574245576128,134.52344415482858,134.52344415482858,66.27156829178156,Y[+3],Passivation,Y[+3],Passivation
YSn3,mp-1094248,0.0,-0.381274653749999,0.065644807499999,4,104.78577251838774,7.052478568432163,I4/mmm,139,tetragonal,6.180785748191635,6.180785748191635,6.180785748191635,137.9438459018673,137.9438459018673,60.98901204100998,Y[+3],Passivation,Y[+3],Passivation
Ac3Y,mp-1183083,0.0,0.058625999375003006,0.058625999375003006,4,169.73577623650237,7.532052286652469,I4/mmm,139,tetragonal,6.730771715649965,6.730771715649965,6.730771715649965,131.0331031450719,131.0331031450719,71.76049037906397,Y[+3],Passivation,Y[+3],Passivation
Ba3Y,mp-1183333,0.0,0.24040096500000002,0.24040096500000002,4,207.39469403681844,4.010431347985963,I4/mmm,139,tetragonal,7.258490814514543,7.258490814514543,7.258490814514543,131.9361928118194,131.9361928118194,70.32982208665219,Y[+3],Passivation,Y[+3],Passivation
Ca3Y,mp-1183515,0.0,0.132542650833332,0.132542650833332,4,158.59297961808977,2.189787291620134,I4/mmm,139,tetragonal,6.659656764957335,6.659656764957335,6.659656764957335,132.27257924238762,132.27257924238762,69.79885682521515,Y[+3],Passivation,Y[+3],Passivation
Rb3Y,mp-1186883,0.0,0.6307890618750001,0.6307890618750001,4,265.2004385547499,2.16213631775337,I4/mmm,139,tetragonal,8.035781315979548,8.035781315979548,8.035781315979548,133.87130940129404,133.87130940129404,67.28908027446147,Y[+3],Passivation,Y[+3],Passivation
YBi3,mp-1187819,0.0,-0.45315349874999805,0.096339302499998,4,121.22055675460886,9.806026502927844,I4/mmm,139,tetragonal,6.4407006793373816,6.4407006793373816,6.4407006793373816,137.34760382223172,137.34760382223172,61.903657334148065,Y[+3],Passivation,Y[+3],Passivation
YAg3,mp-1187816,0.0,-0.214797421249997,0.051394936413043005,4,80.57592580859826,8.501170923346072,I4/mmm,139,tetragonal,5.184339084524776,5.184339084524776,5.184339084524776,129.6449061755101,129.6449061755101,73.97508199173858,Y[+3],Passivation,Y[+3],Passivation
YU3,mp-1187882,0.0,0.5754322083333251,0.5754322083333251,4,92.48682385076515,14.417194728532072,I4/mmm,139,tetragonal,5.695267761236428,5.695267761236428,5.695267761236428,134.508890053764,134.508890053764,66.2942386517176,Y[+3],Passivation,Y[+3],Passivation
YHo3,mp-1187849,0.0,0.060743686250003,0.06254683000000201,4,126.1982171062776,7.680388663799777,I4/mmm,139,tetragonal,6.145595617762399,6.145595617762399,6.145595617762399,131.84975909908547,131.84975909908547,70.46641979987967,Y[+3],Passivation,Y[+3],Passivation
YNp3,mp-1187893,0.0,0.7013621117708341,0.7013621117708341,4,97.34446295880278,13.645099815168937,I4/mmm,139,tetragonal,5.634363687971162,5.634363687971162,5.634363687971162,131.81711759455482,131.81711759455482,70.51802356846996,Y[+3],Passivation,Y[+3],Passivation
YSi3,mp-1189560,0.0,-0.34030881749999803,0.10880533625000001,16,283.9210364143151,4.05102560445239,I4/mmm,139,tetragonal,7.456925176376923,7.456925176376923,7.456925176376923,121.97225609792353,121.97225609792353,86.61660229508855,Y[+3],Passivation,Y[+3],Passivation
YMn12,mp-22508,0.0,0.071023091246685,0.071023091246685,13,176.60719409872783,7.034554187307448,I4/mmm,139,tetragonal,4.9165885955333595,6.47827956042876,6.478260731375828,81.71738479897726,67.6909114218683,67.69173513528246,Y[+3],Passivation,Y[+3],Passivation
YS,mp-22562,0.0,-2.035623006406251,0.206838924999999,4,155.56849297159587,2.582487218430344,I4/mmm,139,tetragonal,11.010872447250401,11.010872447250401,11.010872447250401,160.0345018556514,160.0345018556514,28.3821375527462,Y[+3],Passivation,Y[+3],Passivation
YC2,mp-313,0.0,-0.172125136666667,0.068715899374998,3,41.74409624369693,4.492134868940157,I4/mmm,139,tetragonal,3.6736954282296126,3.6736966547802274,4.039189298181562,117.04926360768515,117.04926435583542,90.00001326564134,Y[+3],Passivation,Y[+3],Passivation
K3Y,mp-973271,0.0,0.572416271083334,0.572416271083334,4,225.78268111430728,1.5165219902932692,I4/mmm,139,tetragonal,7.695752946151533,7.695752946151533,7.695752946151533,134.8301891458118,134.8301891458118,65.79416199047684,Y[+3],Passivation,Y[+3],Passivation
Dy3Y,mp-979924,0.0,0.054887533750001,0.05494895458333401,4,127.69654408715732,7.495460734540281,I4/mmm,139,tetragonal,6.170008569146641,6.170008569146641,6.170008569146641,131.8528560051331,131.8528560051331,70.46152433535377,Y[+3],Passivation,Y[+3],Passivation
YO2,mp-1102883,0.0,-2.977535210833333,0.317358058125,12,220.39665095517879,3.643737666402723,P2_1/c,14,monoclinic,6.574704069092996,6.167901,6.587198009466924,90.0,124.40443572765646,90.0,Y[+3],Passivation,Y[+3],Passivation
YGe2,mp-10213,0.0,-0.580612243888888,0.10856022666666801,6,132.88711642220346,5.852708121597142,I4_1/amd,141,tetragonal,8.792287226968192,8.792287226968192,8.792287226968192,153.73666690716854,153.73666690716854,37.48246715565864,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-1094404,0.0,0.031622371666667,0.094746095,6,158.99355607602467,2.872449007839249,C2/c,15,monoclinic,5.735648774718515,5.735648774718515,6.529880290328835,63.94657157303084,63.94657157303084,59.01685894773013,Y[+3],Passivation,Y[+3],Passivation
YO2,mp-1178684,0.33430000000000004,-3.013687436666666,0.281205832291666,6,104.3070859884137,3.849535106002301,C2/c,15,monoclinic,4.284758782765956,4.284758782765956,6.110166797852412,78.2452431479609,78.2452431479609,101.01832459762848,Y[+3],Passivation,Y[+3],Passivation
YO2,mp-1977753,0.0,-2.9775101250000002,0.317383143958332,6,110.19832494704283,3.64373768394539,C2/c,15,monoclinic,4.350839043376921,4.350839043376921,6.574704069092996,109.13755117598237,109.13755117598237,90.27753842284419,Y[+3],Passivation,Y[+3],Passivation
YMg5,mp-1094405,0.0,0.0482010525,0.086532281666665,6,150.06513829721803,2.328513145743207,R32,155,trigonal,6.386038207313279,6.386038207313279,6.386038465365284,52.12385534164136,52.12385534164136,52.12385535770941,Y[+3],Passivation,Y[+3],Passivation
LaY,mp-1222752,0.0,0.05972953083332701,0.059729530833330005,6,211.14499755492886,5.374831528868726,R3m,160,trigonal,18.174003734968366,18.174003734968366,18.17400420099682,11.60659670699896,11.60659670699896,11.6065942436681,Y[+3],Passivation,Y[+3],Passivation
YI,mp-1065933,0.0,-1.0302101575,0.11043370333333201,4,150.1608042452391,4.773036068056478,P-3m1,164,trigonal,3.9559731506796147,3.9559731506796147,11.079476,90.0,90.0,119.99998579601423,Y[+3],Passivation,Y[+3],Passivation
YMg,mp-1094870,0.0,0.080683055,0.155060537500001,4,113.675900719139,3.307491526325624,P-3m1,164,trigonal,3.4170499081999077,3.4170499081999077,11.241781,90.0,90.0,119.99999822260568,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-1094401,0.0,0.07041433333333301,0.13353805666666602,6,160.2393264102624,2.850117337825767,P-3m1,164,trigonal,3.3382277820867765,3.3382277820867765,16.603763,90.0,90.0,119.99999568123454,Y[+3],Passivation,Y[+3],Passivation
YMg,mp-1094363,0.0,0.0713737425,0.145751225000001,2,57.68938304523576,3.258676540891135,R-3m,166,trigonal,5.892704926566746,5.892704926566746,5.892705452245598,34.21495193890479,34.21495193890479,34.21495702134769,Y[+3],Passivation,Y[+3],Passivation
YTh,mp-1215899,0.0,0.057549765000004006,0.057549765000004006,2,64.49989874526122,8.262647091077941,R-3m,166,trigonal,6.123998479948708,6.123998479948708,6.123998939800133,34.14129102598464,34.14129102598464,34.14129560886551,Y[+3],Passivation,Y[+3],Passivation
