formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Zn,mp-1245184,0.0,0.0488518927,0.0488518927,100,1602.1487816925169,6.7792829884687045,P1,1,triclinic,11.811474203618856,11.791868849423919,11.579297693128431,91.1539740075717,86.78175707119864,95.67508127450428,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-1187812,0.0,0.007402094999998001,0.007402094999999001,3,43.333342568079175,7.519442999574767,C2/m,12,monoclinic,2.6185366508262855,2.6185366508262855,7.471915505470642,79.36667029241275,100.63332970758725,120.03947721905547,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-79,0.0,0.0,0.0,2,28.845108913918352,7.5308573201351905,P6_3/mmc,194,hexagonal,2.61436012,2.614359482682322,4.87316102,90.0,90.0,119.99998275785532,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-2646972,0.0,0.005205379999999001,0.005205379999999001,1,15.169425355152562,7.160073454618153,Fm-3m,225,cubic,2.7786128662251603,2.7786128662251603,2.7786128662251603,60.00000000000001,60.00000000000001,60.00000000000001,Zn[+2],Passivation,Zn[+2],Passivation
ZnAg,mp-1215724,0.0,-0.024742943508774002,0.010839887046781,18,294.7049043720914,8.78710194890394,P1,1,triclinic,2.899787,7.659969014317486,13.26955927610337,90.62636105676076,90.31220267020299,90.6682691525152,Zn[+2],Passivation,Zn[+2],Passivation
ZnCl2,mp-22909,4.0533,-1.291011926666667,0.0,6,154.69685573005597,2.926450984350554,I-42d,122,tetragonal,5.595122771981207,5.595122926229127,6.330205940328379,116.22762988466268,116.22762913671437,89.99998884386852,Zn[+2],Passivation,Zn[+2],Passivation
ZnPd2,mp-1215509,0.0,-0.424092697499998,0.038104776666668005,6,85.96164712694868,10.74998793496907,P4/mmm,123,tetragonal,2.89005453,2.89005453,10.29183119,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnFe,mp-1215473,0.0,-0.00865922,0.022560960833332002,2,25.00017717926042,8.053823080443978,P4/mmm,123,tetragonal,2.54160215,2.54160215,3.87015134,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnPd,mp-1652,0.0,-0.576280689999999,0.0,4,55.98591203161702,10.192877347918426,P4/mmm,123,tetragonal,3.34912441,4.08859166,4.08859166,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnCu,mp-2034504,0.0,-0.087976599999998,0.002778430000001,2,25.022536330714708,8.557678266633443,P4/mmm,123,tetragonal,2.7383889745917798,2.7383889745917798,3.33688373,90.0,90.0,90.01783793411872,Zn[+2],Passivation,Zn[+2],Passivation
ZnNi,mp-429,0.0,-0.254970534999999,0.0,4,46.27525794900231,8.906568762336324,P4/mmm,123,tetragonal,3.18195338,3.81353308,3.81353308,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnPt,mp-894,0.0,-0.5652836399999991,0.0,4,56.803590526447756,15.229981029964447,P4/mmm,123,tetragonal,3.49456488,4.03172907,4.03172907,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnO,mp-1093993,0.7376,-1.7579994199999982,0.0328996925,8,99.20889048362783,5.450391709469147,P4_2/mnm,136,tetragonal,5.51757007,5.51757007,3.25877877,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnF2,mp-1873,3.4592,-2.561514461666667,0.0,6,69.29227525209552,4.9560901447029195,P4_2/mnm,136,tetragonal,3.1328902100000002,4.70294417,4.70294417,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnCl2,mp-567279,3.8828,-1.289415501666667,0.001596425,6,147.8635663809495,3.061692456144388,P4_2/nmc,137,tetragonal,3.68538251,3.68538251,10.8866945,90.0,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
Ti2Zn,mp-1014229,0.0,-0.156692875555556,0.0,3,48.299496011327044,5.540104326272281,I4/mmm,139,tetragonal,3.02102584,3.0210248,5.707044783480147,105.34762967214792,105.34762977625547,90.0,Zn[+2],Passivation,Zn[+2],Passivation
Zr2Zn,mp-1018105,0.0,-0.201094288333334,0.016274941666665002,3,61.26933104860293,6.717491841126622,I4/mmm,139,tetragonal,3.28730092,3.28730092,6.127747064772862,105.5590158653985,105.5590158653985,90.0,Zn[+2],Passivation,Zn[+2],Passivation
Hf2Zn,mp-1014231,0.0,-0.20263765833333902,0.0,3,58.241136116964206,12.042921594000443,I4/mmm,139,tetragonal,3.2244603119838837,3.2244603119838837,6.046933410167778,105.43418342023665,105.43418342023665,90.08103617037398,Zn[+2],Passivation,Zn[+2],Passivation
Ba2Zn,mp-1018178,0.0,-0.144461570000001,0.0,3,131.22545232473433,4.30318879913481,I4/mmm,139,tetragonal,4.15089847,4.15089847,8.162125519254168,104.73081745392798,104.73081745392798,90.0,Zn[+2],Passivation,Zn[+2],Passivation
Ti3Zn,mp-1187474,0.0,-0.10633001749999901,0.011189639166667001,4,64.62552985418957,5.370466920629294,I4/mmm,139,tetragonal,5.027637821765786,5.027637821765786,5.027637821765786,134.02793948919629,134.02793948919629,67.04437263032878,Zn[+2],Passivation,Zn[+2],Passivation
ZnAg3,mp-1187946,0.0,-0.0091386225,0.008652792777777,4,66.02784409558178,9.783331397335909,I4/mmm,139,tetragonal,4.968798139721595,4.968798139721595,4.968798139721595,132.19186834875848,132.19186834875848,69.92615998762135,Zn[+2],Passivation,Zn[+2],Passivation
ZnPd3,mp-865425,0.0,-0.335484594999997,0.011163510625002001,4,58.397849249447056,10.938038137012441,I4/mmm,139,tetragonal,4.718161492433944,4.718161492433944,4.718161492433944,131.07377800456288,131.0737780045629,71.69588748254998,Zn[+2],Passivation,Zn[+2],Passivation
ZnRh3,mp-971779,0.0,-0.197140483750001,0.015515012499999,4,54.59439891523049,11.379372626226402,I4/mmm,139,tetragonal,4.642865416119006,4.642865416119006,4.642865416119006,131.73730046072552,131.73730046072552,70.64425002563715,Zn[+2],Passivation,Zn[+2],Passivation
ZnNi3,mp-971804,0.0,-0.116058669999999,0.011426597500000002,4,44.16868885632551,9.078880563251134,I4/mmm,139,tetragonal,4.2739038528824835,4.2739038528824835,4.2739038528824835,130.45115959768845,130.45115959768845,72.68653483845763,Zn[+2],Passivation,Zn[+2],Passivation
Zr3Zn,mp-972088,0.0,-0.122088837500001,0.040938085000000006,4,82.28170612166052,6.843042928755833,I4/mmm,139,tetragonal,5.415704056419869,5.415704056419869,5.415704056419869,133.44560001590327,133.44560001590327,67.95522138751495,Zn[+2],Passivation,Zn[+2],Passivation
Li3Zn,mp-976414,0.0,-0.08503013874999901,0.025022655416666,4,63.88990888537882,2.241224119570164,I4/mmm,139,tetragonal,4.6149587919372355,4.6149587919372355,4.6149587919372355,124.69549788238366,124.69549788238366,82.04300193801515,Zn[+2],Passivation,Zn[+2],Passivation
ZnP2,mp-1392,0.7480000000000001,-0.31427648031745903,0.001148668749999,24,469.90649005095935,3.60038412690059,P2_1/c,14,monoclinic,7.25615365,7.527218059029678,8.807579364029541,102.3609039771355,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnCl2,mp-571540,4.326,-1.289770749722222,0.001241176944443,36,916.7511935589686,2.962937614313809,P2_1/c,14,monoclinic,6.550220429102479,11.41699565,12.260498323672893,90.0,89.01340120235504,90.0,Zn[+2],Passivation,Zn[+2],Passivation
ZnAs2,mp-7262,0.22409999999999902,-0.148990749583333,0.0,24,558.3442182356343,5.121352392989239,P2_1/c,14,monoclinic,7.69436264,8.023873164826535,9.26330242981435,102.50121340407813,90.0,90.0,Zn[+2],Passivation,Zn[+2],Passivation
