formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Zn,mp-1244987,0.0,0.058374756800000004,0.058374756800001,100,1613.043594907879,6.7334943798243945,P1,1,triclinic,11.714990338391656,11.82686821059199,11.718204005417201,94.83704607944092,93.07304337602818,86.61702079796638,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-1245266,0.0,0.052315974800000005,0.052315974800000005,100,1623.3545311604494,6.690725760909228,P1,1,triclinic,11.86516223125941,11.747383532163905,11.715595761274916,86.9162683712793,90.02447238460606,84.60252873920528,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-1245093,0.0,0.055068915200000006,0.055068915200001005,100,1614.9202840891055,6.725669426370674,P1,1,triclinic,11.753229601372807,11.775190965827129,11.753341362183884,94.29696365054703,87.1330233497107,94.74393575469654,Zn[+2],Passivation,Zn[+2],Passivation
Zn,mp-2647117,0.0,0.071662429999999,0.071662429999999,1,15.451105083659737,7.029542496743742,Im-3m,229,cubic,2.717651802955449,2.717651802955449,2.717651802955449,109.47122063449069,109.47122063449069,109.47122063449069,Zn[+2],Passivation,Zn[+2],Passivation
ZnN6,mp-1103897,3.418199999999999,0.38868486047619005,0.398904575476189,14,210.28142895013153,2.360324792456776,P1,1,triclinic,6.389499319659248,5.608527182588491,7.033026493489555,90.56222605074514,110.02150367964784,115.37755363276264,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244890,0.9376000000000001,-0.513779709363392,0.448918640257144,100,2502.916739121837,3.2334152880082963,P1,1,triclinic,12.345150762331585,15.341697170769917,13.410947437742507,83.62301169207512,87.00931493777364,82.88458675608094,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244921,1.0285,-0.521620586363392,0.44107776325714204,100,2396.181021036189,3.377444849883982,P1,1,triclinic,13.040840065373715,14.299590253546823,13.059099391170731,82.25687911062317,96.76129243565343,90.4596136395114,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244922,0.6826000000000001,-0.5456069979633921,0.417091351657143,100,2393.493708555356,3.381236900669817,P1,1,triclinic,14.418299979567392,12.69467358232435,13.14542896651283,89.89412727021755,84.86413947471486,92.80979113016939,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244936,1.2177,-0.519685307463391,0.44301304215714404,100,2358.769478276966,3.431013214059465,P1,1,triclinic,13.755358926793088,13.525111185978352,12.726212571410782,91.53032937683557,93.69284805768494,86.97657762493506,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244980,1.4016,-0.618171767763392,0.344526581857143,100,2425.069893267038,3.337210721784858,P1,1,triclinic,13.536414307111125,13.25153140438009,13.58526665745827,89.68968878396079,92.90790307054806,85.18787779088461,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244979,0.8320999999999991,-0.48076335556339206,0.481934994057143,100,2365.20921388297,3.421671622698515,P1,1,triclinic,12.956820614451791,13.58353760496759,13.530050655618748,88.39182336229152,86.95992093689424,95.61167590083119,Zn[+2],Passivation,Zn[+2],Passivation
ZnS,mp-1244969,0.1129,-0.5348122423633921,0.42788610725714205,100,2327.1608270789975,3.477614935211221,P1,1,triclinic,12.90717697175416,14.159327426358878,12.75675790257526,93.1260186841494,88.54079750277761,90.13944414904627,Zn[+2],Passivation,Zn[+2],Passivation
