formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Zr,mp-131,0.0,0.0,0.0,2,46.99931887465835,6.446094089810128,P6_3/mmc,194,hexagonal,3.239231,3.2392318261441244,5.17222,90.0,90.0,120.00000177545371,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr,mp-1077723,0.0,0.008909571666668,0.008909571666666,6,140.66481172733583,6.461360760435894,Ibam,72,orthorhombic,5.431041579735578,5.86641356707903,5.86641356707903,90.55037122004845,62.396205505323934,62.396205505323934,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrCu,mp-1067210,0.0,-0.1250487375,0.024891506730771003,4,71.08931675809656,7.2303868726776415,P2_1/m,11,monoclinic,4.138216,3.242188999999999,5.509563052007391,74.08954990294049,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSe3,mp-1683,0.39790000000000003,-1.236771233046873,0.0,8,199.4116018231838,5.464371229421456,P2_1/m,11,monoclinic,3.77994874,5.48036737923749,9.711671023608181,97.60714111611556,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrTe3,mp-2089,0.0,-0.8232634687500031,0.0028008974999940003,8,248.52349808557454,6.334494537292908,P2_1/m,11,monoclinic,4.01694208,5.955210519418686,10.477597064139788,82.54473882224646,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrI2,mp-571279,0.31610000000000005,-1.145334125833335,1.887749999696097e-05,12,406.03612405471495,5.644233526932671,P2_1/m,11,monoclinic,3.77350496,6.914352565640211,15.630800172472812,95.37380861764348,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrS3,mp-9921,1.113299999999999,-1.574733515624998,0.0,8,172.4735477620155,3.608861478892194,P2_1/m,11,monoclinic,3.65162466,5.1784842734466725,9.197888306788931,97.42242662781797,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrBr,mp-1065846,0.0,-1.270171234999998,0.000794697500001,4,104.61923462529329,5.432361083636214,C2/m,12,monoclinic,3.5312090017501196,3.5312090017501196,10.036768963514044,76.528740150397,76.528740150397,60.22704182966839,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSc2,mp-1077791,0.0,-0.0033988183333350003,0.0034562811111090003,6,145.90903190345824,4.122885447033837,C2/m,12,monoclinic,3.29017602,6.182083801338872,7.65057994572241,102.92470383714421,90.00000000037738,105.4326614729333,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrCl3,mp-1192044,0.05959999999999901,-1.9363171293750012,0.023913653750000003,24,1025.6918529941527,1.919256486857743,C2/m,12,monoclinic,6.861819498294119,13.39278336,13.48244117630475,119.78026352756446,105.11799211032317,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
