formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Zr,mp-1056376,0.0,0.361779639999998,0.361779639999998,1,23.60958923376473,6.416080106759383,P6/mmm,191,hexagonal,3.000362006113866,3.000362006113866,3.02838447,90.0,90.0,120.00012008947031,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr,mp-1178608,0.0,1.8015615899999982,1.8015615899999982,1,56.04331444558559,2.7029275000963153,P6/mmm,191,hexagonal,2.9179384895919243,2.9179384895919243,7.600479,90.0,90.0,120.00001110069324,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr,mp-8635,0.0,0.056982134999998005,0.056982134999998005,1,23.228232656080714,6.5214180542428615,Fm-3m,225,cubic,3.202656128633177,3.202656241589599,3.20265751,60.00000836085244,60.00000726400863,59.999993665224274,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr,mp-41,0.0,0.121641834999998,0.121641834999998,1,22.973948311274814,6.593599574574509,Im-3m,229,cubic,3.1018386903264044,3.101838379222982,3.10183721,109.47119931788765,109.47119732903649,109.47123636644343,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrO2,mp-1245318,2.9114,-3.590938117111112,0.222679637888887,90,1166.4283524718212,5.262636308408363,P1,1,triclinic,10.437354379858,9.986001923809349,11.271598365462859,91.07085305324765,95.43611825363308,93.91097622082886,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSe,mp-684965,0.0,-1.144776089843752,0.412376197187498,32,789.3107924820678,5.728484813878678,P1,1,triclinic,5.250851,5.427700634735486,27.712602117459305,87.96966874102446,89.82840765695789,89.94354554551963,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSn,mp-1094276,0.0,-0.29573394291666405,0.30640961125000304,12,284.2604298116348,7.358117525649417,P2_1/m,11,monoclinic,5.493296,6.131442,8.49528463635457,83.43498333083416,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSn,mp-1094289,0.0,-0.339967283749999,0.26217627041667,12,286.34524272004046,7.3045447885809764,P2_1/m,11,monoclinic,4.674819,7.801687,8.207853153968887,73.04786455059518,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrH,mp-632219,0.0,-0.39525807562500104,0.096270664999998,2,27.071887144725313,5.657335180940566,I-4m2,119,tetragonal,3.4171452085226055,3.4171452085226055,3.4171452085226055,122.48854272265945,122.48854272265945,85.741186326783,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrCl3,mp-2353328,0.068899999999999,-1.906630995625001,0.053599787499999,8,238.92569585564553,2.746412764194741,C2/m,12,monoclinic,6.326427588786383,6.326427588786383,7.018901404482235,90.05637622731211,90.05637622731211,121.73322271882162,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrO2,mp-775935,3.825,-3.6831441938888902,0.130473561111108,9,134.2531618942517,4.5723229995210914,P-1,2,triclinic,5.804368108183966,9.079860111721175,6.149534527133176,46.82931719758555,57.339313516215604,34.67035054311929,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrO2,mp-755769,4.1946,-3.722506047499999,0.091111707499999,12,178.34909866947189,4.589118191733542,C2/m,12,monoclinic,3.98555777379755,6.9277553098567015,7.056740853839962,73.62863195904477,89.98868509498912,73.28417246247236,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrIr,mp-1017541,0.0,-0.936473047500008,0.072788341249996,2,36.026862959710805,13.064275235468594,P4/mmm,123,tetragonal,3.136106,3.136106,3.663068,90.0,90.0,90.0,ZrO[+2],Passivation,ZrO[+2],Passivation
