formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
AlFe3,mp-1183162,0.0,-0.198893174999999,0.0,4,48.2003719603683,6.701241054958837,Pm-3m,221,cubic,3.63929352,3.63928939,3.63929042,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe,mp-2658,0.0,-0.326887014999999,0.0,2,23.03979004034681,5.969529360107075,Pm-3m,221,cubic,2.845506,2.845506,2.845506,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe3,mp-2018,0.0,-0.163539367499999,0.035353807499999,4,48.13206524920219,6.710751133839217,Fm-3m,225,cubic,4.083036555227606,4.083036481450109,4.08303539,59.99998324128702,59.999983822963365,59.99997867848186,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al6Fe,mp-570001,0.0,-0.195844072142856,0.002539707857142,14,204.4861113230854,3.536242098483433,Cmcm,63,orthorhombic,4.8755441312184775,4.8755442233927315,8.68812478,90.0,90.0,98.0572429403998,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al8Fe5,mp-1193259,0.0,-0.280431573076922,0.046395610769231,26,336.6210673360764,4.8843954940516365,I-43m,217,cubic,7.59018354007419,7.590193239569404,7.59019674986568,109.47094333869327,109.47089387711044,109.47088447785252,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al9Fe2,mp-1191778,0.0,-0.23460630045454403,0.017882146818181,22,333.2067405290409,3.533546156445344,P2_1/c,14,monoclinic,6.110118543499218,6.308299,8.680345174870238,90.0,95.19136994281426,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al12Fe7,mp-1214901,0.0,-0.31331543842105103,0.013503348070174,19,256.5341747930138,4.626192269489269,P-1,2,triclinic,4.845124720930227,6.340942373706576,8.757632702138329,87.557470477971,73.93996838908576,82.84489245487327,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al13Fe4,mp-1202900,0.0,-0.32674975529411604,0.0,51,715.9696964337121,3.994785983689867,C2/m,12,monoclinic,7.98717534,8.63074379033878,12.301412469388968,105.68038140437022,90.0,117.56253483840044,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1178577,2.1792,-2.534268328,0.032552852499998,20,193.12520973604154,4.499455863270265,R-3,148,trigonal,4.963586850660417,4.963348703352808,9.494494209231263,105.1516002685997,90.00137237921214,119.99849084483284,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-21216,1.9962,-2.5228653455,0.043955834999999006,40,410.0410451498143,4.238396948650082,Pna2_1,33,orthorhombic,5.044116,8.669205999999999,9.376979,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(FeO2)2,mp-1293197,1.0647,-2.234448979285713,0.038653382142854006,14,147.82431888079125,4.55324299529989,Imma,74,orthorhombic,5.997787275429248,5.942878219837085,5.94060713216587,59.098869055426505,59.609396108638826,59.622116105888274,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-531674,2.8188999999999993,-2.881206051122449,0.022356451734692,98,982.1454597554881,4.114009383936355,Cm,8,monoclinic,5.838022656607116,5.83802220731759,40.765200578119774,60.14573824889836,60.145741479263826,59.674774063768695,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-530567,0.5154000000000001,-2.870119049523809,0.033443453333331,84,843.0501235412115,4.108099040780611,P1,1,triclinic,5.827551335945814,5.83616304214365,35.043821053555796,59.99175739371604,60.105910315478546,59.94658286658816,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-30084,0.0,-2.9035625028571412,0.0,14,134.17854118320494,4.301896777867103,Fd-3m,227,cubic,5.746448898397789,5.746450251760425,5.746440690000435,60.00001659683821,60.00005728025089,59.999906244863965,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-34782,2.5346,-2.888955597380952,0.014606905476188,42,420.37363812257655,4.119351321977705,P1,1,triclinic,5.816779863465094,5.821452284462701,17.52956679270546,60.019379151662214,60.05201972392703,60.131819043387985,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al15Fe9O32,mp-765944,2.1445,-2.817826997857143,0.006927987321420001,56,562.1083658143733,4.192817585515264,C2/m,12,monoclinic,5.852385545966705,5.852385545966705,19.308843575354015,81.6353631873208,81.6353631873208,59.559406259102595,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCo,mp-284,0.0,-0.556456129999999,0.0,2,22.411533274498698,6.365685461675437,Pm-3m,221,cubic,2.81940321,2.81940321,2.81940321,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al5Co2,mp-196,0.0,-0.42809385035714104,0.0,28,376.3307399553464,4.461407961468099,P6_3/mmc,194,hexagonal,7.604741100000066,7.604740077675412,7.51398438,90.0,90.0,120.00000763132766,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al9Co2,mp-16488,0.0,-0.29702967454545304,0.0,22,322.1323684213528,3.718700101264906,P2_1/c,14,monoclinic,6.141252955400068,6.228800970453797,8.45573685468097,89.99865891040967,95.18179272039431,90.00044771372296,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al13Co4,mp-1198336,0.0,-0.352241550245097,0.012247626556373,102,1447.7058366990643,4.036293085666077,Pmn2_1,31,orthorhombic,8.179283999999999,12.372003,14.306224,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al13Co4,mp-30751,0.0,-0.35372664161764505,0.010762535183824001,102,1467.6457654761016,3.98145465084436,Pnnm,58,orthorhombic,8.20224,12.388164,14.443812,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al19Co6,mp-1215090,0.0,-0.361538210399999,0.008887402599999001,50,706.2574533732829,4.07341347933445,C2/m,12,monoclinic,8.518555524393374,8.518555524393374,12.31364556365015,73.88029284403173,73.88029284403173,56.387187251360984,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1178576,2.5603,-2.309915378999999,0.031363284499999006,10,88.02147690236615,5.052577293436306,R-3,148,trigonal,5.175649031843832,5.175649031843832,5.175648975480176,55.59903088102598,55.59903088102598,55.59903478037184,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(CoO2)2,mp-753184,0.0,-2.05576668,0.031937336071441,14,140.49846106976761,4.93665420225234,Imma,74,orthorhombic,5.812975126104876,5.812975126104876,5.812975126104876,119.5935093702018,118.82814702927327,91.37365618593682,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-532094,0.0,-2.885069807857142,0.0,84,821.4794606135702,4.2908805322171,P3m1,156,trigonal,5.781861676820192,5.781861676820192,28.37466,90.0,90.0,119.9999963019862,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-674336,2.274700000000001,-2.848396663095238,0.036673144761889,42,411.26310199434073,4.285419975764659,P3m1,156,trigonal,5.783647918119843,5.783647918119843,14.196635,90.0,90.0,119.9999990633684,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-36447,3.0024,-2.863333982142858,0.021735825714269002,14,131.898469994946,4.45401960222136,Fd-3m,227,cubic,5.71383308,5.7138333135983315,5.7135882698401,59.99858220487875,59.998582622276416,60.00000135239692,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-37621,2.4719,-2.8470706285714282,0.037999179285700006,42,409.39052428983626,4.3050217531017765,Cm,8,monoclinic,5.78268932767765,5.78268932767765,14.158987614438576,89.65203420006621,89.65203420006621,59.84643795609732,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlNi,mp-1228868,0.0,-0.6581211049999991,0.026780045000000002,2,23.472839297968516,6.060902167304869,P4/mmm,123,tetragonal,2.7519967637386493,2.7519967637386493,3.099430041276622,90.0,90.0,90.42681865148124,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlNi2,mp-1025044,0.0,-0.490064431666665,0.027575857500000002,6,67.07495457744089,7.148100740005991,P-3m1,164,trigonal,3.9740028484624093,3.9740028484624093,4.90425882,90.0,90.0,119.99999414757839,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlNi3,mp-1183232,0.0,-0.40519879874999903,0.021220978749999002,8,87.79262614116702,7.6815551532728055,P6_3/mmc,194,hexagonal,5.009048050442698,5.00905275751418,4.04025638,90.0,90.0,119.99824496762551,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlNi,mp-1487,0.0,-0.6849011500000001,0.0,2,23.386572118200654,6.083259310291866,Pm-3m,221,cubic,2.85971129,2.85971129,2.85971129,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlNi3,mp-2593,0.0,-0.42641977749999904,0.0,4,43.72785438535495,7.71114783966961,Pm-3m,221,cubic,3.5229346,3.52311529,3.52311429,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3Ni2,mp-1057,0.0,-0.644216627999999,0.0,5,67.43506090961826,4.883766094782531,P-3m1,164,trigonal,3.994196,3.994195457570523,4.880862,90.0,90.0,120.00002105628026,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3Ni,mp-622209,0.0,-0.418775703125,0.0,16,228.55073726894787,4.058169020834075,Pnma,62,orthorhombic,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413504,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3Ni5,mp-16514,0.0,-0.563250544999998,0.0,8,90.37206581100932,6.879616056635388,Cmmm,65,orthorhombic,3.72527337,4.94345815722683,4.94345974673061,96.93144550351933,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
