formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Be,mp-87,0.0,0.0,0.0,4,31.796370288803224,1.882614921185406,P6_3/mmc,194,hexagonal,3.574102459999999,3.92001285,2.26946274,90.0,90.0,90.0,mono-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-7599,7.0846,-3.087509171249999,0.015346631250000001,8,57.033223656855846,2.912878239417336,P4_2/mnm,136,tetragonal,2.68522923,4.60864522,4.60864522,90.0,90.0,90.0,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-2542,7.463900000000001,-3.102855802499999,0.0,4,27.51023288811809,3.019437108902679,P6_3mc,186,hexagonal,2.69427722,2.694276202673103,4.37601889,90.0,90.0,119.99998793495537,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1778,6.8477000000000015,-3.095882134999999,0.006973667500000001,2,13.691067645153574,3.033562473352565,F-43m,216,cubic,2.6852460180604645,2.6852454973423017,2.6852468,59.999996271537825,60.0000026863021,60.00000960094307,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
Mg149Be,mp-1185586,0.5261,0.011578638333333,0.011578638333333,150,3404.7024964940815,1.770643980358718,P-6m2,187,hexagonal,15.88929390032669,15.88929821,15.57181665,90.0,90.0,120.00001327618916,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgBe13,mp-855,0.0,0.000521484642856,0.000521484642856,28,257.3556620593038,1.825531592008289,Fm-3c,226,cubic,7.139748469490087,7.139747252795873,7.1397074,60.000194004008115,60.00019964112612,60.00038678816178,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
BeAl6O10,mp-560974,5.4595,-3.395172896985295,0.0010587416911770002,136,1174.4812808292086,3.742688931431115,P2_1/c,14,monoclinic,13.80346023,8.916048811220065,9.543018191095006,89.970362270394,90.0,90.0,bi-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeAl2O4,mp-3081,6.117700000000001,-3.352918253928567,0.0,28,227.11100940878518,3.713486081513497,Pnma,62,orthorhombic,4.42148734,5.46804335,9.39372523,90.0,90.0,90.0,bi-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
ScBe5,mp-11277,0.0,-0.19542567333333302,0.0,6,62.92120584317472,2.375613238480116,P6/mmm,191,hexagonal,4.5365604699999995,4.536560513355378,3.53031121,90.0,90.0,119.99999975677896,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScBe13,mp-972891,0.0,-0.167263777142857,0.0,28,253.4345415118584,2.124391491915531,Fm-3c,226,cubic,7.103205427431088,7.103206141608974,7.103208291232908,60.00177222597047,60.00177555202595,60.00177225934959,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
