formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cr,mp-90,0.0,0.0,0.0,2,26.16895772559837,6.5987767847843095,Im-3m,229,cubic,2.96889915140125,2.9688993423008085,2.9688995716460274,90.0015093557201,89.99831571270103,89.99833464485413,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-1281333,0.014699999999999,-2.042247830833334,0.0054530308333010005,12,119.76455773024053,4.6583668988055695,P-42_1m,113,tetragonal,4.471343000616369,4.47134300061335,5.990352000008847,89.99991373604823,89.99983703471523,90.00189647162753,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-755073,0.0,-1.967088979999999,0.005067494166667,8,94.07361691322753,4.800886276421006,C2/c,15,monoclinic,4.2108670364796925,5.290153028430647,4.22308008642482,90.00043765758855,89.99565702430642,90.1367802552046,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-19177,0.041999999999999,-2.04770086166665,0.0,6,56.64882570127859,4.924261398838221,P4_2/mnm,136,tetragonal,2.91388854,4.409191770168261,4.409191770168261,90.00100110566376,90.0,90.0,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-1272524,1.5811000000000002,-1.9229498662500002,0.049206607916666006,8,100.74389708760101,4.483018321390567,P-1,2,triclinic,3.09771967124351,6.3508144045628505,6.114352259992385,67.23150298486053,83.24314552028754,108.94221711396919,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-1302566,0.0,-1.924840639999999,0.047315834166667,8,101.37982724859431,4.454897474864885,P-1,2,triclinic,3.099302014102046,6.620947964764714,6.3763210369597925,61.40931253877738,88.41399617941326,113.52460887656554,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO3,mp-510421,2.2699,-1.5112073775,0.0461691845,8,115.10670088636584,2.885052569636943,Ama2,40,orthorhombic,4.716873712301224,4.8810800542884545,5.70504865,90.0,90.0,118.79641141683062,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-21395,0.0,-2.046940156666667,0.000760704999967,6,60.1560316132143,4.637168014737258,Pnnm,58,orthorhombic,2.9859640000142336,4.4480510065903,4.529235006691637,89.99377082216941,90.00026082694927,90.00021818630393,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-1102412,0.27429999999999904,-2.011450980833319,0.036249880833315005,12,111.76914187903765,4.9916036036533,Pbcn,60,orthorhombic,4.265938592456173,4.879698593818302,5.369258590014744,90.00026880246304,90.00008969582791,90.00420589861288,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-1283577,0.0,-1.966387002499999,0.005769471666667,8,100.04366288545275,4.514396248457164,C2/c,15,monoclinic,4.109845594881272,5.449886988683893,4.468217974282477,89.99996102306429,90.0000822974315,91.54429763172448,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr2O3,mp-19399,0.0,-2.366587769,0.0,10,97.6733691397389,5.1679592815047855,R-3c,167,trigonal,5.3513754511552944,5.351375178540753,5.351362643672136,55.74690511707356,55.746915200656915,55.74667374080043,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr2O3,mp-776873,1.831,-2.320029996249999,0.046557772750000004,40,399.88146754527065,5.049216185988026,Ia-3,206,cubic,8.039257670324735,9.28228689246444,9.282289371902612,89.99752165541453,54.73463680587924,54.73164730095236,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr2O3,mp-755749,2.405899999999999,-2.328298080499999,0.0382896885,20,188.93016004339384,5.343477129174289,Pbcn,60,orthorhombic,5.0393703500001035,5.2108917400001,7.194704570000361,89.99998066182738,90.00002784277581,90.00000000000226,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr3O8,mp-545796,0.0,-1.649623899999999,0.049332349454545,11,168.60799062352896,2.7968170128518013,C2/m,12,monoclinic,5.260463811774015,5.260485288977339,6.881506982390993,88.31799988251294,88.31754169085904,62.366481289049666,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr3O8,mp-2220540,0.5890000000000001,-1.652323716363635,0.046632533090909006,22,327.1868241030999,2.882546985021912,P2_1/c,14,monoclinic,5.462690032828606,8.10715906356783,7.388147117440272,90.00560366909455,89.5243013301716,90.01250770696666,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr5O12,mp-13869,1.696699999999999,-1.8070326973529411,0.025175022647058003,68,868.7530188292961,3.455616523653627,Pbcn,60,orthorhombic,8.393525,8.433685,12.272543,90.0,90.0,90.0,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr5O12,mp-773920,1.794699999999999,-1.832207719999999,0.0,68,1020.3745477293073,2.942132664442842,Pbcn,60,orthorhombic,8.984815,9.059561,12.535548,90.0,90.0,90.0,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr6O11,mp-1213798,0.0,-2.123403061470588,0.01808806705881,34,326.29366251669643,4.966650238187443,P-1,2,triclinic,5.336467920018411,6.930950158748234,9.383420841871363,89.63676376090186,81.0989486403347,72.2719851139936,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr8O21,mp-558855,1.7012,-1.685936004310345,0.032548477896552006,29,427.1887247242977,2.922953191889481,P-1,2,triclinic,5.522564,6.686181473064353,12.258355241593751,105.06643018821465,89.64152848441212,101.87581635455466,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Li2CrO2,mp-1272606,1.1213,-2.080675432333334,0.028562055000000003,20,213.8076845644292,3.040646859794694,C2/m,12,monoclinic,4.7351547718179186,6.862618287171959,6.862638755123717,90.71755154853133,101.51015258013868,101.50999527079571,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO2,mp-1291459,0.984599999999999,-2.076850024833334,0.032387462499999,20,214.0422328688484,3.037314907236811,C2/m,12,monoclinic,2.9861550026900816,7.511405446351102,10.411257927164323,110.30085506156436,89.99720432551146,101.47002587760655,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO3,mp-754091,1.265299999999999,-2.236529495694444,0.019784351666667,24,199.1986703429175,3.797134681357774,C2/m,12,monoclinic,5.0014394540678975,5.016080053069796,8.475521970005152,90.0001203540123,90.00000491710031,69.5257342196811,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiCrO2,mp-762454,1.772199999999999,-2.370753757708333,0.037868095624999,16,145.01817603549958,4.165067266311953,C2/c,15,monoclinic,5.2440191267729945,5.738751000000697,5.26719518439055,89.999947416601,66.1878673375651,90.00001023033826,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO4,mp-17159,2.9665,-2.088274171904762,0.0,42,520.2010902641682,2.487465070969037,R-3,148,trigonal,8.614465077562608,8.614424788688032,8.614388277523647,107.80742811628039,107.8084090246963,107.80859196109654,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li8CrO6,mp-756239,1.0084,-2.103897231777777,0.035587055499999,30,252.22758674233089,2.67975240511031,R-3,148,trigonal,5.406266232664277,5.880135881520596,9.363070407578382,105.40345557085139,90.03362319204375,62.61977567801103,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO3,mp-755795,1.7756999999999992,-2.248970232777778,0.007343614583334001,12,117.95863442772078,3.206141641555375,C2/c,15,monoclinic,5.7808745718318955,5.780870874798733,5.261994363856876,57.01604510231756,122.98399390020168,120.58252283406249,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO3,mp-770628,0.5259,-2.234609702777778,0.021704144583334,24,211.97242981978056,3.568313956124038,Cc,9,monoclinic,5.094037661432334,5.015230996265177,9.761367574265298,94.72906505402773,80.65368134832183,120.52256414878865,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li4CrO5,mp-770688,1.4312,-2.059533565333333,0.020737729166665,20,200.1914791238349,2.650291679523717,C2/c,15,monoclinic,5.259654379215616,5.259654379215616,7.916091272333335,83.51996079874209,83.51996079874209,67.32064566616314,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiCrO2,mp-18793,3.1156,-2.408621853333333,0.0,4,35.06364171960439,4.306529701448667,R-3m,166,trigonal,5.041015471516702,5.041015652139572,5.041015687941245,33.66229926670487,33.66229528175283,33.66230395424459,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
