formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li,mp-1018134,0.0,0.0,0.0,3,61.205660097660434,0.5649380290750841,R-3m,166,trigonal,3.0786742874458892,3.0786724400000005,7.665407794912054,78.41531399066483,78.41531201680867,59.99999672804063,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-1063005,0.0,0.015670883333333,0.015670883333333,3,61.27228985134278,0.5643236945722541,P6/mmm,191,hexagonal,2.888843,4.948832120559355,4.948901261419246,120.00045040385828,90.0,90.0,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-10173,0.0,0.005987748333333,0.005987748333333,2,40.20915440845307,0.573292417154018,P6_3/mmc,194,hexagonal,3.01479638,3.014796427441799,5.1083222,90.0,90.0,119.99998872643641,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-976411,0.0,0.005889090833333,0.005889090833333,4,81.46327565480371,0.5659385321116011,P6_3/mmc,194,hexagonal,3.034385529999999,3.034385822461984,10.21620767,90.0,90.0,120.00000782233006,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-567337,0.0,0.008819463333333001,0.008819463333333001,8,161.75350839454015,0.570042740991187,I-43d,220,cubic,5.945091365104493,5.945091365104493,5.945091365104493,109.47122063449069,109.47122063449069,109.47122063449069,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-51,0.0,0.001672373333333,0.001672373333333,1,20.347259270998425,0.5664547498885351,Fm-3m,225,cubic,3.0643639389950077,3.064363205775875,3.064364,59.999991426367586,59.9999993414526,60.00000411085068,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-135,0.0,0.009650863333333001,0.009650863333333001,1,20.34159020777027,0.5666126169854631,Im-3m,229,cubic,2.97853209405321,2.9785316292606328,2.978532,109.47122315590451,109.47121999483102,109.47121481709904,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1232999,0.152099999999999,-0.410251224814815,0.016817863333333002,9,112.83184242189002,1.985847494723534,P1,1,triclinic,4.625938326672871,5.270288132101413,6.0595924336824005,61.1199666530315,62.15496860734682,69.35234031493172,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1236127,0.08889999999999901,-0.411361199259259,0.015707888888889,9,117.77124156851406,1.902559815234679,P1,1,triclinic,4.4770192743978665,5.526793806597365,5.526375341405884,70.19354204893781,69.90760857195103,71.71516407966173,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1235252,0.0,-0.41782946370370305,0.009239624444445,9,112.1590185199282,1.9977602742550662,C2/m,12,monoclinic,4.129972288289374,5.554287536717894,5.554288160331318,72.91261653068507,71.7345322225621,71.73452295240057,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1235185,0.0,-0.42170755703703605,0.005361531111112001,9,100.41400955799593,2.23142998257765,C2,5,monoclinic,5.0219757332389605,5.086811637681209,5.086811808215142,73.62917574779402,61.67015835472937,61.67016344398838,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1235059,0.0,-0.42706908814814803,0.0,9,102.64477857800613,2.182934531134173,Cm,8,monoclinic,5.249754507535302,5.413199314268996,5.412214084692461,66.0679354813296,55.04984107024681,55.053804050826955,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O2,mp-841,1.974299999999999,-1.650170236666666,0.0,8,63.107895451231315,2.414495373744071,P6_3/mmc,194,hexagonal,3.10263483,3.102633828952688,7.56992946,90.0,90.0,119.99998945596172,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-1960,4.8986,-2.061597913888889,0.0,3,25.196348792602333,1.969302476050398,Fm-3m,225,cubic,3.29066929378113,3.2906691688744707,3.290669,59.999991645039074,59.99999290067432,59.99999981534343,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg,mp-1094568,0.0,-0.031319675833332006,0.020893197500000002,4,83.812288309167,1.238128792846922,C2/m,12,monoclinic,5.90261615588588,5.90261615588588,5.355206696725814,63.83838951186659,63.83838951186659,30.329351715509127,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2Mg,mp-1094601,0.0,-0.023806947777777,0.011001634444444,6,122.38502674272685,1.036254303715672,C2/m,12,monoclinic,5.853985566582566,5.853985566582566,7.279644940223289,74.00401148326692,74.00401148326692,30.79336758057627,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMg,mp-976262,0.0,-0.041007314166667,0.011205559166666,6,122.20410265024168,1.273734740890411,C2/m,12,monoclinic,5.656821003123183,5.656821003123183,7.15659339162228,71.95892554326628,71.95892554326628,34.338346325301764,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2Mg,mp-976843,0.0,-0.031753756111111,0.0030548261111110002,6,121.26361061698287,1.045837329329422,C2/m,12,monoclinic,3.30973899,5.743755265406856,7.017319070446519,72.47382772306894,90.00000000084877,106.74522523566036,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
