formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mg,mp-1056351,0.0,0.037615175,0.037615175,1,22.644178710566422,1.782330131270344,I4/mmm,139,tetragonal,3.0922691333796086,3.0922691333796086,3.0922691333796086,107.15484076460599,107.154840764606,114.21048487798777,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-1094122,0.0,0.003384133333333,0.003384133333333,9,202.98343202608993,1.7894791436807,R-3m,166,trigonal,3.1853891,3.1853881569951126,23.09963198,90.0,90.0,119.99998902327968,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-153,0.0,0.0,0.0,2,44.79899633535127,1.8017993845931342,P6_3/mmc,194,hexagonal,3.17202372,3.1720228525872662,5.1412049,90.0,90.0,119.99999861730146,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-973364,0.0,0.008570822499999001,0.008570822499999001,4,90.18811805782043,1.790009721140348,P6_3/mmc,194,hexagonal,3.17682632,3.176826011235074,10.31886201,90.0,90.0,120.00000321511524,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-1056702,0.0,0.030189964999999003,0.030189964999999003,1,22.60722103370626,1.785243836628089,Fm-3m,225,cubic,3.1738572726371928,3.1738572726371928,3.1738572726371928,59.99999999999999,59.99999999999999,59.99999999999999,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-110,0.0,0.039679875,0.039679875,1,22.28502511067041,1.811054814310633,Im-3m,229,cubic,3.07051787485108,3.0705184188661034,3.070518,109.47121787110729,109.47122146013524,109.4712162198185,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1192189,0.0014000000000000002,-2.995071584583334,0.043237585416665,24,223.28031716343904,3.596933125469349,P6_3/mmc,194,hexagonal,2.960537517554189,2.960537517554189,29.41562071,90.0,90.0,119.99985066656986,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO2,mp-2589,3.734,-2.010695488333333,0.014843958333333001,12,112.58150624819807,3.321847881193346,Pa-3,205,cubic,4.82861247,4.82861247,4.82861247,90.0,90.0,90.0,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1265,4.4292,-3.03830917,0.0,2,18.4427700910204,3.628903381952319,Fm-3m,225,cubic,2.965608463297897,2.9656084142286705,2.96560719,59.99999152264117,59.99999219878217,59.99998781182175,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
LiMg,mp-1094568,0.0,-0.031319675833332006,0.020893197500000002,4,83.812288309167,1.238128792846922,C2/m,12,monoclinic,5.90261615588588,5.90261615588588,5.355206696725814,63.83838951186659,63.83838951186659,30.329351715509127,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
