formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Sc2O3,mp-755313,4.127599999999999,-3.932339745999999,0.036392894749999,10,117.69023564964562,3.891656453292744,R-3c,167,trigonal,5.34815669,5.66639085351137,5.348155626069101,118.1589423594301,59.999999666423356,118.15893908550005,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2O3,mp-216,3.8235,-3.968732640749999,0.0,40,479.72910891946253,3.8189049323031883,Ia-3,206,cubic,8.54160167356635,8.541602070953498,8.54160167,109.47122205517913,109.4712229976158,109.47121729538983,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
LiScO2,mp-5840,3.904,-3.344621143333333,0.0,8,81.21445464830744,3.430721979221607,I4_1/amd,141,tetragonal,5.493771240897089,5.493771240897089,5.493771240897089,135.16898230079514,135.16898230079514,65.2677522807835,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
ScBe5,mp-11277,0.0,-0.19542567333333302,0.0,6,62.92120584317472,2.375613238480116,P6/mmm,191,hexagonal,4.5365604699999995,4.536560513355378,3.53031121,90.0,90.0,119.99999975677896,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScBe13,mp-972891,0.0,-0.167263777142857,0.0,28,253.4345415118584,2.124391491915531,Fm-3c,226,cubic,7.103205427431088,7.103206141608974,7.103208291232908,60.00177222597047,60.00177555202595,60.00177225934959,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Be17,mp-1209010,0.0,-0.17443231210526203,0.002836349210526,38,359.9563906528677,2.243096506420121,P6_3/mmc,194,hexagonal,7.333554279999999,7.528394509547048,7.528394509547048,119.99999832630105,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Mg2Sc,mp-1185777,0.0,-0.00012133333333200001,0.019674663333333002,6,140.0261775206262,2.219154374262217,C2/m,12,monoclinic,6.128611919208332,6.128611919208332,7.660135226043075,75.82730746438095,75.82730746438095,30.207583655695032,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg2Sc,mp-1185779,0.0,0.010889141666666002,0.030685138333332,6,139.2916079511816,2.230857328210486,C2/m,12,monoclinic,6.202503398828923,6.202503398828923,7.605845643341742,75.2641976363705,75.2641976363705,29.56560489728776,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg149Sc,mp-1185631,0.24960000000000002,0.0037898423333330004,0.004229904533333001,150,3431.6221864016275,1.7741469245418031,P-6m2,187,hexagonal,15.944001279131422,15.94400698,15.58741473,90.0,90.0,120.00001182784814,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg3Sc,mp-864937,0.0,-0.0144883925,0.002013939999999,8,180.973008390846,2.163076758596572,P6_3/mmc,194,hexagonal,6.406378000000081,6.406379760912588,5.09164368,90.0,90.0,120.00001572707009,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc,mp-1174,0.0,-0.025009859999999003,0.001373464999999,2,46.51816017844139,2.472377448359312,Pm-3m,221,cubic,3.59645124,3.59645124,3.59645124,90.0,90.0,90.0,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg3Sc,mp-1185790,0.0,-0.016502332499999002,0.0,4,91.9258118189191,2.129208873100079,Pm-3m,221,cubic,4.51314366,4.51314366,4.51314366,90.0,90.0,90.0,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg5Sc,mp-1185829,0.0,0.013926608333333002,0.024928163333333003,6,137.74748517411416,2.006919094528395,Amm2,38,orthorhombic,8.290840171524588,8.290840171524588,5.16169243,90.0,90.0,157.15529151153467,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc,mp-1185947,0.0,-0.007936619999999001,0.018446704999999,4,93.51033451558882,2.459844695458161,Pmma,51,orthorhombic,3.362799,5.19868,5.348914,90.0,90.0,90.0,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc,mp-1951789,0.0,-0.026383324999998,0.0,4,93.19949951424559,2.46804866471982,Pmma,51,orthorhombic,3.59807934,5.09022539,5.08868809,90.0,90.0,90.0,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg2Sc,mp-1185774,0.0,-0.013943961666666001,0.005852034999999,6,139.01489356567873,2.235297933809545,Cmcm,63,orthorhombic,8.397747354588166,8.397747354588166,5.16158078,90.0,90.0,157.54839540155984,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg5Sc,mp-973147,0.0,0.037176646666666,0.048178201666666004,6,137.87359249226984,2.005083447975698,Cm,8,monoclinic,6.151431472430364,6.151431472430364,7.609709764560175,75.43523377682268,75.43523377682268,29.728155064700605,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc2,mp-1185956,0.0,0.0006391300000010001,0.029343626666667004,6,145.8158364001148,2.60138408827626,C2/m,12,monoclinic,6.197790806447403,6.197790806447403,7.688035608188542,76.37746439290208,76.37746439290208,30.608739515043055,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc2,mp-864941,0.0,-0.028704496666665004,0.0,6,143.76168162845764,2.638554254048638,Pm,6,monoclinic,3.3329920842224605,8.40938989939561,5.233026450000025,90.00000740685782,90.00000991237702,78.5642097290431,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc3,mp-1185968,0.0,0.028273004999999,0.049801377499999,4,97.297761824829,2.716532646881085,Imm2,44,orthorhombic,6.218402681457291,6.218402681457291,6.218402681457291,149.5825674467396,126.20374070484218,63.06251772867868,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgSc5,mp-1185687,0.0,0.018712088333334,0.033064336666666,6,147.77662580391456,2.798917897311437,Amm2,38,orthorhombic,8.630942323500843,8.630942323500843,5.3144465,90.0,90.0,158.0821366362728,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
ScAl3,mp-2121,0.0,-0.479127356249999,0.0,4,68.30791227292657,3.060593391906666,Pm-3m,221,cubic,4.08780657,4.08780657,4.08780657,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScAl,mp-331,0.0,-0.46617776250000104,0.0,2,38.28464388341792,3.120179135965442,Pm-3m,221,cubic,3.37034897,3.37034897,3.37034897,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScAl2,mp-813,0.0,-0.530798523333333,0.0,6,107.81919267480609,3.046931477044263,Fd-3m,227,cubic,5.342408267371691,5.342407324368729,5.34240747,59.99999916018265,60.00000499917613,59.99999388313663,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Al,mp-11220,0.0,-0.366392015,0.0,6,127.72998498699012,3.039317592393201,P6_3/mmc,194,hexagonal,4.89261207,4.892610730997629,6.16142057,90.0,90.0,120.00001613431682,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc3Al,mp-862259,0.0,-0.288817323749999,0.0,8,175.26617349782586,3.0668444230912,P6_3/mmc,194,hexagonal,6.312066870248857,6.311956234135284,5.07970298,90.0,90.0,120.00146599208223,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScAlO3,mp-4471,4.591900000000001,-3.669621607,0.028020217374999,20,191.07007935746245,4.169314922966967,Pnma,62,orthorhombic,4.97364,5.264203,7.297695,90.0,90.0,90.0,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Ti2O7,mp-753802,3.5737,-3.72757864742424,0.0,11,144.9452747464648,3.4098769025950793,C2/m,12,monoclinic,5.481393739971685,5.481393739971685,5.183447470377433,84.05759400261135,95.94240599738865,71.0529627176104,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2TiO5,mp-753401,3.1323,-3.806863982916667,0.0,16,200.9679973897723,3.598834323970924,Cmc2_1,36,orthorhombic,3.85441592,5.434489430824212,10.26110277,90.0,90.0,110.77048744627018,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc4Ti3O12,mp-1219404,2.795899999999999,-3.717084966842105,0.043876979736808,19,208.99067834897923,4.095258289855941,P1,1,triclinic,5.929173,6.056483275942401,6.079671747891987,98.97940455779525,99.4919807350196,98.93024204529593,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc4Ti3O12,mp-675128,2.7659000000000002,-3.7241358615789473,0.036826084999965,38,419.25504005541933,4.082817026591453,P-1,2,triclinic,5.923499,6.0891989915390345,12.15852110746558,99.42346418217214,99.73031761781534,98.60819883326384,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScVO4,mp-19247,2.6851000000000003,-3.041869945833333,0.0,12,141.86916440353752,3.743053187023003,I4_1/amd,141,tetragonal,5.703970815414312,5.703970519247491,5.703969983640654,106.8013790737914,106.8013816625023,114.95398818307739,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScVO3,mp-756546,1.5605,-3.202248177500001,0.049391989499998006,20,215.7754359190552,4.429499293477538,Pnma,62,orthorhombic,5.402772000000925,7.81713000009396,5.109025000061264,89.99944111285708,90.00002181966246,90.00006846228871,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScVO4,mp-1103413,2.569999999999999,-3.009148079166667,0.032721866666665,12,129.8374395893587,4.089912968404482,I4_1/a,88,tetragonal,4.902144,4.902144,6.419264379373153,112.44712457471243,112.44712457471243,90.0,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2VO5,mp-1201569,0.0,-3.3957052273749992,0.030678239343746003,40,442.61605408871236,4.142761965879401,I-4,82,tetragonal,9.137035367806657,9.13754782072617,9.137545613388635,129.5202628913605,129.5199117938631,74.17518646932544,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc7V9O24,mp-863413,1.6977,-3.157138790125,0.004864817656249,40,442.3076261386752,4.34424701511852,P1,1,triclinic,8.270975716793023,8.348867615243227,8.34384659693571,109.27407544881711,109.63907063837168,109.72308304207912,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCrO3,mp-18961,2.417799999999999,-3.130813287000001,0.036846917874999004,20,207.8888721409463,4.6312337405873905,Pnma,62,orthorhombic,5.0888840000001965,5.407961000000185,7.5539680000003315,89.99998182042835,90.00002642872559,90.00002185371906,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMn2,mp-2039,0.0,-0.168710104655171,0.0,12,203.54109643401657,5.05263246755157,P6_3/mmc,194,hexagonal,5.342358690591832,5.342359092476268,8.234701830000517,89.99998683107066,89.99995938282522,119.9982907808485,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMnO3,mp-1105811,1.7979999999999992,-2.941352321586206,0.049973920562498005,20,218.73503434359637,4.49092583781479,P2_1/c,14,monoclinic,5.116733912413465,5.422535000105578,7.904384291744298,89.99940596007741,94.15850618009742,90.00043304633326,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMnO3,mp-18954,0.0,-2.983540803252874,0.007785438895831001,30,332.2624241651375,4.434700161343278,P6_3cm,185,hexagonal,5.857486453227326,5.85748598868372,11.182257550000015,89.99999734312742,89.99999649905703,120.00033004623072,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMn2O5,mp-773517,1.1108,-2.535182568232759,0.022629635117178002,32,337.78270434041355,4.617675526674802,Pbam,55,orthorhombic,5.7205639999999995,7.107038,8.308257,90.0,90.0,90.0,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMn2O5,mp-770412,0.0,-2.518295824482759,0.039516378867178,16,192.74611906307683,4.046179852410718,Cmcm,63,orthorhombic,5.274316753823286,5.274316753823286,9.89139,90.0,90.0,135.53445206732863,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScMn2O4,mp-1219298,0.0,-2.69459729726601,0.038378947053589005,14,171.4438370452114,4.238998721822866,C2/m,12,monoclinic,6.012042811133501,6.295658551370301,6.237677000005851,60.30404723371833,89.99994389136413,61.52837589175204,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Mn2O7,mp-17619,0.0,-2.805036003260187,0.0,22,220.52968669696315,4.695322840031684,Fd-3m,227,cubic,6.781531112879564,6.781531266650645,6.7815288200090516,59.99985880619835,59.99985991377686,59.999952089246044,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScFe2,mp-1095443,0.0,-0.25505926833333104,0.018883651666667,12,175.36635486939375,5.933102884938467,P6_3/mmc,194,hexagonal,4.988322149310746,4.988331674301304,8.137688730000189,89.99998925899438,89.99998888605984,119.99891352777053,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScFe2,mp-1190697,0.0,-0.265503299999998,0.00843962,24,339.6208126321021,6.127225348370152,P6_3/mmc,194,hexagonal,4.937136650656836,4.937124032434677,16.08847839,90.0,90.0,120.0001124500331,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScFe2,mp-540,0.0,-0.27394291999999804,0.0,6,87.13754688944184,5.970254288411766,Fd-3m,227,cubic,4.976302538204174,4.976302538204174,4.976302538204174,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc29Fe6,mp-30702,0.0,-0.041531565571428,0.028910899571428002,140,2959.661276613192,3.677822516944239,Pm-3,200,cubic,14.357561,14.357561,14.357561,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCo,mp-2212,0.0,-0.2912552875,0.0,2,31.026182396042238,5.560204557738095,Pm-3m,221,cubic,3.1422648,3.1422648,3.1422648,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCo2,mp-253,0.0,-0.272585656666668,0.0,6,81.95896944523425,6.597759713545664,Fd-3m,227,cubic,4.875671157112405,4.875681554260417,4.875717690000587,59.99981029457945,59.999664691162316,60.001498800756856,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc3Co,mp-27162,0.0,-0.11944115125000102,0.026186492499999003,32,649.7478098057832,3.9623252247993843,Pnma,62,orthorhombic,5.84431629,8.55945622,12.98867762,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScNi5,mp-570673,0.0,-0.283420650833331,0.008523272916668,6,74.8804197486887,7.5048252706726455,P6/mmm,191,hexagonal,4.698924590325521,4.699187964623712,3.91563614,90.0,90.0,119.99679658826857,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScNi3,mp-1186988,0.0,-0.38915473374999904,0.033019642083333,8,100.5276821440918,7.302249316348026,P6_3/mmc,194,hexagonal,5.272073721898544,5.2720690354664095,4.1761769,90.0,90.0,119.99689494867806,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScNi,mp-11521,0.0,-0.5071770974999991,0.0,2,31.330825990887007,5.493431033458031,Pm-3m,221,cubic,3.15251587,3.15251587,3.15251587,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScNi3,mp-1186985,0.0,-0.39823455374999905,0.023939822083333003,4,49.62844019456315,7.395741185224325,Pm-3m,221,cubic,3.6748866,3.67488152,3.67488152,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScNi2,mp-850,0.0,-0.520921808333332,0.0,6,80.50237736607001,6.697352904944474,Fd-3m,227,cubic,4.846647289081834,4.846643860405237,4.8466466,59.99997433968467,59.99999774139023,59.99997505314943,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Ni7,mp-1197416,0.0,-0.38925856499999806,0.0,36,466.369325850532,7.132037514223903,P6_3/mmc,194,hexagonal,4.770742201869328,4.770742201869328,23.660693,90.0,90.0,120.00000279947366,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2Ni,mp-867501,0.0,-0.35648654499999904,0.0,24,440.5846362271804,4.480678801075643,Fd-3m,227,cubic,8.540977191122852,8.540844652394945,8.540820362477952,60.00476555255138,60.003049147768635,60.00326843414559,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu2,mp-1018149,0.0,-0.23641582500000102,0.0,3,44.673410178112434,6.395130303773691,I4/mmm,139,tetragonal,3.2758644929503546,3.2758644929503546,4.766221371980703,110.14689141402343,110.14689141402343,89.97007199287336,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu3,mp-973092,0.0,-0.145604581249999,0.031707287499999,4,55.63004764036237,7.032402655094583,I4/mmm,139,tetragonal,4.599156902514232,4.599156902514232,4.599156902514232,130.060870381418,130.060870381418,73.30947222269403,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu,mp-1169,0.0,-0.2565679075,0.0,2,34.03957117059332,5.29300627125541,Pm-3m,221,cubic,3.24086813,3.24086813,3.24086813,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCu3,mp-973100,0.0,-0.12813920374999901,0.049172665000000004,4,55.8276741651958,7.007508383235016,Fm-3m,225,cubic,4.293235558218616,4.291585876500231,4.290257034923002,59.961450528181665,59.96230212267115,59.91761932923855,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCuO2,mp-4636,2.1669,-2.724419158750001,0.000457447499998,4,51.19027907540447,4.557641125914724,R-3m,166,trigonal,5.986175894012939,5.98617679476298,5.986175245638278,31.23584852504651,31.23582468245521,31.235843686371126,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScCuO2,mp-3642,2.3309,-2.724876606249999,0.0,8,102.27311664510334,4.5624290881974545,P6_3/mmc,194,hexagonal,3.22138292,3.2213823633947194,11.38010347,90.0,90.0,119.99999544686808,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc(CuO2)2,mp-755805,0.0,-1.982464174285712,0.008552287500002,14,138.64131444692424,5.6543433064702135,C2/c,15,monoclinic,6.107079690424763,6.015626697637529,6.107069002353907,126.20808802074941,79.87436483437843,127.08012686428364,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc5Cu5O13,mp-752959,0.0,-2.5317624313043483,0.045681538043476,23,274.8053976256089,4.5349818555235,P1,1,triclinic,5.82982,6.002107242154958,8.806248024443214,71.2036687461228,70.70068052836127,80.74370479244072,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn12,mp-11567,0.0,-0.136576282692307,0.0,13,191.54253069268736,7.194336635597737,I4/mmm,139,tetragonal,5.071024925299629,6.645962810904377,6.645960718850821,81.71389181616681,67.63152667277997,67.63153703512201,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
