formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ti,mp-72,0.0,0.0,0.0,3,51.05915967771039,4.670172247408194,P6/mmm,191,hexagonal,4.56737542,4.56737424113343,2.82624427,90.0,90.0,119.99999363769648,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-46,0.0,0.015169603333333,0.015169603333333,2,34.63870098804746,4.589376693333247,P6_3/mmc,194,hexagonal,2.93573124,2.93573260613475,4.64085615,90.0,90.0,119.99998460644196,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-554278,2.6774,-3.501638054444445,0.006417397499999001,12,146.70632301220797,3.615939061446627,C2/m,12,monoclinic,3.766937,6.435368208444952,6.616212151677801,106.18218564763544,90.0,107.01814086302699,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-766454,2.231,-3.4621163130555552,0.045939138888888,9,98.98024446129928,4.019598507976489,P1,1,triclinic,4.70760675948194,7.241214508943202,2.9682645462907264,78.17760967866842,90.00253256037679,91.91848805241354,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-2657,1.780999999999999,-3.464416747777778,0.043638704166665,12,125.22506013556851,4.236221754389662,P4_2/mnm,136,tetragonal,5.4695020599650075,5.4695053529548066,5.469505255712971,114.49126057973577,107.01845594765265,107.0237247687151,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-430,2.2317,-3.46857195111111,0.039483500833334004,12,116.4513251189871,4.555389330254649,P2_1/c,14,monoclinic,4.81269978142931,5.040994940930291,4.87188446,90.0,90.0,99.85606391626618,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-390,2.0586,-3.5080554519444442,0.0,6,68.78397225482972,3.856139057916947,I4_1/amd,141,tetragonal,3.7825395148615826,3.7825398449736825,5.501451398935157,110.10714407805271,110.10713257902373,89.9999788522249,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-34688,1.9546000000000001,-3.493553009444445,0.014502442499999001,6,70.26402113532312,3.774912931038938,C2/c,15,monoclinic,3.8273491215436564,3.8273491215436564,5.472039111494909,70.10663938643441,70.10663938643441,90.01314713589551,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO,mp-1071163,0.0,-2.907956279166666,0.0,6,61.93779156658514,5.136733950019456,P-62m,189,hexagonal,2.87331344,4.98908417631093,4.989087834028208,119.9999773925175,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-1439,2.5281000000000002,-3.503531851111111,0.004523600833332001,12,123.16487505448308,4.307081249474625,Pbcn,60,orthorhombic,4.54534955,4.90919686,5.51961944,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-775938,2.1536,-3.495808560833333,0.012246891111111002,36,373.5244204596958,4.260613991086743,Pbcn,60,orthorhombic,4.54425708,5.51788923,14.8964619,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-1840,2.2862,-3.505014124444444,0.0030413275,24,258.44602277752557,4.105159895594103,Pbca,61,orthorhombic,5.14911908,5.45912219,9.1942033,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-2420244,2.8899,-3.491561325277777,0.016494126666666,12,204.9469218790116,2.588382977784918,Pnma,62,orthorhombic,3.77299303,5.98683477,9.07315071,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-754769,2.2868999999999993,-3.471762054444443,0.036293397500001004,24,260.4184599433002,4.074066977099461,Pnma,62,orthorhombic,18.75729937,4.6815241499999996,2.96561103,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-1041565,1.82,-3.464407361944444,0.043648089999999,12,128.5226119523117,4.127531458338895,Imma,74,orthorhombic,5.5184678342240066,5.5184678342240066,5.5184678342240066,114.80072089229137,106.87444289113802,106.87358974575405,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO2,mp-1101022,1.9968000000000001,-3.4606675294444442,0.047387922500000006,12,142.9188538508557,3.711764470869865,I4/m,87,tetragonal,3.7751111918531315,6.436283853182229,6.435361988575404,85.0656215891729,72.95773794522579,72.93842972577661,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti2O3,mp-776456,0.0,-3.255844817000002,0.047594817333333005,30,299.87604097284424,4.775431857524981,P2_1/m,11,monoclinic,13.240246497114049,2.97464134,7.710797959188935,90.0,99.0896410795303,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti2O,mp-1215,0.0,-2.035562333888889,0.0,3,36.44456112809412,5.09095651040831,P-3m1,164,trigonal,2.95407944,2.954079191288435,4.82233863,90.0,90.0,119.99998038910076,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti2O3,mp-458,0.0,-3.303439634333334,0.0,10,103.7211155286214,4.602205288902889,R-3c,167,trigonal,5.457360435616448,5.4573619347350535,5.45736145268275,55.794138054933505,55.794129974739256,55.79413435441772,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti2O3,mp-1188323,0.116299999999998,-3.301910415333334,0.001529219,20,180.974229898941,5.275291036997773,Pnma,62,orthorhombic,2.83804573,7.82893291,8.14506917,90.0,90.0,90.0,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O5,mp-1147,0.0,-3.379942991875,0.002190746249999,16,173.76464249467236,4.273518581031359,C2/m,12,monoclinic,3.83695506,5.227859617470987,9.314246902145532,91.07455540690235,90.0,111.52898084500605,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O5,mp-556480,0.0,-3.373945726875001,0.008188011249998,16,184.3877327461874,4.027309286618516,C2/m,12,monoclinic,5.244161563442712,5.244161563442712,9.961074793805958,88.2579258315714,88.2579258315714,42.333806994798486,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O4,mp-1217157,0.0,-3.16382181714286,0.026622572857140002,7,69.80936068096659,4.9380997348892155,I4/mmm,139,tetragonal,5.02563187966973,5.02563187966973,5.02563187966973,131.45530335419483,131.45530335419483,71.09068856646216,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O,mp-557812,0.0,-1.565612353541665,0.004301608958332001,24,325.1149715865706,4.890996522584021,P312,149,trigonal,5.13534129,5.135340751889584,14.23533773,90.0,90.0,120.00000353069987,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O5,mp-556754,0.0,-3.380614719375001,0.0015190187499980001,16,171.26315837644566,4.335937953421416,Cc,9,monoclinic,5.046236961086212,5.685381808853827,7.201019820463006,109.89590603401818,90.00072297555212,116.34815824118749,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O,mp-2591,0.0,-1.569913962499999,0.0,16,216.74345133600266,4.890993432307026,P-31c,163,trigonal,5.137346260020529,5.137330065992543,9.482891620004775,90.00011084837122,89.9999267486512,120.00039803816489,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O2,mp-978968,0.0,-2.352613252000002,0.031906659999998005,10,111.68602130432724,5.221608301232395,R-3c,167,trigonal,5.101782543581848,5.10248260819722,5.763470287564874,116.26941069289259,63.727129816325515,119.99390626746825,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti3O5,mp-8057,0.0,-3.382133738125,0.0,16,185.54518943603145,4.002186371332832,Cmcm,63,orthorhombic,3.771452608295523,5.2638942658604915,10.01151384006055,89.99976342807145,89.99978832730831,111.00604882140676,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti4O7,mp-12205,0.0,-3.4085186912121213,0.007957332499998,44,465.5678964297086,4.329452258742414,P-1,2,triclinic,5.594066382067654,7.122686669080423,12.505133764961538,95.14046359482666,95.55577115880888,108.80807726087438,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti4O5,mp-10734,0.0,-3.091059832037038,0.036609422222221,9,90.73767653519478,4.967927931675921,I4/m,87,tetragonal,4.150570958279578,5.115496203932041,5.115496350704971,80.52709570883806,66.06587874529853,66.06587168735533,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti5O8,mp-759920,0.0,-3.338724498205128,0.013142276923078,39,410.3530261794498,4.459327275743663,P1,1,triclinic,5.466066441964324,9.015399770109951,9.007195033811522,68.3383946477082,94.8805838429519,94.8314724512938,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti5O9,mp-748,0.0,-3.425320040833333,0.010780146071427,28,296.2867131326208,4.296741959530481,P-1,2,triclinic,5.584061566238264,7.124222282661895,8.486505454703405,69.66846528996625,75.37801253398708,71.45366995023082,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti6O11,mp-559964,0.0,-3.438300099411763,0.010498075441178001,34,386.95564023135927,3.975412048314062,C2/m,12,monoclinic,3.75601734,5.269697718178329,20.94557566052803,92.43668521779358,90.0,110.87797293649257,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti6O,mp-882,0.0,-0.9049613478571411,0.011734072857143,14,213.51484396580418,4.716091494120648,P-31m,162,trigonal,5.10479035,5.104790647063684,9.46109899,90.0,90.0,119.99999801018582,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti6O,mp-554098,0.0,-0.9166954207142841,0.0,14,213.4180585057646,4.718230249800664,P-31c,163,trigonal,5.10530036,5.1053005580936315,9.45492186,90.0,90.0,120.00000543776062,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti6O11,mp-30524,0.0,-3.434970597058823,0.013827577794117002,34,359.3760311369506,4.280497253732013,P-1,2,triclinic,5.564351570391152,7.128015410190839,9.735721919694479,89.90935393592473,100.53000426609528,108.49487590523162,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
