formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
V,mp-146,0.0,0.0,0.0,1,13.263780153478194,6.37754470312308,Im-3m,229,cubic,2.5828336109207948,2.5828334497508623,2.58283362,109.4712299695939,109.47122870554041,109.47121382749214,mono-metallic metal,V,VO4[-1],Passivation,VO4[-1],Passivation
VO,mp-1287184,1.9785,-2.085321828749999,0.026801248958333003,8,79.47332576473944,5.594731491792294,C2/m,12,monoclinic,3.127847570179209,5.030745410494098,5.319868958988521,96.34820704229891,72.90299510160578,89.9901149312024,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-541404,0.7584000000000001,-2.522468176666668,0.0,12,135.43671915122044,4.067600255193656,C2/m,12,monoclinic,3.6879974284333317,6.404978475172237,6.265006501957325,106.0025924020586,107.09884693326345,89.99889484758272,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-19094,0.0,-2.480275698333334,0.042192478333317004,6,61.847604325073625,4.453708752294829,P4_2/mnm,136,tetragonal,3.04445,4.5072020454383885,4.5072020454383885,89.98372857544796,90.0,90.0,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-20593,0.0,-2.505638494583335,0.016829682083317,48,536.1303385523792,4.110212713345812,I4/mmm,139,tetragonal,7.55010249,8.426389590001989,8.427058370001953,90.00007839588125,90.0,90.0,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1102963,0.0,-2.479511370000001,0.042956806666651005,12,123.37720957665863,4.465187981414028,P2_1/c,14,monoclinic,4.504956,5.433808,5.436484903901233,67.985655383733,90.0,90.0,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO,mp-714885,0.783199999999999,-2.0896383025,0.022484775208333002,4,42.37678919257186,5.2461728092815765,R-3m,166,trigonal,3.1971064201898254,3.1970104402369413,5.130727997819997,89.99940676485912,71.84831022404025,119.99798610764675,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO,mp-19184,0.9700999999999991,-2.09028776,0.021835317708333003,4,41.804172700848774,5.318032742750917,Fm-3m,225,cubic,3.095803861978432,5.34439420714057,3.0958037219201056,106.83586387459134,60.00000608826006,106.83585188048218,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-547074,0.0,-2.478625768333335,0.043842408333317005,6,61.62065920439569,4.470111489352563,Pnnm,58,orthorhombic,3.03751,4.478754,4.529512,90.0,90.0,90.0,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1094031,0.8860999999999991,-2.510572189583333,0.011895987083319001,24,245.68298604562216,4.484660840777928,Pbca,61,orthorhombic,5.100122400164288,5.318259752221143,9.057846107090025,89.9993548869227,89.99986849978754,90.00018577226693,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-2739064,0.0,-2.482739505833334,0.039728670833317006,12,188.87742266810025,2.916719349512484,Pnma,62,orthorhombic,5.889944233762943,8.519314398141443,3.7641265900014242,90.0000206465911,89.9998606017326,90.0045508103644,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-777479,1.378699999999999,-2.4543528725000012,0.025922825833333003,12,194.5421845059786,2.83178907845134,Pnma,62,orthorhombic,5.956503060940538,8.645132077164465,3.7779030003008285,89.9997924188018,90.00140539069697,90.01582134202592,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-777469,0.0,-2.474682875000001,0.047785301666651,12,141.46833990280572,3.894174723196634,Cmcm,63,orthorhombic,5.010325398762917,5.009804320618742,6.070988181439554,90.00884246227727,89.98324795658608,68.17953773550754,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
V2O5,mp-510568,1.7022,-2.278425560000001,0.010596257142857,14,161.26924011604765,3.745523265513974,P2_1/m,11,monoclinic,3.55392596,6.287276111083246,7.217418886589521,90.13916656954613,90.0,90.0,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
V2O5,mp-25207,1.672699999999999,-2.263890422857143,0.025131394285715,21,261.0170001601851,3.47125488279913,C2/m,12,monoclinic,7.883785243107362,7.883785495985197,10.16037518561347,69.77483597177444,110.22516524453191,153.76106904885285,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
