formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
AlFe2,mp-985579,0.0,-0.141337556666666,0.10022023166666501,3,37.79030358178945,6.093348966420929,P6/mmm,191,hexagonal,4.134922437631086,4.134922437631086,2.552202,90.0,90.0,120.00000700217227,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe2,mp-31184,0.0,-0.10484484166666601,0.136712946666666,6,75.27933028697036,6.117735277214223,Fd-3m,227,cubic,4.73947512478439,4.73947512478439,4.73947512478439,60.00000000000001,60.00000000000001,60.00000000000001,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe3,mp-1228919,0.0,-0.08600655999999901,0.11288661499999901,4,48.567402085535015,6.650598911513688,Cmmm,65,orthorhombic,2.5488547400673895,2.5488547400673895,7.7968252415125985,90.0,90.0,106.50002773293873,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe4,mp-1228952,0.0,-0.062807495999999,0.09630704400000101,5,59.77457445723904,6.955049356592048,Fmmm,69,orthorhombic,2.5278573083344718,2.5278573083344718,9.929623183590603,84.91262952407392,84.91262952407392,107.65935813972432,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3Fe,mp-984873,0.0,-0.154061757499999,0.17269562333333302,8,109.43277322920537,4.151306674196288,P6_3/mmc,194,hexagonal,5.374975341187064,5.374975341187064,4.373849,90.0,90.0,119.99999189080673,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1259818,1.360799999999999,-2.356194891999999,0.2106262885,20,197.90872811237276,4.390702550514783,P1,1,triclinic,4.982350366878467,5.001520929513841,7.943456491072195,91.03709340673778,89.68984124567314,90.23283035597139,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(FeO2)3,mp-1048821,1.3122999999999991,-2.012492827499999,0.124463439249998,40,448.57762946693947,4.301668671898146,P-3m1,164,trigonal,5.951085431795615,5.951085431795615,14.62563,90.0,90.0,119.99999368315235,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(FeO2)2,mp-1437358,0.0,-1.735850928571427,0.5372514328571381,14,147.36148887172232,4.567543729589038,R-3m,166,trigonal,5.9703514564676174,5.9703514564676174,5.970351150127436,59.090415152073604,59.090415152073604,59.090419190110346,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1398131,0.0,-2.301276629999999,0.26554455049999903,10,105.2782827603756,4.126959209953927,P6_3/mmc,194,hexagonal,3.1875995002139144,3.1875995002139144,11.964116,90.0,90.0,119.99998962680789,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1264966,0.6687000000000001,-2.3307735885,0.23604759199999903,20,197.55869509092068,4.398481964523095,P1,1,triclinic,4.974753428114494,4.9997173514073046,7.945401365495271,88.65856987291878,90.34331471233793,90.39421631063696,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFe3O,mp-1206753,0.0,0.542747052999999,1.73796890233333,5,69.61085155162793,5.021773651598028,Pm-3m,221,cubic,4.113634,4.113634,4.113634,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1421498,0.0,-1.162526192999999,1.4042949875000001,5,54.91632829150119,3.955828732210649,Pm-3m,221,cubic,3.801023,3.801023,3.801023,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(FeO2)2,mp-505623,0.0,-2.2173158007142852,0.05578656071428201,14,146.79497306754396,4.585170938852514,Fd-3m,227,cubic,5.921186320649098,5.921186320649098,5.921186320649098,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-1254277,1.3295,-2.286588009499999,0.280233170999999,20,179.40360141259467,4.8435948356114125,Pnma,62,orthorhombic,4.886171,4.935838,7.438778,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlFeO3,mp-776154,2.1089,-2.486505096999999,0.08031608349999901,20,182.98391243946458,4.748823793892831,Pnma,62,orthorhombic,4.868112000408064,5.121179000426171,7.339769000001363,89.99993521094116,89.99996084795562,89.99852010618645,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(FeO2)2,mp-1248448,0.0,-1.835487038571428,0.43761532285713806,14,148.08265829306112,4.545299579555693,I4_1/a,88,tetragonal,6.440642228365972,6.440642228365972,6.440642228365972,131.1841127766143,131.1841127766143,71.52072528260459,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2(FeO3)3,mp-1214939,0.0,-1.852280935714286,0.286000506249998,28,389.1147063124902,3.119465079068083,C2/m,12,monoclinic,5.493008699120455,5.493008699120455,15.07786207444046,88.9024673744725,88.9024673744725,121.13535191662498,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-34978,0.0,-2.837116017857142,0.066446484999999,42,420.71961499815285,4.115963792019576,P3m1,156,trigonal,5.825129514725402,5.825129514725402,14.316964,90.0,90.0,119.99999448844711,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-530395,0.0,-2.421558767321428,0.482003735535713,56,560.1493589435731,4.1219165907004784,R3m,160,trigonal,19.35845149604082,19.35845149604082,19.35845197010267,17.305429052465893,17.305429052465893,17.30543025487102,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-530513,0.043799999999999006,-2.7416413992857143,0.161921103571427,56,559.7142553939876,4.125120833798497,R3m,160,trigonal,5.812041364786201,5.812041419928881,23.37140859741863,60.17428620196149,60.17428589041135,60.00000409606892,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2Fe2O7,mp-1258020,0.0,-1.917318597727272,0.416155202727273,22,201.9244700103913,4.566527349206363,Fd-3m,227,cubic,6.585185044027389,6.585185044027389,6.585185044027389,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2(FeO3)3,mp-1265553,0.0,-1.9509585518750001,0.18732289008928402,112,1204.1251864500045,4.032237683433074,Pna2_1,33,orthorhombic,8.55695,9.281848,15.160663,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2FeO4,mp-36465,2.6289,-2.839391702857143,0.064170799999998,28,277.12477856264945,4.165793019078194,Imma,74,orthorhombic,5.705406483823217,5.875706279140236,8.266633634544172,89.99980236377311,90.00058431692088,89.99687305720686,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al4(FeO4)3,mp-1360989,0.0,-2.311031379999999,0.16626836881578702,38,412.01088355745344,3.767985672687275,P1,1,triclinic,5.779478468103588,5.785690751800255,17.422222327169084,60.03168262899799,59.9799522772902,60.01166009543845,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al4(FeO4)3,mp-1360164,0.0,-2.290809844473684,0.18648990434210302,38,409.26639146301756,3.7932533396796,C2/m,12,monoclinic,5.771744322606208,5.771744322606208,14.187612215377541,89.78017398426864,89.78017398426864,59.99000112578647,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al4(FeO4)3,mp-1253012,0.0,-2.296935037105262,0.180364711710525,38,405.07786940616677,3.832475737347886,Cm,8,monoclinic,5.6941398800108525,5.6941398800108525,14.099181689851152,89.08106599442837,89.08106599442837,62.40787588083252,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al4(FeO4)3,mp-1361586,0.0,-2.308164219473683,0.16913552934210402,38,410.38015443940384,3.782958531112259,P1,1,triclinic,5.784462322008244,5.783995391600602,17.38180622616939,59.95730451616315,59.99251087773008,59.78214941489181,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al5(FeO4)3,mp-1356833,0.9984000000000001,-2.681699678749999,0.10005395862500001,40,400.05736014658765,4.104558664983901,C2/m,12,monoclinic,5.76317677564258,5.76317677564258,13.880211013763624,89.84828330761356,89.84828330761356,60.2004588904249,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al5(FeO4)3,mp-1359741,2.0496,-2.71844733025,0.063306307124999,40,407.09384287796945,4.033612722982119,C2/m,12,monoclinic,5.777128655995467,5.777128655995467,14.090824332360757,89.92215570127676,89.92215570127676,59.95524325873386,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al5(FeO4)3,mp-1251086,1.1491999999999991,-2.69449454875,0.08725908862500001,40,412.9442280845962,3.9764665356791653,Cm,8,monoclinic,5.780177593322285,5.780177593322285,14.273859148932814,89.90501486740744,89.90501486740744,59.98578932717271,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al15Fe9O32,mp-801915,1.3242,-1.6046355303571431,1.22011945482142,56,562.1081746702067,4.192819011277528,P-1,2,triclinic,5.813369,5.850728514709343,19.308844024783696,98.34049476933212,90.05283041292837,119.75135302447535,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCo4,mp-1228933,0.0,-0.007462145000000001,0.215120306999999,5,57.43921278387617,7.594940255047482,R-3m,166,trigonal,10.084860649199372,10.084860649199372,10.084860542249357,14.690592954741321,14.690592954741321,14.690596838448021,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCo3,mp-1080667,0.0,-0.178359348749998,0.099868716249999,8,91.1076286600527,7.428280633580205,P6_3/mmc,194,hexagonal,5.074362519616627,5.074362519616627,4.08565,90.0,90.0,120.00000677475421,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCo3,mp-1018101,0.0,-0.15542592999999802,0.122802135,4,45.688740626500255,7.406343710362048,Pm-3m,221,cubic,3.574948,3.574948,3.574948,90.0,90.0,90.0,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1248478,0.0,-2.090569429333334,0.250709234166665,30,300.83541597823785,4.43500291432238,P1,1,triclinic,5.290845536872249,5.545188294416791,11.855107909472693,89.68621860095634,90.13927045010156,120.12354714020687,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-754022,0.8939,-2.225202081999999,0.11607658149999901,10,93.40382959355364,4.761424852352278,P1,1,triclinic,4.846808021306187,5.3661486677417916,4.936906816476892,87.08454333075647,59.72039374608445,115.95645442578115,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(CoO2)3,mp-1045074,0.0,-1.72016798275,0.065447495714295,40,414.35254086496457,4.80549522575397,C2/m,12,monoclinic,5.832662761684924,5.832662761684924,14.067194449381333,89.10006793705412,89.10006793705412,59.99304961068036,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(CoO2)2,mp-1391681,0.0,-1.714291212857143,0.37341280321429704,14,131.62629511535408,5.269405460680995,C2/c,15,monoclinic,6.140866055057462,6.140866055057462,5.155856303309956,65.30611056817543,65.30611056817543,107.32449110127034,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-756947,0.827199999999999,-2.239631630499999,0.10164703299999901,20,199.73401558336542,4.453275664965529,C2/c,15,monoclinic,6.367889676634245,6.367889676634245,5.0302335988081115,82.35712921433348,82.35712921433348,84.50423859293147,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1348445,0.0,-2.102443903666667,0.23883475983333202,30,293.4346035604501,4.546859608260251,P6_3cm,185,hexagonal,5.414479802301325,5.414479802301325,11.557587999999999,90.0,90.0,119.99999758432213,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1386773,0.0,-2.084813790999999,0.256464872499999,10,96.91991245037583,4.588688787346288,P6_3/mmc,194,hexagonal,3.1517642678328595,3.1517642678328595,11.266135,90.0,90.0,120.00000562214608,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(CoO2)2,mp-1248269,0.040699999999999,-1.7472184935714292,0.340485522500011,14,132.8411954671624,5.221214065493013,P-1,2,triclinic,5.251331591526191,5.122337650696702,6.104773826396682,112.66114137428522,113.72819087562539,95.07133466790047,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1404938,0.025500000000000002,2.733328715,5.074607378499999,10,93.23909210681114,4.769837473558319,P-1,2,triclinic,4.859754,4.8772698169542545,5.186674642311103,116.1873906302567,89.94434657994104,118.68777878275336,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-776216,0.3481,-2.236437595999999,0.10484106749999901,10,93.23907440412559,4.769838379175771,P1,1,triclinic,4.859753715111704,5.325595421680002,4.964776402484406,87.24563962871538,59.517775612876214,116.01965389664478,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1435808,0.0,-1.043343859,1.297934804499998,5,50.426713548382544,4.409719414937844,Pm-3m,221,cubic,3.694482,3.694482,3.694482,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al(CoO2)2,mp-1442788,0.0,-1.953348585,0.13435543107144002,14,141.40468031817454,4.9050166988066,Fd-3m,227,cubic,5.847805607324683,5.847805607324683,5.847805607324683,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
AlCoO3,mp-1378752,0.0,-2.159254788499999,0.182023874999999,20,171.3532126131805,5.190860547629025,Pnma,62,orthorhombic,4.769809,4.920832,7.300502,90.0,90.0,90.0,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2Co2O7,mp-1248317,0.5769000000000001,-1.9050070495454552,0.23747940500000003,22,197.16479718282196,4.780802161521417,P-1,2,triclinic,6.518883977790754,6.636524297906548,6.502442857977685,59.74891111272628,59.2827137798577,59.81123010960433,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-530284,0.011800000000000001,-2.807157129464286,0.07791267839284101,56,547.3043669673161,4.293613618438958,R3m,160,trigonal,19.217293336223236,19.217293336223236,19.217293664701543,17.294425695316495,17.294425695316495,17.294425928480045,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CoO4,mp-530381,0.0307,-2.833668649642857,0.05140115821427001,56,547.8114145227678,4.289639502107008,R3m,160,trigonal,19.199130444450965,19.199130444450965,19.19913023989287,17.32776425465622,17.32776425465622,17.327762863891554,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
