formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Be,mp-1008501,0.0,0.050546004999999006,0.050546004999999006,4,32.02601197075165,1.869115680088605,P4_2/mnm,136,tetragonal,3.746814,3.746814,2.28128,90.0,90.0,90.0,mono-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be,mp-20,0.0,0.09567004499999901,0.09567004499999901,1,7.871164063017212,1.901253762022695,Im-3m,229,cubic,2.1704690439745398,2.1704692395545875,2.17046896,109.47122745178085,109.47122927714182,109.47119683555334,mono-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1244907,4.4843,-2.845416666000001,0.257439136499999,100,803.0706835587204,2.585868833140669,P1,1,triclinic,8.89395176694241,9.895091257712835,9.133122338382258,89.10999289919782,92.0444911148539,89.15324440665452,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1244919,4.4524,-2.838604064200001,0.26425173829999804,100,826.6266517436865,2.5121806162951703,P1,1,triclinic,9.411099681663615,9.84070875871291,8.982066476783947,90.96041301861324,91.76899099126513,96.06589200791738,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1244963,4.7618,-2.8137379631000012,0.289117839399999,100,830.0785765619382,2.501733582891131,P1,1,triclinic,10.099723698293632,8.966237875125833,9.261538222476977,91.16284506148148,97.22118706112099,86.12424309974236,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1245060,4.2425,-2.7759217962,0.3269340063,100,909.5173260497385,2.283228028698272,P1,1,triclinic,9.187430184047985,10.716671643614962,9.246556911830316,91.77530125475066,91.79989254959777,90.00095416179312,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1245079,4.321099999999999,-2.7923029498,0.31055285269999905,100,859.8384257130539,2.415146135974719,P1,1,triclinic,9.450680606125148,9.481717774403222,9.597367094968599,89.28889606438705,89.66927079205269,89.17409146905933,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO2,mp-1182269,3.237,-1.580769935833332,0.487800599166667,12,112.88426901956146,2.413102848150735,P2_12_12_1,19,orthorhombic,3.713797,6.305464,4.820568,90.0,90.0,90.0,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO2,mp-1214161,0.0,-1.425763454166666,0.642807080833333,12,147.62392572439862,1.845238498744897,P2_12_12_1,19,orthorhombic,4.205594,4.314718,8.135364,90.0,90.0,90.0,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeO,mp-1794,8.1681,-2.621381074999999,0.48147472750000003,2,12.149228956971779,3.418546903310765,Fm-3m,225,cubic,2.5804051786043214,2.5804051786043214,2.5804051786043214,59.99999999999999,59.99999999999999,59.99999999999999,mono-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
