formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Cr,mp-1192789,0.0,0.26357824500000304,0.26357824500000104,28,336.9481722982685,7.174882515651355,P4_2/mnm,136,tetragonal,4.556398,8.599451,8.599451,90.0,90.0,90.0,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-89,0.0,0.420340105000001,0.420340105000001,2,23.175332656419794,7.451159958812742,P6_3/mmc,194,hexagonal,2.44359144,2.443591469088278,4.48165159,90.0,90.0,119.99998657410136,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-17,0.0,0.357538657500001,0.357538657500001,8,91.86760105479368,7.518781757180536,Pm-3n,223,cubic,4.51219083,4.51219083,4.51219083,90.0,90.0,90.0,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-8633,0.0,0.40252634000000104,0.40252634000000104,1,11.500578123183354,7.507583917611,Fm-3m,225,cubic,2.5336395166194747,2.5336401555920185,2.53364054,59.99999498108919,59.99998663852638,59.99999197228596,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
Cr,mp-1059289,0.0,0.335908380000001,0.335908380000001,2,23.00239265199828,7.507180376154436,Cmcm,63,orthorhombic,2.29410101,2.720650466754786,4.06431074,90.0,90.0,114.93621880324804,mono-metallic metal,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-2039648,0.0,-1.870891144374999,0.133620742499999,8,93.71685927120197,4.819162100866343,P-1,2,triclinic,3.0382088513874677,6.62765173735524,6.209280127217932,61.07174650695853,90.08603128806965,116.91116760116302,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-1399565,1.0276,-1.664831958333334,0.38286890333329904,6,70.32818049318325,3.9664558891490023,C2/m,12,monoclinic,2.979008421039625,2.979008421039625,9.55146898544538,81.41095745340749,81.41095745340749,57.34958089496078,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-714929,0.36860000000000004,-1.8631402600000002,0.18456060166663402,6,69.92064908333407,3.989574315276352,P1,1,triclinic,2.985756327053834,9.436803439223475,2.9065714329806176,89.73609769078988,119.76719899772917,99.148459517427,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO3,mp-755211,1.9140000000000001,-1.47971232,0.07766424200000001,16,298.913205926512,2.221975319861144,P2_1/c,14,monoclinic,4.625175,6.995762,9.73885279574884,71.54640030171285,90.0,90.0,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO,mp-1178416,0.0,-1.8794044475,0.092752026666666,4,50.18884918323131,4.499373304647302,C2/c,15,monoclinic,3.109087054556691,3.108965800185168,5.388962781424084,92.06307152202034,87.93708655465748,74.83983376762049,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO3,mp-772550,2.3376,-1.497262841875001,0.06011372012499901,16,257.1742800265965,2.582597942067121,C2/c,15,monoclinic,6.869993774440993,6.869993774440993,5.857595822078627,74.73410512214375,74.73410512214375,84.39294665891583,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
CrO2,mp-1358572,0.0,-1.8625959530555551,0.185104908611078,36,439.83268183222526,3.805360136426531,P1,1,triclinic,5.943596795147195,5.949914241497016,17.67472717309424,59.62416717538069,59.74294971421315,59.99524537458011,mono-metallic oxide,Cr,CrHO4[-1],Passivation,CrHO4[-1],Passivation
