formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li,mp-604313,0.0,0.26179874416666604,0.26179874416666604,4,88.38517740611074,0.521616949788403,P2_13,198,cubic,4.454441000000112,4.454441000000112,4.4544390000002245,90.00002572524471,90.00002572524471,89.9999999999971,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li,mp-1103107,0.0,0.055379472500000006,0.055379472500000006,12,242.5665872337491,0.570192381038717,Cmce,64,orthorhombic,8.51582020573315,8.51582020573315,5.406859,90.0,90.0,141.78363463263804,mono-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO2,mp-1094135,0.0,-0.809117267777778,0.316866762380952,6,54.98744153661504,2.351848252569968,C2/m,12,monoclinic,4.1983788944154385,4.1983788944154385,4.14137098861295,61.9786555024867,61.9786555024867,88.79297861814273,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1236522,0.2727,-0.357006413703703,0.070062674444444,9,126.03760029095203,1.777777671752737,C2/m,12,monoclinic,4.6492556265370055,5.673668763904534,5.673668708574549,68.8792512361751,69.22566535292336,69.2256543916317,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO2,mp-1094129,0.07400000000000001,-0.534496061111111,0.591487969047618,3,28.894862085681204,2.237804733376227,R-3m,166,trigonal,3.791391493046583,3.791391493046583,3.791391730730155,49.422063434206635,49.422063434206635,49.42206860069758,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO2,mp-1097725,0.0,-0.43997699777777804,0.6860070323809521,3,24.86859225751614,2.600109345797323,Fm-3m,225,cubic,3.2763382584345586,3.2763382584345586,3.2763382584345586,59.99999999999999,59.99999999999999,59.99999999999999,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO3,mp-1001790,0.079,-0.6248585295833331,0.23903239732142803,4,42.8276310521927,2.130136214552076,Imm2,44,orthorhombic,4.011333046601466,4.011333046601466,4.011333046601466,133.55844870987136,103.16232656379505,94.77224659744066,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO2,mp-1018789,0.0,-1.042903046111111,0.083080984047619,6,57.78349976500337,2.238045788453703,Pnnm,58,orthorhombic,2.961101,3.9856689999999992,4.89609,90.0,90.0,90.0,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-1235698,0.0,-0.35934491370370303,0.06772417444444401,9,123.34687344693079,1.816558663685579,Cm,8,monoclinic,4.573487187998891,5.679982705186874,5.679982426782058,69.47805287460754,68.2551718969628,68.255173506618,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiO8,mp-2766401,0.1092,-0.27516586074074,0.076303958472222,9,105.70359754042757,2.119765427215984,Cm,8,monoclinic,5.278635538367279,5.550831853556673,5.550831749978273,63.991523999975506,54.14230741095452,54.14230468926595,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-1245009,2.723,-1.8997470075163392,0.161850906372549,102,1002.0749075385974,1.6835606574999091,P1,1,triclinic,9.598229855247999,10.080171707942975,10.38069533168424,88.35489623835736,91.68455037520539,86.99374115411048,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-1245092,2.461,-1.888375888202614,0.173222025686275,102,1043.2220571422533,1.6171570363660321,P1,1,triclinic,10.727567522609634,10.40012539573466,9.370803819008216,90.64512268418984,89.05603495822335,93.60072808028352,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-1245224,2.735999999999999,-1.911912091045751,0.149685822843137,102,982.0790982624993,1.7178391162021351,P1,1,triclinic,10.118154249871713,9.715509266723695,10.0590259498694,96.37024057104004,91.51237549872721,91.25258598648244,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-1245303,2.7845,-1.9030237761437911,0.15857413774509702,102,979.113523443191,1.723042170091859,P1,1,triclinic,9.57315243047336,10.146054088976166,10.103667485433098,86.13106220519246,89.99998293316615,90.33051888498589,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O2,mp-1097030,0.0,-1.381966649166666,0.2682035875,2,15.216262193734085,2.503468323457067,P4/mmm,123,tetragonal,2.671605999999999,2.671605999999999,2.131882,90.0,90.0,90.0,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O2,mp-558312,1.6379000000000001,-1.507446007916666,0.14272422874999902,8,76.15287697096396,2.000892516139877,P6_3/mmc,194,hexagonal,3.3361933453253276,3.3361933453253276,7.900475,90.0,90.0,119.9999870172605,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O2,mp-1180619,0.0,-1.3611383641666661,0.289031872499999,2,16.35072322765034,2.329770363858382,Pm-3m,221,cubic,2.538121,2.538121,2.538121,90.0,90.0,90.0,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2O,mp-755894,5.4351,-1.977238203055555,0.084359710833333,12,90.39877805466602,2.195570919540326,Pnma,62,orthorhombic,5.0445717,3.08088234,5.81651896,90.0,90.0,90.0,mono-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiBe,mp-1001825,0.0,0.16695820083333301,0.16695820083333301,4,44.59770308016702,1.187993108073793,P2_1/m,11,monoclinic,3.720967,2.258778,5.454805483904994,76.59505174743977,90.0,90.0,bi-metallic metal,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
