formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
ScO,mp-644481,0.0,-3.240489735,0.066787465624997,2,22.13149871993696,4.573512086716922,Fm-3m,225,cubic,3.1514368399362125,3.1514368399362125,3.1514368399362125,60.00000000000001,60.00000000000001,60.00000000000001,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScO2,mp-1206234,0.298399999999999,-3.032915641666665,0.27436155895833203,6,72.28235750822093,3.53575367600367,Pnnm,58,orthorhombic,3.286379,4.367493,5.035962,90.0,90.0,90.0,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScO2,mp-1179114,0.5864,-3.035004163333332,0.272273037291666,12,176.55397838819457,2.895121521509624,Pnma,62,orthorhombic,3.246837,5.282277,10.294277,90.0,90.0,90.0,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScO2,mp-1179108,0.0,-2.979064724999999,0.328212475624999,6,77.52587645258822,3.296610408863959,Cmcm,63,orthorhombic,3.359992,3.970693,6.048863347746004,90.0,106.12521612517718,90.0,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2O3,mp-558748,3.4806,-3.9028742136666663,0.065858427083332,15,167.39640147711683,4.104120169376197,C2/m,12,monoclinic,3.20141516,6.825396056257317,8.016260186196078,100.25734889910636,90.0,103.56346566259204,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2O3,mp-754455,4.053,-3.8714628999999983,0.09726974075000001,10,123.9812369138179,3.694187737244951,R-3,148,trigonal,5.400161560000092,5.815577633784551,5.400162548653131,117.66390997152072,60.00000144935034,117.66391509473027,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2O3,mp-13060,3.3909000000000002,-3.836842867,0.13188977374999802,5,56.38008870523313,4.061805999011981,P-3m1,164,trigonal,3.389680008054005,3.389680008054005,5.666015,90.0,90.0,120.00000015719736,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2O3,mp-775837,4.2135,-3.88695266,0.08177998074999901,40,506.46368073293684,3.617317351504225,Pna2_1,33,orthorhombic,5.457871,9.334568,9.941017,90.0,90.0,90.0,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc16O15,mp-759946,0.0,-3.146574829516129,0.05401600979838501,31,361.09915190566187,4.411340190460114,R-3m,166,trigonal,11.00268079053487,11.00268079053487,11.002680647700814,33.48517978244117,33.48517978244117,33.485180797620785,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc20O19,mp-684697,0.0,-3.162139099615384,0.060336121506407006,39,449.7186249219648,4.442346388167345,I4/m,87,tetragonal,8.382389611393698,8.382389611393698,8.382389611393698,106.5895448038366,106.5895448038366,115.40240302266739,mono-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
