formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ti,mp-1244924,0.0,0.183286863166667,0.183286863166667,100,1762.7067218166078,4.509259680988034,P1,1,triclinic,12.49990440945444,11.457055031782446,12.339468938946585,93.00327259986402,87.91287175412415,88.32714175677395,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-1245006,0.0,0.141383983866667,0.141383983866665,100,1744.3182239748066,4.556796025430404,P1,1,triclinic,12.217542213801519,11.626678546347817,12.310470847386489,89.3206350704085,93.28746052606117,87.76716177889094,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-1245164,0.006299999999999001,0.138331885266666,0.138331885266666,100,1751.2770859316715,4.538689173715564,P1,1,triclinic,12.411444291776194,11.973728030927512,12.07919301848451,97.35043005696251,99.09477057221274,83.93840267110788,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-1245170,0.0,0.169614288666666,0.169614288666666,100,1758.642328592391,4.519681018059063,P1,1,triclinic,11.90456123363212,12.437106086874785,11.91040035016459,86.36424066537013,90.81893264567199,88.06525782319852,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-1245320,0.0,0.155102003566667,0.155102003566666,100,1754.0009091121908,4.53164095229429,P1,1,triclinic,11.842435524785756,12.366970551449032,11.979459264521148,90.74867631391548,89.12357072125803,89.41088681923473,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-1238818,0.0,0.310307806666666,0.310307806666665,6,208.54801594917902,2.286812170497326,P-3m1,164,trigonal,2.9280758266117357,2.9280763266118934,28.087341,90.0,90.0,119.99997913617334,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-6985,0.0,0.08726523333333301,0.08726523333333301,1,17.345854575003717,4.582364227559261,Fm-3m,225,cubic,2.9056077321510054,2.9056075112954844,2.90560626,60.00000238160757,60.00000495045365,59.999993961253146,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti,mp-73,0.0,0.151428373333333,0.151428373333333,1,17.189995059394814,4.6239119456582625,Im-3m,229,cubic,2.8159986696554085,2.8159999977500574,2.81599944,109.47120148088612,109.47121108184815,109.47125249562625,mono-metallic metal,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO,mp-1244926,0.006899999999999001,-2.5828635697666673,0.325092709399999,100,1196.0243242303463,4.433549138365065,P1,1,triclinic,10.426490886341291,10.75088038645845,10.676913420047809,91.88886874320089,89.34707635164143,89.42376960529157,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiO,mp-1244944,0.0,-2.606007524266667,0.301948754899999,100,1190.5274423953567,4.454019641484404,P1,1,triclinic,10.667534340742943,10.248636916317507,10.894707600802603,90.37474369027422,91.40825002626089,88.993439633462,mono-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
